Orthogroup	Vespa_mandarinia	Nomia_melanderi
OG0000001	XP_035720574.1	XP_031834821.1
OG0000001	XP_035737410.1, XP_035737418.1, XP_035737424.1	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_031828824.1
OG0000001	XP_035738421.1	XP_031840935.1
OG0000002	XP_035737326.1	XP_031834615.1, XP_031834770.1
OG0000002	XP_035737177.1	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1
OG0000002	XP_035737160.1, XP_035737224.1	XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1, XP_031834886.1
OG0000002	XP_035737208.1	XP_031834878.1
OG0000002	XP_035737172.1, XP_035737325.1, XP_035737203.1	XP_031834537.1, XP_031834872.1, XP_031834871.1, XP_031834873.1
OG0000002	XP_035737210.1	XP_031834876.1, XP_031834875.1, XP_031834877.1, XP_031834874.1
OG0000004	XP_035731236.1, XP_035737767.1, XP_035737738.1, XP_035725544.1	XP_031830869.1, XP_031830868.1, XP_031830867.1
OG0000004	XP_035744268.1	XP_031836773.1
OG0000004	XP_035737763.1	XP_031842129.1
OG0000004	XP_035737762.1	XP_031847540.1
OG0000006	XP_035718467.1	XP_031827661.1
OG0000006	XP_035718471.1, XP_035718468.1, XP_035718469.1, XP_035718470.1	XP_031827716.1
OG0000006	XP_035740898.1	XP_031847963.1, XP_031847958.1, XP_031847960.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_031838197.1
OG0000008	XP_035736007.1	XP_031838213.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_031838205.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_031838211.1
OG0000009	XP_035722243.1	XP_031837183.1
OG0000009	XP_035733996.1	XP_031839007.1
OG0000009	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1
OG0000010	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1	XP_031836981.1, XP_031831047.1, XP_031848973.1, XP_031848770.1, XP_031848469.1, XP_031848731.1, XP_031847715.1, XP_031848783.1
OG0000011	XP_035728332.1, XP_035728388.1, XP_035728331.1, XP_035728389.1	XP_031838228.1
OG0000012	XP_035733658.1	XP_031845723.1
OG0000012	XP_035729179.1	XP_031836778.1
OG0000012	XP_035731128.1	XP_031842887.1
OG0000012	XP_035731058.1, XP_035731059.1	XP_031842731.1
OG0000013	XP_035732971.1	XP_031839304.1
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	XP_031829654.1
OG0000014	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_031839329.1, XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1
OG0000016	XP_035739379.1	XP_031843910.1, XP_031828440.1
OG0000017	XP_035722701.1	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1
OG0000017	XP_035728385.1	XP_031829453.1, XP_031829454.1
OG0000018	XP_035718019.1	XP_031835584.1
OG0000018	XP_035718148.1	XP_031835583.1
OG0000018	XP_035735080.1	XP_031847312.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_031838473.1, XP_031838474.1, XP_031838475.1
