Orthogroup	Acyrthosiphon_pisum	Bombus_terrestris
OG0000000	XP_029346889.1, XP_029340893.1	XP_012175230.1
OG0000000	XP_029341016.1	XP_020723248.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_012168947.1
OG0000004	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1	XP_003399806.1, XP_003396672.1
OG0000004	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1	XP_012175515.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_020721352.1, XP_012173923.2, XP_020723502.1, XP_020723507.1, XP_020723504.1, XP_020723503.1, XP_020723506.1, XP_020723505.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020724024.1
OG0000005	XP_016662685.1	XP_020719947.1
OG0000005	XP_008183146.1, XP_016661324.1, XP_008181853.2, XP_001944491.1, XP_008183396.1	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1
OG0000006	XP_016661819.1	XP_020721870.1, XP_020721956.1, XP_020721955.1, XP_012171125.2, XP_012174398.2, XP_020721957.1, XP_020721867.1, XP_020721866.1, XP_012174904.1
OG0000008	XP_016663037.1	XP_012168744.1
OG0000008	XP_001945226.1	XP_012168771.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_003398745.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1
OG0000010	XP_016657651.1	XP_012174385.1, XP_020723418.1, XP_012174846.1, XP_020723306.1, XP_012171989.1, XP_012174697.1, XP_012174259.1, XP_020723262.1, XP_012173833.1, XP_012174211.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_003392965.1, XP_003392969.1
OG0000013	XP_008188188.1	XP_003400771.1, XP_003400772.1
OG0000013	XP_008186887.1	XP_003400767.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_012172050.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_012169775.2, XP_012164635.1, XP_012164634.1, XP_012164629.1, XP_012164630.1, XP_012169298.1, XP_003399081.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_001952539.2	XP_003401753.1
OG0000020	XP_003244194.1	XP_012167183.1
OG0000020	XP_029343120.1	XP_003394639.2
OG0000020	XP_008182108.1	XP_012167185.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_003393559.1
OG0000020	NP_001280338.1	XP_012164798.2
OG0000020	XP_029347131.1	XP_003403319.2, XP_012173392.1
OG0000020	XP_001947843.1	XP_012174530.1, XP_012170523.1
OG0000020	XP_029343394.1	XP_020723566.1
OG0000021	XP_001945018.2	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_001944401.2	XP_003396414.1, XP_012165450.1, XP_012165451.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_012169135.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_020722863.1, XP_003403430.2, XP_012171598.1, XP_012171599.1, XP_003400635.1
