Orthogroup	Ceratina_calcarata	Drosophila_melanogaster
OG0000001	XP_017879813.1, XP_017879816.1, XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1, XP_017884717.1, XP_017886303.1, XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_026667224.1	NP_523647.2, NP_523721.1
OG0000008	XP_026675049.1	NP_572981.1
OG0000008	XP_017877132.1, XP_017887927.2	NP_572985.1
OG0000008	XP_026667992.1	NP_651466.1
OG0000008	XP_026675083.1	NP_572978.1, NP_572977.1
OG0000008	XP_017891654.1	NP_001285251.1
OG0000008	XP_017891655.1	NP_001285249.1
OG0000008	XP_026666941.1	NP_572987.1
OG0000009	XP_017887163.1, XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_026674950.1, XP_017891474.1, XP_026674951.1, XP_026674959.1, XP_026674961.1, XP_026674957.1, XP_026674960.1, XP_026674952.1, XP_026674953.1, XP_017879450.1, XP_026669011.1, XP_017891472.2, XP_017881630.1, XP_026674945.1, XP_017891477.2, XP_026674947.1	NP_523520.2
OG0000012	XP_017893158.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_017890720.1, XP_017889198.1, XP_026674581.1	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1
OG0000012	XP_017875047.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_026666907.1	NP_722915.1, NP_001285772.1
OG0000012	XP_017890257.1, XP_026672566.1, XP_017889230.1, XP_017890394.1, XP_017886295.1	NP_001036717.1
OG0000013	XP_017875197.1	NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1
OG0000013	XP_017887567.1	NP_001027313.1, NP_001027383.1, NP_001027318.1, NP_001027378.1, NP_001027373.1, NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1
OG0000013	XP_017884545.1, XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_017884546.1, XP_026671801.1	NP_001259374.1
OG0000017	XP_017892800.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_026675002.1	NP_001138040.1
OG0000017	XP_026675010.1, XP_026675012.1, XP_026675011.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_026673006.1, XP_026673004.1	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1
OG0000018	XP_017890581.1, XP_017889371.1	NP_001247286.1
OG0000019	XP_017885630.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_017881798.1, XP_026672764.1	NP_001097100.1, NP_001188701.2
OG0000020	XP_017892668.1	NP_001137799.1, NP_723441.2
OG0000020	XP_017876760.1	NP_001138225.1
OG0000020	XP_026668767.1	NP_001259218.1
OG0000021	XP_017892171.1	NP_648539.1
OG0000021	XP_026674526.1, XP_017890431.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_017878927.1	NP_650482.1, NP_732032.1
OG0000022	XP_017879112.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000022	XP_017888174.1	NP_001027301.1, NP_001027341.1
