Orthogroup	Solenopsis_invicta	Vespa_mandarinia
OG0000001	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1	XP_035720574.1
OG0000001	NP_001306576.1, XP_011159731.1	XP_035726105.1
OG0000001	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2	XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_011164185.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000001	XP_011164532.2	XP_035738421.1
OG0000001	XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1	XP_035741324.1
OG0000002	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1
OG0000002	XP_039304863.1, XP_025987073.2, XP_039304876.1, XP_011158994.1, XP_025986823.2, XP_039305193.1, XP_039305192.1, XP_011158759.1, XP_025986706.2, XP_011158999.2	XP_035737299.1, XP_035737317.1, XP_035737318.1
OG0000002	XP_011175322.2, XP_011158991.3	XP_035737326.1
OG0000002	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1	XP_035737177.1
OG0000002	XP_011159024.2	XP_035737160.1, XP_035737224.1
OG0000002	XP_011159023.1, XP_039305194.1	XP_035737208.1
OG0000002	XP_039304869.1	XP_035737170.1
OG0000002	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1	XP_035737172.1, XP_035737325.1, XP_035737203.1
OG0000002	XP_011159019.1, XP_039304872.1, XP_039304868.1	XP_035737173.1
OG0000002	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1, XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1	XP_035737210.1
OG0000003	XP_039315381.1, XP_039315265.1	XP_035731237.1
OG0000003	XP_039315287.1, XP_039313009.1	XP_035742199.1
OG0000004	XP_039308373.1	XP_035734899.1
OG0000004	XP_025989297.2	XP_035739245.1
OG0000006	XP_025989821.2	XP_035718467.1
