Orthogroup	Bombus_terrestris	Habropoda_laboriosa
OG0000000	XP_012175323.1, XP_012175227.1, XP_012171987.1, XP_012174870.1, XP_012173834.1, XP_012174868.1	XP_017797095.1, XP_017797059.1, XP_017795696.1, XP_017792099.1
OG0000000	XP_012174517.1, XP_020723248.1	XP_017796351.1, XP_017796995.1, XP_017797538.1
OG0000001	XP_012170860.1, XP_003400131.1	XP_017796733.1
OG0000001	XP_012170855.1	XP_017795398.1
OG0000001	XP_003400126.1	XP_017796838.1
OG0000001	XP_003400119.1	XP_017796200.1, XP_017795399.1
OG0000002	XP_012171355.1	XP_017797943.1, XP_017790869.1, XP_017793838.1, XP_017796220.1, XP_017791563.1, XP_017787740.1
OG0000002	XP_012174272.1	XP_017794487.1
OG0000004	XP_012170046.1	XP_017794417.1, XP_017797093.1
OG0000004	XP_012169979.1	XP_017796353.1, XP_017794593.1, XP_017792749.1
OG0000004	XP_020721563.1	XP_017797021.1, XP_017797092.1, XP_017794590.1, XP_017794415.1, XP_017797051.1, XP_017797022.1, XP_017797090.1
OG0000004	XP_020721562.1, XP_003402807.2	XP_017797050.1, XP_017797125.1, XP_017794589.1, XP_017794414.1
OG0000004	XP_020723854.1, XP_020721662.1	XP_017794413.1, XP_017796982.1, XP_017794588.1, XP_017794416.1, XP_017797020.1, XP_017794592.1
OG0000005	XP_012169050.1, XP_012169049.1	XP_017795546.1
OG0000005	XP_020721191.1, XP_012175294.2, XP_020721239.1, XP_012169504.1, XP_020721190.1, XP_020721189.1, XP_012169044.2	XP_017795547.1, XP_017795548.1
OG0000006	XP_003400772.1, XP_003400771.1	XP_017797793.1
OG0000006	XP_003392969.1	XP_017799299.1, XP_017795688.1
OG0000006	XP_003392965.1	XP_017799274.1
OG0000007	XP_012167402.1, XP_020720438.1	XP_017787376.1
OG0000007	XP_020723333.1, XP_012173473.1, XP_012173466.1	XP_017799435.1
OG0000007	XP_020720439.1	XP_017799434.1, XP_017795874.1
OG0000008	XP_003396990.1	XP_017795667.1, XP_017795668.1
OG0000008	XP_003399722.1	XP_017798373.1
OG0000008	XP_003394490.1	XP_017796749.1
OG0000008	XP_003394488.1	XP_017796748.1
OG0000009	XP_012176279.1	XP_017788040.1
