Orthogroup	Nomia_melanderi	Ceratina_calcarata
OG0000000	XP_031836774.1	XP_017887262.1
OG0000000	XP_031839043.1	XP_017887274.1, XP_026671887.1
OG0000000	XP_031836982.1, XP_031836767.1	XP_017882812.1, XP_017875321.1, XP_017893334.1, XP_017881156.1
OG0000000	XP_031848962.1, XP_031848506.1, XP_031836772.1	XP_017881790.1, XP_017875371.1
OG0000000	XP_031848507.1	XP_017884602.1
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1	XP_017891081.1
OG0000001	XP_031842466.1	XP_017891747.1
OG0000001	XP_031836145.1, XP_031836144.1	XP_026675117.1
OG0000001	XP_031828824.1	XP_017884717.1
OG0000001	XP_031840935.1	XP_017886303.1
OG0000001	XP_031848708.1, XP_031848953.1, XP_031848952.1	XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1
OG0000002	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1	XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1
OG0000002	XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1	XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1
OG0000002	XP_031834886.1	XP_017883164.2, XP_026669570.1, XP_017878908.2
OG0000002	XP_031834878.1	XP_017878907.2
OG0000002	XP_031834873.1	XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1
OG0000003	XP_031830190.1	XP_017885066.1
OG0000004	XP_031830869.1, XP_031830868.1, XP_031830867.1	XP_017875127.1
OG0000005	XP_031836533.1, XP_031848459.1	XP_026667095.1
OG0000005	XP_031850389.1	XP_017891414.1
OG0000006	XP_031827661.1	XP_026671184.1
OG0000006	XP_031827716.1	XP_017883408.2
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_026667224.1
OG0000008	XP_031838197.1	XP_026675049.1
OG0000008	XP_031838199.1, XP_031838198.1	XP_017877132.1, XP_017887927.2
OG0000008	XP_031845812.1	XP_026667992.1
OG0000008	XP_031838187.1	XP_026675083.1
OG0000008	XP_031838213.1	XP_017891654.1
OG0000008	XP_031838205.1	XP_017891655.1
OG0000008	XP_031838211.1	XP_026666941.1
OG0000009	XP_031837183.1	XP_017887163.1
OG0000009	XP_031837097.1	XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1
