Orthogroup	Tribolium_castaneum	Solenopsis_invicta
OG0000000	XP_015839988.1	XP_011171895.1
OG0000000	XP_015840338.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_969875.1	XP_011164185.1
OG0000001	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_011164532.2, XP_011164534.2, XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1
OG0000002	XP_015839871.1	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3, XP_039304863.1, XP_025987073.2, XP_039304876.1, XP_011158994.1, XP_025986823.2, XP_039305193.1, XP_039305192.1, XP_011158759.1, XP_025986706.2, XP_011158999.2, XP_011175322.2, XP_011158991.3, XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1, XP_011159024.2, XP_039304874.1, XP_011159023.1, XP_039305194.1, XP_039304869.1, XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1, XP_011159019.1, XP_039304872.1, XP_039304868.1, XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1, XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_015840258.1	XP_039309362.1
OG0000003	XP_008200522.1, XP_015840079.1, XP_015837003.1	XP_011166665.1
OG0000003	XP_015833782.1	XP_039304988.1, XP_039307927.1, XP_039315442.1
OG0000003	XP_008199212.2	XP_039306052.1
