GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0002376,immune system process,377,308,20.3,1e-30,2.614814814814815e-29
GO:0009607,response to biotic stimulus,323,245,17.39,1e-30,2.614814814814815e-29
GO:0043207,response to external biotic stimulus,323,245,17.39,1e-30,2.614814814814815e-29
GO:0051707,response to other organism,323,245,17.39,1e-30,2.614814814814815e-29
GO:0044419,interspecies interaction between organis...,331,245,17.82,1e-30,2.614814814814815e-29
GO:0098542,defense response to other organism,278,227,14.97,1e-30,2.614814814814815e-29
GO:0006952,defense response,285,227,15.35,1e-30,2.614814814814815e-29
GO:0006955,immune response,234,178,12.6,1e-30,2.614814814814815e-29
GO:0009605,response to external stimulus,792,274,42.65,1e-30,2.614814814814815e-29
GO:0002682,regulation of immune system process,191,157,10.29,1e-30,2.614814814814815e-29
GO:0009617,response to bacterium,167,136,8.99,1e-30,2.614814814814815e-29
GO:0042742,defense response to bacterium,157,132,8.45,1e-30,2.614814814814815e-29
GO:0006950,response to stress,976,250,52.56,1e-30,2.614814814814815e-29
GO:0045087,innate immune response,152,120,8.18,1e-30,2.614814814814815e-29
GO:0002831,regulation of response to biotic stimulu...,137,110,7.38,1e-30,2.614814814814815e-29
GO:0050776,regulation of immune response,132,106,7.11,1e-30,2.614814814814815e-29
GO:0002520,immune system development,102,91,5.49,1e-30,2.614814814814815e-29
GO:0048534,hematopoietic or lymphoid organ developm...,102,91,5.49,1e-30,2.614814814814815e-29
GO:0002252,immune effector process,127,100,6.84,1e-30,2.614814814814815e-29
GO:0032101,regulation of response to external stimu...,201,120,10.82,1e-30,2.614814814814815e-29
GO:0050896,response to stimulus,2290,317,123.31,1e-30,2.614814814814815e-29
GO:0031347,regulation of defense response,125,97,6.73,1e-30,2.614814814814815e-29
GO:0030097,hemopoiesis,88,79,4.74,1e-30,2.614814814814815e-29
GO:0080134,regulation of response to stress,263,118,14.16,1e-30,2.614814814814815e-29
GO:0002684,positive regulation of immune system pro...,89,73,4.79,1e-30,2.614814814814815e-29
GO:0048583,regulation of response to stimulus,857,184,46.15,1e-30,2.614814814814815e-29
GO:0050829,defense response to Gram-negative bacter...,81,67,4.36,1e-30,2.614814814814815e-29
GO:0002833,positive regulation of response to bioti...,81,65,4.36,1e-30,2.614814814814815e-29
