Orthogroup	Ceratina_calcarata	Nasonia_vitripennis
OG0000000	XP_017891297.1	XP_031781616.1
OG0000000	XP_017875370.2	XP_031779811.1, XP_031781320.1, XP_008214147.2
OG0000000	XP_017875322.1	XP_031788869.1, XP_031781371.1, XP_031781370.1, XP_031783905.1
OG0000001	XP_017879813.1, XP_017879816.1, XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1
OG0000001	XP_017884717.1	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1
OG0000001	XP_017886303.1	XP_001603508.1, NP_001165940.1, XP_001599460.2
OG0000001	XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1, XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1, XP_017883164.2, XP_026669570.1, XP_017878908.2	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1
OG0000002	XP_017878907.2, XP_017878894.2, XP_026672267.1, XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1, XP_026668778.1, XP_026668788.1	NP_001177431.1
OG0000003	XP_026668995.1	XP_016838740.1
OG0000003	XP_017884413.1	XP_031789191.1
OG0000003	XP_017881808.1	XP_031785823.1, XP_031781096.1, XP_031784226.1, XP_031785932.1, XP_031776870.1, XP_031788863.1
OG0000003	XP_017891009.1, XP_017885064.1, XP_017891010.1, XP_017875587.1, XP_017887400.1	XP_031781091.1, XP_031788338.1
OG0000003	XP_017885066.1	XP_031780280.1
OG0000003	XP_017889192.1	XP_016844563.1
OG0000006	XP_017883408.2	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1
OG0000007	XP_026667908.1, XP_017875316.1, XP_017881154.1	XP_031778752.1
OG0000008	XP_026675049.1	XP_001602085.1
OG0000008	XP_017877132.1, XP_017887927.2	XP_008205990.2
OG0000008	XP_026667992.1	XP_031788628.1
OG0000008	XP_026675083.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_017891654.1	XP_001602133.1
OG0000008	XP_017891655.1	XP_001600419.1
OG0000008	XP_026666941.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_017887163.1	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1
OG0000009	XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_017890720.1, XP_017889198.1, XP_026674581.1	XP_032452116.1, XP_032452115.1
OG0000012	XP_017875047.1	XP_016838732.1
OG0000012	XP_017890257.1, XP_026672566.1	NP_001166049.1, XP_032452528.1
OG0000012	XP_017889230.1, XP_017890394.1, XP_017886295.1	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1
OG0000013	XP_017875197.1	XP_001599179.2
OG0000013	XP_017887567.1	XP_031787547.1, XP_031787524.1, XP_016844795.1, XP_016844794.1, XP_003425535.1, XP_001607330.1, XP_001603659.1, XP_001608284.1, XP_031778023.1, XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1, XP_031778024.1, XP_031778025.1
OG0000013	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1	XP_001608166.1, XP_001608174.1
OG0000015	XP_017886623.1	XP_031778316.1, XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1
OG0000016	XP_017878763.1	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1
OG0000016	XP_017884068.1	XP_032456536.1
OG0000017	XP_026675002.1	NP_001165915.1, XP_031787492.1, XP_001600187.1
OG0000017	XP_026675012.1, XP_026675011.1	NP_001165914.1
OG0000018	XP_026673006.1, XP_026673004.1	XP_008214580.1
OG0000018	XP_017890591.1, XP_026674563.1, XP_017890593.1	XP_001604347.2
OG0000018	XP_017890581.1	XP_031784239.1
OG0000018	XP_017889371.1	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
