Orthogroup	Dufourea_novaeangliae	Solenopsis_invicta
OG0000000	XP_015437064.1, XP_015437899.1, XP_015434762.1	XP_011171895.1
OG0000000	XP_015437066.1	XP_011169834.2, XP_039302930.1
OG0000000	XP_015437833.1	XP_039302811.1, XP_039311985.1, XP_039315440.1, XP_039309134.1, XP_039306383.1, XP_039315356.1, XP_039312423.1, XP_039309935.1, XP_025990812.2, XP_011174764.3, XP_039309112.1
OG0000000	XP_015436978.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_015437418.1	XP_039307919.1, XP_039304380.1
OG0000000	XP_015431641.1	XP_011173050.1, XP_025997552.2
OG0000000	XP_015437823.1, XP_015433132.1, XP_015433592.1	XP_025995820.2, XP_025996528.2, XP_039303369.1, XP_039303384.1, XP_039315197.1, XP_025995613.2, XP_039305162.1, XP_039304826.1, XP_039304354.1, XP_039303464.1, XP_039311280.1, XP_039304376.1, XP_011175283.1, XP_025997196.2, XP_039302109.1, XP_039311320.1, XP_011175794.1, XP_011165058.1, XP_039310735.1, XP_011172569.3, XP_039311166.1, XP_039315241.1, XP_039309085.1, XP_039303563.1, XP_039309247.1, XP_039307953.1, XP_039301763.1, XP_039315534.1, XP_039301764.1, XP_039310346.1, XP_039311317.1, XP_011174949.3, XP_025997375.2
OG0000001	XP_015431819.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_015437062.1	XP_011164185.1
OG0000001	XP_015431466.1	XP_011164532.2, XP_011164534.2
OG0000001	XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1	XP_011162032.2, XP_039315612.1
OG0000002	XP_015431056.1, XP_015431069.1	XP_011175322.2, XP_011158991.3
OG0000002	XP_015431184.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	XP_015431151.1, XP_015431173.1	XP_011159024.2
OG0000002	XP_015431139.1	XP_011159023.1, XP_039305194.1
OG0000002	XP_015431081.1, XP_015431092.1	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	XP_015431116.1, XP_015431127.1	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1
OG0000002	XP_015431105.1, XP_015431162.1	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_015437705.1	XP_039309362.1
OG0000003	XP_015438093.1	XP_039306052.1
OG0000003	XP_015432072.1, XP_015433583.1	XP_039304384.1, XP_039309058.1, XP_039309227.1, XP_039309229.1, XP_039309228.1, XP_039309226.1, XP_039309225.1, XP_039309224.1, XP_039309223.1, XP_025997281.2, XP_039308822.1
OG0000003	XP_015437583.1	XP_039313505.1
OG0000003	XP_015437900.1	XP_039315493.1
OG0000003	XP_015429651.1, XP_015435727.1	XP_039311338.1
OG0000004	XP_015437624.1	XP_039303478.1, XP_039305759.1, XP_025989297.2
OG0000005	XP_015429633.1, XP_015435795.1	XP_025990901.2
OG0000006	XP_015432327.1	XP_025989821.2
OG0000006	XP_015432304.1	XP_039308764.1, XP_011163434.2
OG0000006	XP_015432300.1	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3
OG0000006	XP_015432303.1, XP_015432328.1	XP_039309031.1, XP_039309020.1, XP_039308763.1
OG0000006	XP_015437631.1	XP_011171479.2, XP_039306260.1
OG0000007	XP_015440301.1	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1
OG0000008	XP_015431031.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_015435962.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_015431211.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_015431032.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_015431033.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_015431233.1	XP_039305528.1
OG0000009	XP_015439018.1	XP_011172780.1, XP_011160035.1
