Orthogroup	Bombus_terrestris	Drosophila_melanogaster
OG0000001	XP_003395878.1, XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1, XP_012168947.1, XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_012174904.1	NP_523647.2, NP_523721.1
OG0000008	XP_012168744.1	NP_572981.1
OG0000008	XP_012168771.1	NP_001285251.1
OG0000008	XP_003398745.1	NP_001285249.1
OG0000008	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1	NP_572987.1
OG0000009	XP_003393388.3, XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_020722449.1, XP_003402395.2, XP_020722450.1, XP_020722451.1, XP_003401503.2, XP_020722621.1, XP_003401565.2, XP_020720720.1, XP_003401521.1, XP_020722622.1, XP_003403388.2, XP_003403340.1	NP_523520.2
OG0000012	XP_003402915.1	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1
OG0000012	XP_020723675.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_003402916.2	NP_722915.1, NP_001285772.1
OG0000012	XP_003401050.2, XP_003401048.1	NP_001036717.1
OG0000013	XP_003392965.1, XP_003392969.1	NP_001027294.1, NP_001027338.1
OG0000013	XP_020718381.1	NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1
OG0000013	XP_003400771.1, XP_003400772.1, XP_003400767.1	NP_001259374.1
OG0000017	XP_012175461.1, XP_012175513.1, XP_012175528.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1	NP_001138040.1
OG0000017	XP_012172050.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_012169775.2	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1
OG0000018	XP_003399081.1	NP_001247286.1
OG0000019	XP_003401949.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_012167183.1	NP_723103.1
OG0000020	XP_003394639.2	NP_001097100.1, NP_001188701.2
OG0000020	XP_012167185.1	NP_723828.1
OG0000020	XP_003393559.1	NP_001137799.1, NP_723441.2
OG0000020	XP_012164798.2	NP_001097508.2
OG0000020	XP_003403319.2	NP_651649.1
OG0000020	XP_012174530.1, XP_012170523.1	NP_001138225.1
OG0000020	XP_020723566.1	NP_001259218.1
OG0000021	XP_012171597.1, XP_020722326.1, XP_003400632.1	NP_648539.1
OG0000021	XP_012169135.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_020722863.1, XP_003403430.2	NP_611262.1, NP_651761.2
OG0000022	XP_003394856.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000026	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1	NP_001014616.2
OG0000026	XP_020719195.1	NP_001163838.2
OG0000026	XP_003402888.1, XP_003402887.1, XP_012174757.1	NP_001285239.1
OG0000027	XP_003392964.1, XP_003392970.1	NP_001027342.1
OG0000027	XP_012166136.1	NP_001027327.1, NP_001262576.1, NP_001027372.1, NP_001027367.1, NP_001027377.1, NP_001027284.1, NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1, NP_001027332.1, NP_001027288.1, NP_001027347.1
OG0000029	XP_003399185.1, XP_012169459.1	NP_647872.1, NP_650813.2
OG0000029	XP_020721313.1, XP_020721315.1	NP_647875.1, NP_647873.2
OG0000032	XP_020723342.1	NP_609175.2
OG0000032	XP_003396103.1	NP_001285067.1
OG0000032	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000035	XP_003394979.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000035	XP_020718418.1	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1
OG0000037	XP_003403001.3	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_003396169.1, XP_003399700.1	NP_476772.1, NP_524264.1
OG0000038	XP_003401138.1	NP_650674.1
OG0000040	XP_003393536.1, XP_003393535.1, XP_012164479.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_003394490.1	NP_001262200.1
OG0000041	XP_003399722.1	NP_477037.2
OG0000042	NP_001272327.1, XP_012163186.1	NP_731781.1
OG0000042	NP_001267818.1	NP_651966.2, NP_650201.1, NP_652731.1
OG0000043	XP_003392868.1	NP_001286870.1
OG0000043	XP_012173547.1	NP_524121.2
OG0000044	XP_020723893.1, XP_012175325.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_020723251.1	NP_651674.3
OG0000045	XP_003395914.2, XP_003403314.1, XP_020719958.1, XP_003402225.2, XP_012164669.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_012176148.2	NP_001285139.1
OG0000046	XP_003397462.1	NP_001262586.1
OG0000046	XP_003396775.3	NP_524063.1
