Orthogroup	Megachile_rotundata	Dufourea_novaeangliae
OG0000000	XP_012136800.1, XP_012153563.1	XP_015438113.1, XP_015437823.1, XP_015437079.1
OG0000000	XP_012145447.1	XP_015438108.1
OG0000000	XP_012134488.1	XP_015433592.1, XP_015433132.1
OG0000000	XP_012135784.1	XP_015437138.1
OG0000000	XP_012147726.1	XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1
OG0000001	XP_003704416.1, XP_003704279.1, XP_012143067.1	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1
OG0000001	XP_003704414.1	XP_015434778.1, XP_015434773.1, XP_015434772.1
OG0000001	XP_012140371.1, XP_012140372.1, XP_003703231.1	XP_015434774.1
OG0000001	XP_012143070.1, XP_003704281.1, XP_012143072.1, XP_012143071.1	XP_015438122.1
OG0000002	XP_012151833.1, XP_012151897.1, XP_012152158.1, XP_012148727.1, XP_012142570.1, XP_012139970.1, XP_012150520.1, XP_012151027.1, XP_012146357.1, XP_012152029.1, XP_012146064.1, XP_012150440.1, XP_012150438.1, XP_012150439.1, XP_012150437.1, XP_012145934.1, XP_012139081.1, XP_012150985.1, XP_012151889.1, XP_012147245.1	XP_015431885.1, XP_015430410.1, XP_015434271.1
OG0000002	XP_012134947.1	XP_015437433.1
OG0000003	XP_012152731.1	XP_015438307.1, XP_015439948.1
OG0000003	XP_012143994.1	XP_015437574.1
OG0000003	XP_012135719.1	XP_015433590.1
OG0000006	XP_003708097.1	XP_015434157.1
OG0000006	XP_003707914.1	XP_015435345.1
OG0000007	XP_012152319.1, XP_012152339.1, XP_012152307.1, XP_012148352.1	XP_015439489.1
OG0000008	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_015433852.1
OG0000008	XP_012147260.1, XP_012147261.1, XP_012147262.1, XP_012147263.1, XP_003706097.1, XP_003706098.1	XP_015434640.1
OG0000009	XP_012137585.1, XP_003701951.1, XP_012137586.1, XP_012137584.1, XP_012137583.1	XP_015437448.1, XP_015437450.1, XP_015437451.1
OG0000010	XP_012143890.1	XP_015437926.1
OG0000010	XP_012143985.1, XP_012143891.1, XP_012143986.1, XP_012143988.1, XP_003704733.2, XP_012143893.1	XP_015437927.1
OG0000011	XP_012144536.1, XP_012144535.1, XP_003704922.1, XP_012144537.1, XP_012144538.1	XP_015432705.1, XP_015432704.1
OG0000012	XP_003704990.1, XP_012144440.1, XP_012144439.1, XP_012144443.1, XP_012144442.1, XP_012144441.1, XP_012144449.1, XP_012144447.1, XP_012144448.1, XP_012144445.1, XP_012144446.1	XP_015432146.1
OG0000013	XP_012153435.1, XP_012148641.1	XP_015440395.1
OG0000013	XP_012142648.1	XP_015440032.1, XP_015433591.1
OG0000013	XP_012147489.1, XP_012152965.1, XP_012135752.1, XP_012146605.1, XP_012145822.1	XP_015438886.1
OG0000013	XP_012146322.1	XP_015438310.1
OG0000013	XP_012141582.1	XP_015436653.1
OG0000014	XP_012151723.1	XP_015435403.1
OG0000014	XP_003703732.1	XP_015435405.1, XP_015440405.1
OG0000015	XP_012143129.1	XP_015432301.1
OG0000017	XP_003702158.1	XP_015435373.1, XP_015435410.1, XP_015438105.1
OG0000018	XP_003700281.2	XP_015429717.1
OG0000019	XP_003703399.2	XP_015437181.1
OG0000021	XP_012146123.1, XP_012145356.1, XP_012142411.1	XP_015437897.1
OG0000021	XP_012151895.1	XP_015437828.1, XP_015437070.1, XP_015430609.1
OG0000022	XP_012135670.1, XP_012135669.1, XP_012135674.1, XP_012135673.1, XP_012135668.1, XP_003701272.1, XP_012135671.1	XP_015433494.1
OG0000023	XP_012152967.1	XP_015440316.1
OG0000025	XP_012154268.1, XP_012154273.1, XP_012154274.1, XP_012154271.1, XP_012154272.1, XP_012154275.1, XP_012154270.1, XP_012154269.1	XP_015428496.1
OG0000026	XP_012149137.1, XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1
OG0000027	XP_012149831.1, XP_012149830.1, XP_012149829.1, XP_012149828.1, XP_012149826.1, XP_012149827.1, XP_012149825.1	XP_015436027.1
OG0000028	XP_003704470.2	XP_015429673.1, XP_015429675.1, XP_015429674.1
OG0000029	XP_003702607.2	XP_015435655.1, XP_015435654.1
OG0000031	XP_003704987.1, XP_012144433.1, XP_012144432.1, XP_012144434.1, XP_012144430.1, XP_012144435.1, XP_012144429.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000032	XP_012148161.1, XP_012148158.1, XP_012148159.1, XP_003706562.1, XP_012148157.1, XP_012148160.1	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1
OG0000033	XP_003701918.1, XP_012137454.1, XP_012137456.1, XP_012137455.1	XP_015437422.1, XP_015437423.1
OG0000034	XP_003707471.1, XP_012149993.1	XP_015439801.1
OG0000034	XP_012151556.1, XP_012151555.1, XP_003707862.1	XP_015435295.1, XP_015435294.1
OG0000035	XP_012141604.1	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1
OG0000036	XP_012152961.1, XP_012152968.1, XP_012152971.1, XP_012152963.1	XP_015438705.1
OG0000037	XP_012150894.1	XP_015429868.1
OG0000038	XP_012153341.1	XP_015428850.1, XP_015428848.1, XP_015428851.1
OG0000038	XP_003705350.1	XP_015439294.1, XP_015439293.1
OG0000039	XP_012141557.1, XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1	XP_015428729.1
OG0000040	XP_003707562.1, XP_012150853.1, XP_012150852.1	XP_015436163.1
OG0000041	XP_012153215.1	XP_015430124.1
OG0000043	XP_012147890.1	XP_015430085.1
OG0000044	XP_012146996.1, XP_012146995.1, XP_012146998.1, XP_012146997.1, XP_012146999.1, XP_012147000.1	XP_015434933.1, XP_015434934.1
OG0000046	XP_003700842.2, XP_003700923.1, XP_003700925.1, XP_003700922.1, XP_012135245.1	XP_015431116.1, XP_015431127.1
OG0000047	XP_012151724.1, XP_012141737.1	XP_015436673.1, XP_015438104.1, XP_015435346.1, XP_015435342.1
OG0000048	XP_012149905.1	XP_015440349.1, XP_015435652.1, XP_015435244.1, XP_015437628.1, XP_015429494.1, XP_015436676.1, XP_015433177.1, XP_015434570.1, XP_015437853.1
OG0000048	XP_012145434.1	XP_015437127.1
OG0000049	XP_003702704.1, XP_003702718.1	XP_015435659.1
OG0000050	XP_012138838.1, XP_012138835.1, XP_003702490.1, XP_012138837.1, XP_012138836.1	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1
OG0000051	XP_012134574.1, XP_012134573.1, XP_012134572.1	XP_015438716.1
OG0000052	XP_012140603.1, XP_012140604.1, XP_003703247.1, XP_012140602.1, XP_012140601.1, XP_012140598.1, XP_012140597.1, XP_012140600.1, XP_012140599.1, XP_012140605.1	XP_015440372.1
OG0000054	XP_003703348.2	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1
OG0000055	XP_012144258.1	XP_015436316.1
OG0000056	XP_012139779.1, XP_012139778.1, XP_012139774.1, XP_012139776.1, XP_012139777.1, XP_012139775.1	XP_015438965.1
OG0000058	XP_003700914.1, XP_003700911.2	XP_015431081.1
OG0000059	XP_003703733.1	XP_015435357.1
OG0000059	XP_003707917.1	XP_015435350.1
OG0000060	XP_012154009.1	XP_015439981.1
OG0000063	XP_003708656.1	XP_015435591.1
OG0000063	XP_003700660.1	XP_015434749.1
OG0000064	XP_012153286.1	XP_015439422.1
OG0000064	XP_003703285.1	XP_015436794.1, XP_015438692.1
OG0000065	XP_012135659.1	XP_015440531.1
OG0000067	XP_003706502.1	XP_015435677.1, XP_015435676.1
OG0000068	XP_003700934.1, XP_003700844.1, XP_003700845.1, XP_003700846.1	XP_015431173.1, XP_015431151.1
OG0000069	XP_012139835.1	XP_015439140.1
OG0000070	XP_003702365.2	XP_015433091.1
OG0000071	XP_012140336.1, XP_003699580.1, XP_012140342.1, XP_012140354.1, XP_012140349.1	XP_015436200.1
OG0000072	XP_003707713.1, XP_012151048.1	XP_015434855.1, XP_015434863.1
OG0000073	XP_012149658.1, XP_012149660.1, XP_003707166.1, XP_012149661.1, XP_012149659.1, XP_012149656.1, XP_012149657.1	XP_015432205.1
OG0000074	XP_003705489.1, XP_003705491.1	XP_015438918.1
OG0000076	XP_003700102.1	XP_015436046.1
OG0000077	XP_003702219.1, XP_003702293.1	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1
OG0000078	XP_012140362.1, XP_012135466.1, XP_012138672.1	XP_015438151.1, XP_015435224.1, XP_015439947.1
OG0000079	XP_003705989.1, XP_012147006.1, XP_012147007.1, XP_012147009.1	XP_015434849.1
