Orthogroup	Eufriesea_mexicana	Bombyx_mori
OG0000000	XP_017765285.1, XP_017763967.1	XP_037873921.1, XP_037871812.1
OG0000000	XP_017762447.1	XP_037875266.1
OG0000000	XP_017764141.1	XP_037870339.1
OG0000001	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1, XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_017759613.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_017767083.1, XP_017759625.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000004	XP_017762861.1, XP_017753050.1	XP_037866663.1, XP_037874920.1
OG0000004	XP_017757888.1, XP_017762896.1, XP_017764808.1, XP_017765506.1, XP_017764873.1, XP_017759467.1	XP_012549606.2
OG0000004	XP_017756490.1, XP_017765529.1, XP_017762446.1, XP_017759643.1, XP_017765018.1, XP_017762993.1, XP_017765344.1, XP_017756226.1, XP_017759329.1, XP_017752724.1, XP_017752718.1, XP_017765343.1, XP_017765490.1, XP_017752726.1, XP_017754359.1, XP_017763966.1, XP_017763517.1, XP_017754218.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000005	XP_017763088.1, XP_017763087.1	XP_037870301.1
OG0000008	XP_017764283.1	XP_012548163.2
OG0000008	XP_017752288.1	XP_012548032.1
OG0000008	XP_017765710.1	XP_037872354.1
OG0000008	XP_017764163.1	XP_012548168.1
OG0000008	XP_017764510.1	XP_021205470.2
OG0000008	XP_017764053.1, XP_017763974.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_017757841.1, XP_017757840.1, XP_017765586.1, XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000010	XP_017762078.1	XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1
OG0000010	XP_017758941.1	XP_004922866.1
OG0000010	XP_017766494.1, XP_017764809.1, XP_017765358.1	XP_037872909.1
OG0000012	XP_017754921.1, XP_017754945.1	XP_012543999.1, NP_001037317.1
OG0000012	XP_017754933.1	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2
OG0000013	XP_017764546.1	XP_004933313.1
OG0000013	XP_017754146.1	NP_001040399.1
OG0000013	XP_017760617.1, XP_017760618.1, XP_017760616.1	NP_001091756.1
OG0000016	XP_017766957.1	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1
OG0000017	XP_017756243.1	NP_001037183.1
OG0000017	XP_017756241.1, XP_017756242.1, XP_017756232.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_017763433.1	XP_037871931.1
OG0000018	XP_017760874.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_017758049.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_017758970.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_017754922.1	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_017757913.1	XP_004927318.1
OG0000020	XP_017759430.1	XP_021206581.1
OG0000020	XP_017758962.1, XP_017756685.1	XP_012545030.1
OG0000020	XP_017759431.1	XP_037867737.1
OG0000020	XP_017763358.1, XP_017758008.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_017758540.1	XP_037874470.1, XP_037874469.1
OG0000020	XP_017756344.1	XP_012548770.1
OG0000020	XP_017763402.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_017759339.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_017763116.1	XP_012546046.1
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_004926417.1
OG0000021	XP_017764524.1, XP_017763364.1	XP_037869061.1
OG0000021	XP_017759315.1	XP_037872785.1
OG0000022	XP_017765129.1	NP_001153667.1
OG0000023	XP_017754147.1	NP_001153668.1
OG0000024	XP_017753900.1	XP_004924130.1
OG0000025	XP_017767748.1, XP_017755835.1	XP_037869780.1
OG0000025	XP_017765323.1	XP_037869031.1
OG0000026	XP_017756869.1	XP_037867257.1
OG0000026	XP_017760223.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_021204803.2
OG0000026	XP_017767765.1, XP_017752170.1	XP_004929451.1, XP_012548588.1
OG0000027	XP_017764550.1	NP_001153669.1
OG0000029	XP_017755085.1, XP_017755078.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	XP_017764405.1, XP_017764404.1, XP_017755093.1, XP_017755092.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_017764870.1	XP_037875304.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_004926017.1
OG0000031	XP_017763357.1	XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1
OG0000032	XP_017755945.1	XP_012545284.2, XP_021208619.1
OG0000032	XP_017765759.1, XP_017765770.1, XP_017762938.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000035	XP_017767482.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	XP_017761425.1	NP_001243964.1, NP_001243980.1
OG0000036	XP_017761194.1, XP_017761192.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_017756758.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_017766133.1, XP_017752930.1	NP_001036884.1
OG0000038	XP_017758046.1	NP_001036886.1, XP_021204307.1
OG0000039	XP_017762235.1	XP_037875873.1, XP_037875721.1, XP_037875722.1, XP_037875265.1, XP_037867939.1, XP_037877376.1, XP_037877375.1, XP_037870392.1, XP_037870333.1, XP_012548402.1, XP_012548403.1, XP_021207874.2, XP_037866956.1, XP_037868982.1, XP_037877018.1, XP_012548919.1
OG0000040	XP_017760692.1, XP_017754464.1, XP_017760639.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_017765153.1	NP_001119727.1
OG0000041	XP_017759621.1, XP_017759618.1, XP_017759619.1, XP_017759620.1	NP_001119724.1
OG0000041	XP_017754630.1	NP_001119726.1, XP_037872546.1
OG0000042	XP_017757032.1	XP_004925565.1
OG0000042	XP_017762656.1	NP_001296474.1, NP_001296524.1, NP_001296530.1
OG0000042	XP_017758606.1	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	XP_017765446.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_017760488.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_017767293.1, XP_017767299.1, XP_017767300.1	NP_001036834.1
OG0000044	XP_017767304.1	XP_037868658.1
OG0000045	XP_017753918.1, XP_017763731.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_017765106.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_017757713.1, XP_017764994.1	NP_001036892.1
OG0000050	XP_017754840.1, XP_017754998.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_017753622.1, XP_017753621.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000054	XP_017761989.1	NP_001040112.1
OG0000054	XP_017761973.1, XP_017761971.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_017753007.1	XP_021207833.1
OG0000055	XP_017759282.1	XP_012548893.1, NP_001036959.1
OG0000056	XP_017763577.1, XP_017761920.1	XP_037866675.1
OG0000056	XP_017759468.1	XP_037872689.1
OG0000056	XP_017758914.1	XP_037871311.1
OG0000056	XP_017762251.1	XP_037873641.1
OG0000057	XP_017757145.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_017767144.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_017757194.1	NP_001036965.1
OG0000057	XP_017757144.1	NP_001036888.1
OG0000057	XP_017757146.1	NP_001037492.1, NP_001093079.1
OG0000060	XP_017755704.1	XP_004925993.2
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_017754233.1	XP_012551685.2
OG0000062	XP_017759727.1	XP_021205992.1, NP_001091767.1
OG0000062	XP_017762224.1, XP_017762229.1, XP_017762225.1, XP_017762231.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000065	XP_017764117.1	XP_004931596.1
OG0000065	XP_017764126.1, XP_017764130.1, XP_017764140.1	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000067	XP_017760301.1	XP_004931451.1
OG0000067	XP_017754867.1	NP_001037582.1
OG0000067	XP_017760549.1	XP_037877745.1
OG0000069	XP_017754841.1	NP_001243973.1
OG0000070	XP_017764056.1, XP_017758779.1, XP_017764085.1	NP_001166602.1
OG0000073	XP_017761867.1, XP_017761873.1, XP_017761872.1, XP_017761874.1	NP_001243938.1
OG0000074	XP_017765289.1	XP_037875797.1
OG0000076	XP_017762647.1, XP_017762444.1, XP_017762448.1, XP_017755225.1	XP_037869185.1, XP_037874698.1, XP_037877095.1
OG0000077	XP_017764095.1	XP_037870080.1
OG0000077	XP_017755927.1	NP_001037478.1
OG0000078	XP_017756551.1, XP_017753026.1, XP_017753027.1, XP_017753037.1, XP_017753029.1, XP_017753025.1, XP_017765591.1, XP_017762297.1, XP_017762310.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000080	XP_017763299.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_017763330.1, XP_017763331.1	XP_004931946.1
OG0000080	XP_017763303.1	XP_037874734.1
OG0000082	XP_017760548.1, XP_017760559.1, XP_017760564.1	XP_004927040.1, NP_001124343.1
