GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0003676	nucleic acid binding	34	6	6.53	0.20	0.391	1	0.9473333333333332
GO:0003924	GTPase activity	10	3	1.92	0.22	0.216	1	0.8706923076923078
GO:0005525	GTP binding	10	3	1.92	0.22	0.216	1	0.8706923076923078
GO:0036094	small molecule binding	44	8	8.45	0.32	0.450	1	0.9473333333333332
GO:0140110	transcription regulator activity	16	4	3.07	0.35	0.321	1	0.9473333333333332
GO:0016740	transferase activity	34	5	6.53	0.38	0.665	1	0.9473333333333332
GO:0017111	nucleoside-triphosphatase activity	18	4	3.46	0.40	0.231	1	0.8706923076923078
GO:0008233	peptidase activity	17	2	3.27	0.47	0.928	1	0.9473333333333334
GO:0003700	DNA-binding transcription factor activity	13	3	2.5	0.54	0.538	1	0.9473333333333332
GO:0004175	endopeptidase activity	14	2	2.69	0.59	0.585	1	0.9473333333333332
GO:0005488	binding	135	28	25.93	0.61	0.093	1	0.8706923076923078
GO:0008270	zinc ion binding	10	2	1.92	0.63	0.626	1	0.9473333333333332
GO:0140096	catalytic activity, acting on a protein	51	7	9.8	0.69	0.901	1	0.9473333333333334
GO:0005524	ATP binding	31	5	5.95	0.71	0.705	1	0.9473333333333332
GO:0098772	molecular function regulator	26	5	4.99	0.72	0.495	1	0.9473333333333332
GO:0003677	DNA binding	19	2	3.65	0.74	0.744	1	0.9473333333333332
GO:0005515	protein binding	67	15	12.87	0.78	0.778	1	0.9473333333333332
GO:0003824	catalytic activity	88	14	16.9	0.80	0.850	1	0.9473333333333332
GO:0004672	protein kinase activity	22	3	4.23	0.81	0.806	1	0.9473333333333332
GO:0000166	nucleotide binding	43	8	8.26	0.82	0.541	1	0.9473333333333332
GO:0016787	hydrolase activity	44	7	8.45	0.86	0.702	1	0.9473333333333332
GO:0046872	metal ion binding	19	3	3.65	0.90	0.870	1	0.9473333333333332
GO:1901363	heterocyclic compound binding	76	13	14.6	0.93	0.676	1	0.9473333333333332
GO:0097159	organic cyclic compound binding	76	13	14.6	0.93	0.676	1	0.9473333333333332
GO:0016772	transferase activity, transferring phosphorus-containing groups	23	3	4.42	1.00	0.913	1	0.9473333333333334
GO:0043168	anion binding	44	8	8.45	1.00	0.450	1	0.9473333333333332
GO:0032559	adenyl ribonucleotide binding	32	5	6.15	1.00	0.816	1	0.9473333333333332
GO:0019001	guanyl nucleotide binding	10	3	1.92	1.00	0.216	1	0.8706923076923078
GO:0001882	nucleoside binding	10	3	1.92	1.00	0.216	1	0.8706923076923078
GO:0001883	purine nucleoside binding	10	3	1.92	1.00	0.216	1	0.8706923076923078
GO:1901265	nucleoside phosphate binding	43	8	8.26	1.00	0.541	1	0.9473333333333332
GO:0032561	guanyl ribonucleotide binding	10	3	1.92	1.00	0.216	1	0.8706923076923078
GO:0046914	transition metal ion binding	10	2	1.92	1.00	0.626	1	0.9473333333333332
GO:0097367	carbohydrate derivative binding	42	8	8.07	1.00	0.426	1	0.9473333333333332
GO:0035639	purine ribonucleoside triphosphate binding	41	8	7.88	1.00	0.322	1	0.9473333333333332
GO:0032549	ribonucleoside binding	10	3	1.92	1.00	0.216	1	0.8706923076923078
GO:0032550	purine ribonucleoside binding	10	3	1.92	1.00	0.216	1	0.8706923076923078
GO:0016301	kinase activity	22	3	4.23	1.00	0.806	1	0.9473333333333332
GO:0016462	pyrophosphatase activity	18	4	3.46	1.00	0.231	1	0.8706923076923078
GO:0032553	ribonucleotide binding	42	8	8.07	1.00	0.426	1	0.9473333333333332
GO:0016773	phosphotransferase activity, alcohol group as acceptor	22	3	4.23	1.00	0.806	1	0.9473333333333332
GO:0003674	molecular_function	177	34	34	1.00	1.000	1	1
GO:0030554	adenyl nucleotide binding	32	5	6.15	1.00	0.816	1	0.9473333333333332
GO:0032555	purine ribonucleotide binding	42	8	8.07	1.00	0.426	1	0.9473333333333332
GO:0017076	purine nucleotide binding	42	8	8.07	1.00	0.426	1	0.9473333333333332
GO:0016817	hydrolase activity, acting on acid anhydrides	18	4	3.46	1.00	0.231	1	0.8706923076923078
GO:0043167	ion binding	62	10	11.91	1.00	0.626	1	0.9473333333333332
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	18	4	3.46	1.00	0.231	1	0.8706923076923078
GO:0043169	cation binding	19	3	3.65	1.00	0.870	1	0.9473333333333332
