Orthogroup	Nasonia_vitripennis	Vespa_mandarinia
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_035720574.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1, XP_035732420.1, XP_035726105.1, XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000001	XP_001603508.1	XP_035738421.1
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_035741324.1
OG0000002	NP_001177429.1	XP_035737326.1
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_035737177.1, XP_035737160.1, XP_035737224.1
OG0000002	NP_001177431.1	XP_035737208.1, XP_035737170.1, XP_035737172.1, XP_035737325.1, XP_035737203.1, XP_035737175.1, XP_035737209.1, XP_035737176.1, XP_035737173.1, XP_035737210.1
OG0000003	XP_031777336.1	XP_035731237.1
OG0000003	XP_016844563.1	XP_035742199.1
OG0000006	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1	XP_035718471.1
OG0000008	XP_001602085.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_001602133.1	XP_035736007.1
OG0000008	XP_001600419.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_035722243.1
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_035733996.1, XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
OG0000010	XP_031777480.1, XP_031788732.1, XP_031781364.1, XP_031777465.1, XP_031788839.1, XP_031781789.1, XP_031789236.1, XP_031786424.1, XP_031777471.1, XP_008213909.1, XP_008208132.1, XP_031788414.1	XP_035740256.1, XP_035736363.1, XP_035723753.1, XP_035737757.1, XP_035742633.1, XP_035724078.1, XP_035736366.1, XP_035742251.1, XP_035737492.1, XP_035742783.1, XP_035737758.1, XP_035740321.1, XP_035737495.1, XP_035723442.1, XP_035742250.1
OG0000012	XP_016838732.1	XP_035729179.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_035731128.1
OG0000012	XP_001603672.1	XP_035731058.1, XP_035731059.1
OG0000013	XP_001599179.2	XP_035732971.1
OG0000013	XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1	XP_035725915.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_035732323.1
OG0000014	XP_003424032.1, XP_003424031.1	XP_035740842.1
OG0000016	XP_032456536.1	XP_035739379.1
OG0000017	NP_001165913.1, NP_001165914.1	XP_035728385.1
OG0000018	XP_008214580.1	XP_035730877.1
OG0000018	XP_001604347.2	XP_035718019.1
OG0000018	XP_031784239.1	XP_035718148.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_035735080.1
OG0000019	XP_032454031.1	XP_035725574.1, XP_035725576.1
OG0000019	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2	XP_035720602.1
OG0000019	XP_031783671.1	XP_035726985.1
OG0000020	XP_031778749.1, XP_031781856.1	XP_035728836.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_035729141.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1
OG0000021	XP_001603725.1	XP_035723530.1
OG0000021	XP_001601834.2	XP_035723165.1, XP_035723164.1
OG0000021	XP_008201868.1	XP_035743843.1, XP_035743842.1
OG0000022	XP_032456078.1	XP_035725916.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_035721830.1
OG0000024	XP_001604944.4	XP_035742194.1
OG0000024	XP_001599160.3	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000024	XP_008216554.1	XP_035738183.1
OG0000024	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1
OG0000024	NP_001166221.1	XP_035738182.1
OG0000026	XP_032452024.1	XP_035728457.1
OG0000026	XP_008204831.1	XP_035718093.1, XP_035718094.1
OG0000027	XP_001599220.1	XP_035725930.1
OG0000027	XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1	XP_035725928.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_035732363.1, XP_035732348.1
OG0000029	NP_001166265.1	XP_035737588.1
OG0000029	NP_001166272.1	XP_035732367.1, XP_035732349.1
OG0000032	XP_016838416.1	XP_035723151.1
OG0000032	XP_031787250.1	XP_035735826.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_035730167.1
OG0000034	NP_001177575.1, XP_031786113.1, NP_001177706.1, NP_001177573.1, XP_031778376.1, NP_001177576.1, XP_031779750.1, NP_001177574.1	XP_035720594.1
OG0000034	XP_031781941.1, NP_001177555.1, NP_001177554.1, XP_031784325.1, XP_031781934.1, NP_001164416.1, NP_001177556.1, XP_031789369.1, XP_031776906.1, XP_031787665.1, NP_001164405.1, NP_001177423.1	XP_035719158.1
OG0000034	XP_016845910.1	XP_035728850.1, XP_035728849.1, XP_035728545.1, XP_035730148.1, XP_035736841.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_035741912.1, XP_035741914.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_035731371.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_035729817.1, XP_035729794.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_035725074.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_035727166.1
OG0000039	XP_031778424.1	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1	XP_035729456.1
OG0000040	XP_031787073.1	XP_035729457.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_035742485.1
OG0000040	XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_035725216.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_035743035.1
OG0000041	XP_001600960.1	XP_035742719.1
OG0000041	XP_001601342.1	XP_035742718.1, XP_035742717.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_035732212.1
OG0000043	XP_008208463.1	XP_035731122.1
OG0000044	XP_031787739.1	XP_035717273.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	XP_035720478.1, XP_035720481.1, XP_035720479.1
OG0000045	NP_001153339.1, NP_001153340.1	XP_035731034.1, XP_035731019.1
OG0000045	XP_001604662.2	XP_035720482.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_035742841.1
OG0000046	XP_001604460.2	XP_035742705.1
OG0000046	XP_001599773.3, XP_031779567.1, XP_001604951.2	XP_035722173.1
OG0000046	XP_032452163.1, NP_001166228.1	XP_035734549.1
OG0000046	XP_001608044.1	XP_035728851.1, XP_035728840.1
OG0000048	XP_003426470.1	XP_035728121.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1
OG0000050	XP_008216259.1, XP_001608200.1	XP_035718383.1
OG0000052	XP_001607313.2	XP_035730522.1
OG0000052	XP_031779680.1, XP_016838631.1	XP_035729830.1, XP_035729829.1, XP_035729805.1
OG0000052	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1	XP_035743009.1, XP_035743008.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_035724338.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_035724099.1, XP_035724441.1
OG0000055	XP_001602853.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_008215920.1	XP_035720014.1
OG0000056	XP_031780252.1	XP_035726130.1
OG0000056	XP_001604931.2	XP_035718477.1
OG0000056	XP_008202999.3	XP_035728622.1
OG0000056	XP_008204847.1	XP_035733992.1
OG0000056	XP_032455826.1	XP_035741213.1
OG0000056	XP_031784842.1	XP_035729096.1
OG0000057	XP_031785452.1	XP_035734097.1
OG0000057	XP_001602360.1	XP_035721261.1
OG0000057	XP_003427519.1	XP_035734264.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_035734268.1
OG0000058	NP_001177491.1	XP_035739545.1, XP_035739536.1, XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_035730103.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_035724328.1
OG0000062	XP_003425371.1	XP_035728895.1
OG0000062	XP_003425370.1	XP_035728894.1
OG0000062	XP_008202211.1	XP_035728892.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_001605420.2	XP_035734988.1
OG0000067	XP_031788440.1	XP_035718759.1
OG0000067	XP_031782248.1	XP_035729165.1, XP_035729166.1
OG0000067	XP_008209138.1	XP_035724654.1
OG0000069	XP_031782526.1, XP_032453936.1, XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_035737423.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_035741501.1, XP_035741694.1, XP_035741503.1, XP_035741697.1, XP_035741696.1, XP_035741504.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_035719932.1, XP_035736547.1
OG0000077	XP_003423914.1	XP_035738027.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1
OG0000079	XP_031783468.1	XP_035741820.1, XP_035741810.1, XP_035741818.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_035724002.1
OG0000080	XP_016838620.1	XP_035722996.1
OG0000081	NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_035739549.1, XP_035739551.1, XP_035739552.1, XP_035739548.1
OG0000082	XP_003427814.1	XP_035733058.1, XP_035733057.1, XP_035733059.1
OG0000084	XP_001600091.2	XP_035738870.1
OG0000084	NP_001161311.1	XP_035739145.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1
OG0000086	XP_031786740.1, NP_001166061.1	XP_035718518.1
OG0000086	XP_008207491.1	XP_035718534.1
OG0000086	XP_008218019.2	XP_035737219.1, XP_035737220.1
OG0000087	NP_001153411.1	XP_035734892.1
OG0000087	XP_001603938.2	XP_035735028.1
OG0000089	XP_016843743.1	XP_035732042.1
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_035729577.1
OG0000090	XP_031781279.1, XP_031785958.1	XP_035719369.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_035743855.1
OG0000092	NP_001153343.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_016843499.1	XP_035719719.1
OG0000092	XP_001599003.1	XP_035718227.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000094	XP_001605100.1	XP_035729864.1
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1
OG0000096	XP_008209422.1	XP_035735801.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_035724668.1, XP_035724666.1
OG0000097	XP_001600781.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	NP_001166227.1, XP_008208182.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_008207065.2	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_031785392.1	XP_035729911.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1
OG0000101	XP_016842653.2	XP_035724161.1
OG0000101	NP_001155060.1	XP_035724180.1
OG0000102	XP_031786135.1	XP_035722712.1
OG0000102	XP_031786805.1	XP_035722713.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_035729002.1, XP_035728999.1
OG0000106	NP_001177710.1	XP_035733408.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_035736824.1, XP_035733484.1, XP_035733488.1, XP_035733521.1, XP_035742386.1, XP_035733487.1, XP_035733491.1, XP_035733520.1, XP_035733489.1, XP_035733485.1, XP_035733486.1, XP_035727546.1, XP_035733497.1, XP_035733502.1, XP_035733494.1, XP_035742377.1, XP_035733495.1, XP_035733496.1, XP_035733499.1, XP_035733501.1, XP_035733500.1, XP_035742401.1, XP_035733493.1, XP_035742397.1, XP_035742391.1, XP_035742388.1, XP_035742396.1, XP_035742394.1, XP_035742389.1, XP_035742398.1, XP_035742399.1, XP_035727502.1, XP_035742387.1, XP_035733492.1
OG0000108	XP_008204318.1	XP_035729960.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_035729104.1, XP_035729105.1
