GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0045495	pole plasm	10	7	5.14	0.00014	0.00014	0.015819999999999997	0.015819999999999997
GO:0036464	cytoplasmic ribonucleoprotein granule	12	9	6.17	0.00404	0.00404	0.22826000000000002	0.049268000000000006
GO:1990904	ribonucleoprotein complex	29	22	14.92	0.00861	0.00861	0.32431	0.0810775
GO:0098687	chromosomal region	21	16	10.8	0.01269	0.01269	0.3405066666666666	0.10207666666666666
GO:1990234	transferase complex	37	27	19.03	0.01785	0.02113	0.3405066666666666	0.13264944444444443
GO:0000228	nuclear chromosome	29	21	14.92	0.01808	0.00521	0.3405066666666666	0.0535209090909091
GO:0099568	cytoplasmic region	16	13	8.23	0.03060	0.03785	0.45440125	0.19441136363636366
GO:0099080	supramolecular complex	29	19	14.92	0.03217	0.05672	0.45440125	0.2786678260869565
GO:0000785	chromatin	35	25	18	0.07318	0.01355	0.852585	0.10207666666666666
GO:0000790	nuclear chromatin	23	15	11.83	0.07545	0.07545	0.852585	0.35524374999999997
GO:0032991	protein-containing complex	156	98	80.25	0.08676	0.00155	0.8834716666666667	0.049268000000000006
GO:0043005	neuron projection	42	26	21.6	0.09382	0.33703	0.8834716666666667	0.9371012068965516
GO:0005654	nucleoplasm	46	27	23.66	0.11738	0.11738	0.9546885714285713	0.47734428571428567
GO:0005700	polytene chromosome	29	19	14.92	0.11828	0.11828	0.9546885714285713	0.47734428571428567
GO:0019898	extrinsic component of membrane	17	10	8.74	0.13243	0.62762	0.9976393333333332	0.9758063636363636
GO:0043232	intracellular non-membrane-bounded organelle	104	65	53.5	0.16859	0.00436	1	0.049268000000000006
GO:0005730	nucleolus	13	10	6.69	0.17644	0.17644	1	0.6875075862068966
GO:0000151	ubiquitin ligase complex	12	9	6.17	0.21482	0.21482	1	0.7830535483870967
GO:0031981	nuclear lumen	81	52	41.67	0.21509	0.00261	1	0.049268000000000006
GO:0071944	cell periphery	127	62	65.33	0.23038	0.94070	1	1
GO:0005737	cytoplasm	289	146	148.66	0.25256	0.47637	1	0.9371012068965516
GO:0070013	intracellular organelle lumen	87	55	44.75	0.29061	0.00301	1	0.049268000000000006
GO:0045177	apical part of cell	26	17	13.37	0.29567	0.26307	1	0.9289659375000001
GO:0099738	cell cortex region	11	8	5.66	0.30610	0.30610	1	0.9371012068965516
GO:0005783	endoplasmic reticulum	23	12	11.83	0.34433	0.34433	1	0.9371012068965516
GO:0043025	neuronal cell body	19	11	9.77	0.35811	0.35811	1	0.9371012068965516
GO:0016020	membrane	195	89	100.31	0.35811	0.99375	1	1
GO:0030425	dendrite	18	11	9.26	0.41053	0.41053	1	0.9371012068965516
GO:0000139	Golgi membrane	11	6	5.66	0.41205	0.41205	1	0.9371012068965516
GO:0043235	receptor complex	12	7	6.17	0.42601	0.42601	1	0.9371012068965516
GO:1902494	catalytic complex	68	45	34.98	0.43506	0.01935	1	0.12862058823529413
GO:0005634	nucleus	190	106	97.74	0.43720	0.01137	1	0.09883153846153846
GO:0005769	early endosome	10	7	5.14	0.45679	0.45679	1	0.9371012068965516
GO:0005739	mitochondrion	25	12	12.86	0.45743	0.45743	1	0.9371012068965516
GO:0098793	presynapse	20	12	10.29	0.47090	0.47090	1	0.9371012068965516
GO:0005764	lysosome	15	8	7.72	0.47095	0.47095	1	0.9371012068965516
GO:0098796	membrane protein complex	32	16	16.46	0.47382	0.88458	1	1
GO:0042025	host cell nucleus	11	6	5.66	0.48099	0.48099	1	0.9371012068965516
GO:0005829	cytosol	114	56	58.64	0.51318	0.51318	1	0.9547782539682539
GO:0043296	apical junction complex	11	7	5.66	0.51940	0.51940	1	0.9547782539682539
GO:0005770	late endosome	10	6	5.14	0.53231	0.53231	1	0.9547782539682539
GO:0005576	extracellular region	76	33	39.09	0.54918	0.90194	1	1
GO:0015630	microtubule cytoskeleton	11	6	5.66	0.56834	0.56834	1	0.9758063636363636
GO:0005622	intracellular	373	194	191.87	0.59522	0.08760	1	0.39595199999999997
GO:0099513	polymeric cytoskeletal fiber	10	5	5.14	0.59894	0.59894	1	0.9758063636363636
GO:0150034	distal axon	14	9	7.2	0.60249	0.60249	1	0.9758063636363636
GO:0070161	anchoring junction	25	14	12.86	0.60896	0.45116	1	0.9371012068965516
GO:0005667	transcription regulator complex	16	7	8.23	0.61028	0.73142	1	1
GO:0045202	synapse	35	20	18	0.63133	0.65020	1	0.9758063636363636
GO:0061695	transferase complex, transferring phosphorus-containing groups	10	6	5.14	0.63720	0.63720	1	0.9758063636363636
GO:0098805	whole membrane	19	9	9.77	0.64113	0.64113	1	0.9758063636363636
GO:0031982	vesicle	44	19	22.63	0.64200	0.92188	1	1
GO:0005887	integral component of plasma membrane	34	19	17.49	0.65457	0.65457	1	0.9758063636363636
GO:0016324	apical plasma membrane	15	9	7.72	0.66493	0.66493	1	0.9758063636363636
GO:0090575	RNA polymerase II transcription regulator complex	11	4	5.66	0.67832	0.67832	1	0.982694358974359
GO:0043226	organelle	306	165	157.41	0.69221	0.03205	1	0.17245952380952384
GO:0030054	cell junction	54	30	27.78	0.70176	0.59052	1	0.9758063636363636
GO:0030424	axon	29	18	14.92	0.70435	0.47152	1	0.9371012068965516
GO:0048471	perinuclear region of cytoplasm	12	5	6.17	0.70861	0.70861	1	1
GO:0043231	intracellular membrane-bounded organelle	266	140	136.83	0.71133	0.01639	1	0.11575437499999999
GO:0098588	bounding membrane of organelle	21	11	10.8	0.72574	0.44350	1	0.9371012068965516
GO:0099512	supramolecular fiber	14	7	7.2	0.78247	0.85046	1	1
GO:0031252	cell leading edge	11	6	5.66	0.78732	0.78732	1	1
GO:0098590	plasma membrane region	28	16	14.4	0.79188	0.76395	1	1
GO:0019897	extrinsic component of plasma membrane	12	6	6.17	0.80980	0.80980	1	1
GO:0005856	cytoskeleton	23	12	11.83	0.81360	0.52829	1	0.9547782539682539
GO:0031967	organelle envelope	16	7	8.23	0.81685	0.81685	1	1
GO:0012505	endomembrane system	72	34	37.04	0.83198	0.79304	1	1
GO:0005794	Golgi apparatus	22	9	11.32	0.83983	0.71091	1	1
GO:0098552	side of membrane	19	9	9.77	0.85630	0.83863	1	1
GO:0009898	cytoplasmic side of plasma membrane	16	7	8.23	0.86147	0.86147	1	1
GO:0042995	cell projection	61	34	31.38	0.86364	0.61603	1	0.9758063636363636
GO:0005768	endosome	22	12	11.32	0.88272	0.85985	1	1
GO:0016021	integral component of membrane	115	55	59.16	0.89863	0.98232	1	1
GO:0031090	organelle membrane	38	17	19.55	0.90518	0.98123	1	1
GO:0005886	plasma membrane	121	56	62.24	0.90650	0.97841	1	1
GO:0031410	cytoplasmic vesicle	40	17	20.58	0.92765	0.98131	1	1
GO:0098797	plasma membrane protein complex	18	9	9.26	0.95529	0.95529	1	1
GO:0005694	chromosome	62	40	31.89	0.95796	0.02494	1	0.140911
GO:0005911	cell-cell junction	18	10	9.26	0.96269	0.66254	1	0.9758063636363636
GO:0005776	autophagosome	11	3	5.66	0.97020	0.97020	1	1
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	10	3	5.14	0.97358	0.97358	1	1
GO:0009986	cell surface	12	6	6.17	0.97833	0.97833	1	1
GO:0005615	extracellular space	62	27	31.89	0.97834	0.97834	1	1
GO:0005938	cell cortex	26	14	13.37	0.98352	0.65246	1	0.9758063636363636
GO:0031594	neuromuscular junction	13	5	6.69	0.98641	0.98641	1	1
GO:0120025	plasma membrane bounded cell projection	58	33	29.84	0.99396	0.54136	1	0.95583875
GO:0031226	intrinsic component of plasma membrane	36	19	18.52	0.99969	0.83376	1	1
GO:0097708	intracellular vesicle	40	17	20.58	1.00000	0.98131	1	1
GO:0005575	cellular_component	486	250	250	1.00000	1.00000	1	1
GO:0031224	intrinsic component of membrane	117	55	60.19	1.00000	0.98583	1	1
GO:0110165	cellular anatomical entity	476	246	244.86	1.00000	0.20495	1	0.7719783333333333
GO:0043227	membrane-bounded organelle	287	152	147.63	1.00000	0.10313	1	0.4482188461538461
GO:0043228	non-membrane-bounded organelle	104	65	53.5	1.00000	0.00436	1	0.049268000000000006
GO:0043229	intracellular organelle	300	161	154.32	1.00000	0.02285	1	0.13589736842105263
GO:0043656	host intracellular region	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0043657	host cell	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0044297	cell body	19	11	9.77	1.00000	0.35811	1	0.9371012068965516
GO:0031974	membrane-enclosed lumen	87	55	44.75	1.00000	0.00301	1	0.049268000000000006
GO:0031975	envelope	16	7	8.23	1.00000	0.81685	1	1
GO:0033643	host cell part	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0033646	host intracellular part	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0033647	host intracellular organelle	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0033648	host intracellular membrane-bounded organelle	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0097447	dendritic tree	18	11	9.26	1.00000	0.41053	1	0.9371012068965516
GO:0035770	ribonucleoprotein granule	12	9	6.17	1.00000	0.00404	1	0.049268000000000006
GO:0043233	organelle lumen	87	55	44.75	1.00000	0.00301	1	0.049268000000000006
GO:0005773	vacuole	22	9	11.32	1.00000	0.79518	1	1
GO:0099081	supramolecular polymer	14	7	7.2	1.00000	0.85046	1	1
GO:0098562	cytoplasmic side of membrane	16	7	8.23	1.00000	0.86147	1	1
GO:0000323	lytic vacuole	15	8	7.72	1.00000	0.47095	1	0.9371012068965516
GO:0018995	host cellular component	11	6	5.66	1.00000	0.48099	1	0.9371012068965516
GO:0036477	somatodendritic compartment	25	14	12.86	1.00000	0.52366	1	0.9547782539682539
