Orthogroup	Bombyx_mori	Dufourea_novaeangliae
OG0000000	XP_037873921.1, XP_037871812.1	XP_015438034.1, XP_015438109.1, XP_015432787.1, XP_015437079.1
OG0000000	XP_037873721.1	XP_015437064.1, XP_015437899.1, XP_015434762.1
OG0000000	XP_037875266.1	XP_015436978.1
OG0000000	XP_037876336.1, XP_037876715.1, XP_037871352.1, XP_004934170.2, XP_037875621.1, XP_037873684.1, XP_037871945.1, XP_037868562.1, XP_037871128.1, XP_037868698.1, XP_037873843.1, XP_037876794.1, XP_037867490.1	XP_015437823.1, XP_015433132.1, XP_015433592.1
OG0000001	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1
OG0000001	NP_001296520.1, NP_001266295.1	XP_015437062.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_015431466.1, XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1
OG0000003	XP_021204444.2, XP_037866490.1	XP_015429651.1, XP_015435727.1
OG0000004	XP_012549606.2	XP_015435694.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_015437848.1, XP_015435242.1, XP_015433735.1, XP_015436675.1, XP_015435722.1, XP_015437624.1, XP_015436732.1
OG0000005	XP_037870301.1	XP_015429633.1, XP_015435795.1
OG0000006	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_015437631.1
OG0000007	XP_021202050.1, XP_012546752.1	XP_015440301.1
OG0000008	XP_012548163.2	XP_015431031.1
OG0000008	XP_012548032.1	XP_015435962.1
OG0000008	XP_037872354.1	XP_015431211.1
OG0000008	XP_012548168.1	XP_015431032.1
OG0000008	XP_021205470.2	XP_015431033.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_015431233.1
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1
OG0000010	XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1	XP_015440399.1
OG0000012	XP_021205514.2	XP_015429534.1
OG0000012	XP_012543999.1, NP_001037317.1	XP_015431215.1, XP_015431007.1
OG0000012	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2	XP_015431006.1
OG0000013	XP_004933313.1	XP_015435345.1
OG0000013	NP_001040399.1	XP_015435409.1, XP_015440404.1
OG0000013	NP_001091756.1	XP_015434157.1, XP_015434156.1
OG0000016	XP_037875269.1, XP_037869058.1	XP_015435180.1
OG0000016	XP_037866966.1, XP_037874854.1, XP_037869234.1	XP_015438891.1, XP_015437428.1, XP_015438096.1
OG0000016	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1	XP_015440395.1
OG0000017	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1
OG0000017	NP_001037183.1	XP_015436976.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1
OG0000018	XP_037871931.1	XP_015440533.1, XP_015440532.1
OG0000018	XP_021205339.2, XP_037871705.1	XP_015437285.1, XP_015437283.1
OG0000018	NP_001243945.1, XP_037871800.1	XP_015433210.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_015436531.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_015430887.1
OG0000019	XP_004927318.1	XP_015431150.1
OG0000020	XP_021206581.1	XP_015431107.1
OG0000020	XP_012545030.1	XP_015433825.1
OG0000020	XP_037867737.1	XP_015439463.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_015431804.1, XP_015435292.1
OG0000020	XP_037874470.1, XP_037874469.1	XP_015440423.1
OG0000020	XP_012548770.1	XP_015433955.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_015437420.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_015436481.1
OG0000021	XP_004926417.1	XP_015436556.1
OG0000021	XP_037869061.1	XP_015430481.1
OG0000021	XP_037872785.1	XP_015436479.1
OG0000022	NP_001153666.1, NP_001036781.1	XP_015435342.1
OG0000023	NP_001153668.1	XP_015435402.1
OG0000024	XP_004924130.1	XP_015435622.1
OG0000025	XP_004927353.2, XP_037870147.1	XP_015433590.1
OG0000026	XP_037867257.1	XP_015439534.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_015434403.1
OG0000026	XP_021204803.2	XP_015436711.1
OG0000026	XP_004929451.1, XP_012548588.1	XP_015440357.1, XP_015440372.1
OG0000027	NP_001153669.1, XP_012551883.1	XP_015435411.1
OG0000028	XP_037871212.1	XP_015437076.1
OG0000028	XP_037876627.1, XP_037868125.1, XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1, XP_037876479.1, XP_037870156.1	XP_015437070.1, XP_015437828.1
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_015428687.1, XP_015428726.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_015430246.1, XP_015428686.1
OG0000030	XP_037875304.1	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1
OG0000030	XP_004926017.1	XP_015434622.1
OG0000031	XP_021204146.2, XP_004932428.2	XP_015428709.1
OG0000031	XP_037868210.1	XP_015438722.1
OG0000032	XP_012545284.2, XP_021208619.1	XP_015431638.1
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1, XP_015438580.1
OG0000033	XP_021203082.2	XP_015437429.1
OG0000033	XP_037873002.1, XP_037872937.1, XP_037873482.1	XP_015437849.1, XP_015434582.1, XP_015434937.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_015436890.1, XP_015436892.1
OG0000035	NP_001243964.1, NP_001243980.1	XP_015436992.1
OG0000036	XP_004925684.1	XP_015434704.1
OG0000036	XP_037877629.1, XP_012544322.2	XP_015434703.1
OG0000038	NP_001036884.1	XP_015436794.1, XP_015438692.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_015433215.1
OG0000039	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1	XP_015430124.1
OG0000040	XP_037871589.1, XP_037877007.1	XP_015428989.1, XP_015429021.1, XP_015439748.1
OG0000041	NP_001119727.1	XP_015433852.1
OG0000041	NP_001119724.1	XP_015434640.1, XP_015438128.1, XP_015434651.1, XP_015434661.1
OG0000042	XP_004925565.1	XP_015431768.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1
OG0000043	NP_001037067.1, NP_001037068.1	XP_015429520.1
OG0000043	NP_001091780.1, XP_021206019.2	XP_015440180.1
OG0000044	XP_037868658.1	XP_015435691.1
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_015432638.1, XP_015429239.1, XP_015432639.1
OG0000046	NP_001036837.1, XP_012547740.1	XP_015433680.1
OG0000046	NP_001036892.1	XP_015435615.1, XP_015435626.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_015435553.1, XP_015434531.1, XP_015434396.1
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_015430581.1, XP_015437086.1
OG0000052	XP_012545009.1, NP_001182634.1	XP_015437305.1
OG0000054	NP_001040112.1	XP_015438760.1
OG0000054	NP_001036835.1, NP_001166743.1	XP_015438771.1, XP_015438765.1
OG0000055	XP_021207833.1	XP_015436857.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_015428835.1
OG0000056	XP_037866675.1	XP_015437145.1, XP_015440426.1
OG0000056	XP_037872689.1	XP_015428673.1
OG0000056	XP_037871311.1	XP_015437336.1
OG0000056	XP_037873641.1	XP_015437708.1
OG0000057	NP_001036887.1, NP_001036964.1	XP_015430802.1
OG0000057	XP_004923508.1, XP_012553252.3	XP_015434046.1
OG0000057	XP_012545698.1	XP_015430803.1
OG0000057	NP_001036888.1	XP_015430702.1, XP_015430703.1
OG0000057	NP_001037492.1, NP_001093079.1	XP_015430706.1, XP_015430705.1
OG0000060	XP_004925993.2	XP_015438716.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000061	XP_012551685.2	XP_015432844.1
OG0000062	XP_021205992.1, NP_001091767.1	XP_015432477.1
OG0000062	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_015431874.1, XP_015431820.1, XP_015431815.1, XP_015431817.1, XP_015431876.1
OG0000063	XP_037868526.1	XP_015432528.1, XP_015436995.1
OG0000065	XP_004931596.1	XP_015431269.1
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_015431271.1, XP_015431347.1
OG0000066	XP_012545514.1	XP_015434666.1
OG0000067	XP_004931451.1	XP_015429287.1
OG0000067	NP_001037582.1	XP_015435565.1
OG0000067	XP_037877745.1	XP_015439239.1
OG0000069	NP_001243973.1	XP_015435554.1
OG0000070	NP_001166602.1	XP_015436059.1, XP_015436060.1, XP_015436275.1
OG0000073	NP_001243938.1	XP_015435659.1
