GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0003676	nucleic acid binding	111	65	56.42	0.027	0.027	0.432	0.176
GO:0003824	catalytic activity	255	140	129.61	0.078	0.044	0.6026666666666667	0.176
GO:0046872	metal ion binding	100	57	50.83	0.113	0.113	0.6026666666666667	0.2582857142857143
GO:0016740	transferase activity	101	58	51.33	0.219	0.219	0.8567272727272727	0.3893333333333333
GO:0016787	hydrolase activity	126	65	64.04	0.292	0.292	0.8567272727272727	0.4672
GO:0098772	molecular function regulator	105	51	53.37	0.413	0.413	0.8567272727272727	0.6007272727272727
GO:0097159	organic cyclic compound binding	188	103	95.55	0.467	0.035	0.8567272727272727	0.176
GO:0005515	protein binding	292	154	148.41	0.469	0.469	0.8567272727272727	0.6253333333333333
GO:1901363	heterocyclic compound binding	184	101	93.52	0.509	0.038	0.8567272727272727	0.176
GO:0097367	carbohydrate derivative binding	101	50	51.33	0.589	0.589	0.8567272727272727	0.673142857142857
GO:0140096	catalytic activity, acting on a protein	128	61	65.06	0.589	0.589	0.8567272727272727	0.673142857142857
GO:0043168	anion binding	103	50	52.35	0.708	0.708	0.944	0.7552
GO:0005488	binding	400	211	203.31	0.882	0.075	1	0.24
GO:0003674	molecular_function	484	246	246	1.000	1.000	1	1
GO:0043167	ion binding	190	101	96.57	1.000	0.160	1	0.32
GO:0043169	cation binding	100	57	50.83	1.000	0.113	1	0.2582857142857143
