GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007411	axon guidance	233	87	50.09	7.3e-07	1.5e-08	7.71375e-4	3.8568749999999994e-7
GO:0017157	regulation of exocytosis	26	19	5.59	7.5e-07	7.5e-07	7.71375e-4	1.2441532258064517e-5
GO:0035206	regulation of hemocyte proliferation	37	20	7.95	1.2e-06	1.2e-06	8.227999999999999e-4	1.8017518248175182e-5
GO:0007422	peripheral nervous system development	54	26	11.61	2.5e-06	2.5e-06	0.001285625	3.5222602739726025e-5
GO:0098693	regulation of synaptic vesicle cycle	20	15	4.3	5.1e-06	5.1e-06	0.00209814	6.639683544303797e-5
GO:0008063	Toll signaling pathway	82	32	17.63	6.3e-06	0.00017	0.0021598499999999996	0.0015404845814977973
GO:0046928	regulation of neurotransmitter secretion	23	16	4.94	1.1e-05	1.1e-05	0.003232428571428571	1.3155232558139534e-4
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	41	23	8.81	2.0e-05	2.0e-05	0.0051425	2.2855555555555555e-4
GO:0034765	regulation of ion transmembrane transport	45	24	9.67	2.8e-05	3.6e-05	0.006399555555555555	3.8974736842105264e-4
GO:0071805	potassium ion transmembrane transport	45	22	9.67	3.3e-05	3.3e-05	0.006513833333333333	3.649516129032258e-4
GO:0007268	chemical synaptic transmission	268	114	57.61	3.6e-05	4.7e-13	0.006513833333333333	5.1966315789473676e-11
GO:0007494	midgut development	31	17	6.66	3.8e-05	3.8e-05	0.006513833333333333	4.0924607329842933e-4
GO:0016319	mushroom body development	64	25	13.76	5.3e-05	5.3e-05	0.008386230769230769	5.590820512820513e-4
GO:0001736	establishment of planar polarity	93	43	19.99	6.3e-05	1.9e-07	0.008913666666666665	3.7221904761904764e-6
GO:0045214	sarcomere organization	42	17	9.03	6.5e-05	6.5e-05	0.008913666666666665	6.554166666666667e-4
GO:0045807	positive regulation of endocytosis	36	20	7.74	8.9e-05	8.9e-05	0.011442062499999999	8.676445497630332e-4
GO:0050832	defense response to fungus	38	19	8.17	0.00012	0.00012	0.01452	0.0011271232876712328
GO:0007298	border follicle cell migration	107	39	23	0.00013	8.7e-06	0.014856111111111108	1.0979079754601227e-4
GO:0007166	cell surface receptor signaling pathway	633	197	136.07	0.00014	1.5e-08	0.015156842105263156	3.8568749999999994e-7
GO:0042391	regulation of membrane potential	74	33	15.91	0.00017	0.00021	0.0174845	0.0018226582278481013
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	20	13	4.3	0.00020	0.00020	0.01959047619047619	0.0017581196581196584
GO:0008355	olfactory learning	40	19	8.6	0.00022	0.00022	0.02057	0.0018934728033472806
GO:0008045	motor neuron axon guidance	54	24	11.61	0.00023	0.00023	0.02057	0.001963112033195021
GO:0007528	neuromuscular junction development	163	62	35.04	0.00026	4.0e-06	0.022215600000000002	5.342857142857143e-5
GO:0043901	negative regulation of multi-organism process	22	6	4.73	0.00027	0.00027	0.022215600000000002	0.00222156
GO:0046579	positive regulation of Ras protein signal transduction	39	17	8.38	0.00029	0.00029	0.022943461538461538	0.0023393333333333335
GO:0000122	negative regulation of transcription by RNA polymerase II	189	59	40.63	0.00031	0.00031	0.02361740740740741	0.002471589147286822
GO:0042461	photoreceptor cell development	89	35	19.13	0.00035	3.5e-05	0.024684	3.85e-4
GO:0046716	muscle cell cellular homeostasis	26	11	5.59	0.00036	0.00036	0.024684	0.0027734831460674157
GO:0007480	imaginal disc-derived leg morphogenesis	60	20	12.9	0.00036	0.00036	0.024684	0.0027734831460674157
GO:0030010	establishment of cell polarity	52	22	11.18	0.00040	0.00018	0.02514111111111111	0.0016168558951965067
GO:0072002	Malpighian tubule development	48	16	10.32	0.00042	0.04462	0.02514111111111111	0.12303396782841824
GO:0006909	phagocytosis	45	18	9.67	0.00042	0.00042	0.02514111111111111	0.0031762500000000003
GO:0045944	positive regulation of transcription by RNA polymerase II	296	84	63.63	0.00043	0.00043	0.02514111111111111	0.003228138686131387
GO:0050807	regulation of synapse organization	142	49	30.52	0.00043	0.00108	0.02514111111111111	0.006877894736842105
GO:0071407	cellular response to organic cyclic compound	46	23	9.89	0.00044	0.00044	0.02514111111111111	0.0032792753623188406
GO:0042051	compound eye photoreceptor development	69	23	14.83	0.00046	0.00811	0.025573513513513516	0.03343140280561122
GO:0051124	synaptic growth at neuromuscular junction	124	44	26.66	0.00050	0.00078	0.02706578947368421	0.005295247524752475
GO:0007416	synapse assembly	154	60	33.1	0.00053	2.6e-06	0.027954102564102565	3.638231292517007e-5
GO:0042753	positive regulation of circadian rhythm	23	12	4.94	0.00057	0.00057	0.028517499999999998	0.004128485915492958
GO:0007154	cell communication	1423	463	305.89	0.00059	3.7e-25	0.028517499999999998	7.6109e-22
GO:0006897	endocytosis	158	60	33.96	0.00059	1.4e-05	0.028517499999999998	1.63625e-4
GO:0030838	positive regulation of actin filament polymerization	32	10	6.88	0.00061	0.00061	0.028517499999999998	0.004356840277777777
GO:0045047	protein targeting to ER	23	9	4.94	0.00061	0.00061	0.028517499999999998	0.004356840277777777
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	172	45	36.97	0.00063	0.10998	0.028798	0.23155461617195494
GO:0048190	wing disc dorsal/ventral pattern formation	50	19	10.75	0.00067	0.00067	0.02976085106382979	0.004687721088435374
GO:0007274	neuromuscular synaptic transmission	72	33	15.48	0.00068	3.2e-05	0.02976085106382979	3.5580540540540537e-4
GO:0031334	positive regulation of protein-containing complex assembly	52	21	11.18	0.00076	1.1e-05	0.03256916666666667	1.3155232558139534e-4
GO:0040012	regulation of locomotion	97	40	20.85	0.00078	7.8e-06	0.032744081632653056	9.965590062111801e-5
GO:0048488	synaptic vesicle endocytosis	38	18	8.17	0.00092	0.00092	0.03751	0.005969842271293375
GO:0060627	regulation of vesicle-mediated transport	117	56	25.15	0.00093	2.4e-08	0.03751	5.877142857142857e-7
GO:0007476	imaginal disc-derived wing morphogenesis	254	93	54.6	0.00096	1.1e-07	0.03764698113207547	2.285555555555556e-6
GO:0016079	synaptic vesicle exocytosis	60	28	12.9	0.00097	3.0e-05	0.03764698113207547	3.353804347826087e-4
GO:0008587	imaginal disc-derived wing margin morphogenesis	55	24	11.82	0.00106	0.00088	0.04037814814814815	0.0058204501607717046
GO:0045466	R7 cell differentiation	54	24	11.61	0.00132	3.6e-05	0.049367999999999995	3.8974736842105264e-4
GO:0050806	positive regulation of synaptic transmission	24	13	5.16	0.00146	0.00146	0.053628928571428564	0.008911632047477745
GO:0042692	muscle cell differentiation	112	38	24.08	0.00153	0.00072	0.05521421052631579	0.005003513513513514
GO:0019991	septate junction assembly	39	18	8.38	0.00162	0.00162	0.05698901639344262	0.009520971428571428
GO:0060047	heart contraction	27	12	5.8	0.00166	0.00155	0.05698901639344262	0.009295481049562682
GO:0016318	ommatidial rotation	27	14	5.8	0.00168	0.00168	0.05698901639344262	0.009707191011235955
GO:0006164	purine nucleotide biosynthetic process	72	16	15.48	0.00169	0.78274	0.05698901639344262	0.9088875395033861
GO:0008586	imaginal disc-derived wing vein morphogenesis	39	16	8.38	0.00174	0.00174	0.05772870967741936	0.010025714285714285
GO:0007623	circadian rhythm	182	71	39.12	0.00180	2.7e-06	0.05877142857142857	3.752635135135135e-5
GO:0048520	positive regulation of behavior	28	14	6.02	0.00193	0.00193	0.062031406250000004	0.010847021857923496
GO:0051480	regulation of cytosolic calcium ion concentration	26	14	5.59	0.00201	0.00201	0.06360876923076923	0.011114435483870968
GO:0006457	protein folding	86	25	18.49	0.00233	0.00124	0.07261833333333334	0.007776463414634146
GO:0042067	establishment of ommatidial planar polarity	52	23	11.18	0.00239	1.1e-05	0.0733765671641791	1.3155232558139534e-4
