Orthogroup	Bombyx_mori	Ceratina_calcarata
OG0000000	XP_037873921.1, XP_037871812.1	XP_017887274.1, XP_026671887.1
OG0000000	XP_037874474.1	XP_017893334.1, XP_017881156.1
OG0000000	XP_037875266.1	XP_017883322.1, XP_017875143.1
OG0000000	XP_037870339.1	XP_017881790.1, XP_017875371.1
OG0000000	XP_037871132.1, XP_037873349.1, XP_037868785.1, XP_037877019.1, XP_037871118.1, XP_037867970.1, XP_037873726.1, XP_037877015.1, XP_037866942.1, XP_037870089.1, XP_037876482.1	XP_017875755.1, XP_017875322.1
OG0000000	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1, XP_037871648.1, XP_037871120.1, XP_037871023.1, XP_037875881.1, XP_037868519.1, XP_037868121.1, XP_037869233.1, XP_037877020.1, XP_037872459.1, XP_037873687.1	XP_017875124.1, XP_017875054.1
OG0000001	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1	XP_017879813.1, XP_017879816.1, XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1
OG0000001	NP_001296520.1, NP_001266295.1	XP_017884717.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_017886303.1, XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1
OG0000003	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1	XP_017890377.1, XP_017884413.1
OG0000003	XP_037871022.1, XP_037871711.1, XP_037876186.1	XP_017881808.1
OG0000003	XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1	XP_017891009.1, XP_017885064.1, XP_017891010.1, XP_017875587.1, XP_017887400.1
OG0000003	XP_021208702.2, XP_037872843.1, XP_037872077.1, XP_037876274.1, XP_037869860.1, XP_037871122.1, XP_037866964.1, XP_037870356.1, XP_037872900.1, XP_037871229.1	XP_026672572.1
OG0000003	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1	XP_017889192.1
OG0000003	XP_021204444.2, XP_037866490.1	XP_026675096.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_026672920.1, XP_017884089.1, XP_026673061.1, XP_017875115.1, XP_017889204.1
OG0000005	XP_037870301.1	XP_026667095.1
OG0000006	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_026667224.1
OG0000007	XP_012547514.2, XP_037873313.1	XP_026667908.1, XP_017875316.1, XP_017881154.1
OG0000007	XP_021202050.1	XP_026673863.1
OG0000008	XP_012548163.2	XP_026675049.1
OG0000008	XP_012548032.1	XP_026667992.1
OG0000008	XP_037872354.1	XP_026675083.1
OG0000008	XP_012548168.1	XP_017891654.1
OG0000008	XP_021205470.2	XP_017891655.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_026666941.1
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_017887163.1, XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1
OG0000010	XP_021208868.2, XP_037877292.1, XP_037870974.1, XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1, XP_004922866.1, XP_037877604.1, XP_037877550.1, XP_037869235.1	XP_017877879.2
