target_id	length	eff_length	est_counts	tpm
XM_029176008.1	2568	2339.07	0	0
XM_029176009.1	4203	3974.07	0	0
XM_029176010.1	1236	1007.07	65.737	18.1388
XM_029176011.1	814	585.096	86.1824	40.9306
XM_029176012.1	694	465.144	15.8176	9.44951
XM_029176013.1	693	464.144	1947	1165.65
XM_029176014.1	17928	17699.1	55.0421	0.864174
XM_029176015.1	787	558.096	115	57.2592
XM_029176016.1	521	293.909	148	139.928
XM_029176017.1	1219	990.065	0	0
XM_029176018.1	2573	2344.07	171.569	20.3389
XM_029176019.1	2564	2335.07	39.4306	4.69236
XM_029176020.1	2886	2657.07	158	16.5239
XM_029176021.1	5925	5696.07	0	0
XM_029176022.1	17922	17693.1	27.2948	0.42868
XM_029176023.1	5843	5614.07	0	0
XM_029176024.1	5922	5693.07	78.6865	3.8407
XM_029176025.1	5897	5668.07	168.314	8.25165
XM_029176026.1	5097	4868.07	0	0
XM_029176027.1	5600	5371.07	267.245	13.8263
XM_029176028.1	3805	3576.07	189.805	14.7488
XM_029176029.1	3791	3562.07	84.9504	6.62705
XM_029176030.1	17775	17546.1	0	0
XM_029176031.1	5155	4926.07	0	0
XM_029176032.1	2630	2401.07	161	18.6328
XM_029176033.1	2354	2125.07	0	0
XM_029176034.1	3269	3040.07	244.766	22.373
XM_029176035.1	3025	2796.07	25.0373	2.48826
XM_029176036.1	1503	1274.07	62.1972	13.5655
XM_029176037.1	8462	8233.07	0	0
XM_029176038.1	8010	7781.07	13.1315	0.468955
XM_029176039.1	8456	8227.07	0	0
XM_029176040.1	8447	8218.07	0	0
XM_029176041.1	8441	8212.07	24.9543	0.844403
XM_029176042.1	8437	8208.07	16.016	0.542212
XM_029176043.1	8422	8193.07	88.8982	3.01511
XM_029176044.1	2288	2059.07	244.604	33.0104
XM_029176045.1	2346	2117.07	0	0
XM_029176046.1	7605	7376.07	0	0
XM_029176047.1	2201	1972.07	0	0
XM_029176048.1	1848	1619.07	97.7791	16.7818
XM_029176049.1	1845	1616.07	19.8798	3.41829
XM_029176050.1	1721	1492.07	77.3411	14.4039
XM_029176051.1	1297	1068.07	82	21.334
XM_029176052.1	1140	911.065	110	33.5506
XM_029176053.1	1157	928.065	214	64.0755
XM_029176054.1	4349	4120.07	517.762	34.9207
XM_029176055.1	4403	4174.07	45.2378	3.01161
XM_029176056.1	1130	901.065	163	50.2676
XM_029176057.1	18063	17834.1	0.000507188	7.90269e-06
XM_029176058.1	1051	822.065	0	0
XM_029176059.1	6144	5915.07	94.4486	4.43703
XM_029176060.1	6043	5814.07	21.1602	1.01134
XM_029176061.1	5787	5558.07	42.3216	2.1159
XM_029176062.1	5868	5639.07	0	0
XM_029176063.1	5634	5405.07	58.0695	2.98541
XM_029176064.1	4977	4748.07	129.082	7.55447
XM_029176065.1	4251	4022.07	34.9184	2.41247
XM_029176066.1	18039	17810.1	6.15826	0.0960836
XM_029176067.1	2175	1946.07	34.4771	4.92301
XM_029176068.1	2104	1875.07	89.5229	13.267
XM_029176069.1	3362	3133.07	226	20.0445
XM_029176070.1	1137	908.065	17.6299	5.39496
XM_029176071.1	1253	1024.07	38.9257	10.5625
XM_029176072.1	1048	819.065	58.4444	19.8281
XM_029176073.1	1096	867.065	152	48.7134
XM_029176074.1	964	735.065	18.0988	6.84196
XM_029176075.1	17952	17723.1	0.00436969	6.85123e-05
XM_029176076.1	877	648.065	75.6711	32.4465
XM_029176077.1	891	662.065	3.23013	1.35574
XM_029176078.1	819	590.096	229	107.837
XM_029176079.1	872	643.065	195	84.2628
XM_029176080.1	2767	2538.07	274	29.9988
XM_029176081.1	1987	1758.07	119.018	18.812
XM_029176082.1	718	489.096	0	0
XM_029176083.1	17928	17699.1	55.0421	0.864174
XM_029176084.1	5188	4959.07	30	1.68104
XM_029176085.1	2929	2700.07	0.896709	0.0922856
XM_029176086.1	2918	2689.07	41.1033	4.24748
XM_029176087.1	4079	3850.07	819	59.1116
XM_029176088.1	10895	10666.1	470.085	12.247
