Orthogroup	Osmia_bicornis	Aedes_aegypti
OG0000000	XP_029054585.1, XP_029054548.1	XP_021704707.1
OG0000001	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1, XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1, XP_029036021.1, XP_029033204.1, XP_029033205.1	XP_021704701.1
OG0000002	XP_029034426.1, XP_029048273.1, XP_029048274.1, XP_029048309.1, XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1, XP_029048307.1, XP_029048304.1, XP_029048306.1, XP_029048298.1, XP_029054355.1, XP_029054352.1, XP_029054358.1, XP_029048308.1, XP_029054353.1, XP_029054356.1, XP_029048299.1	XP_021711562.1
OG0000003	XP_029054701.1	XP_021712997.1
OG0000003	XP_029054798.1	XP_021694215.1
OG0000005	XP_029054911.1	XP_021709990.1, XP_021704183.1
OG0000005	XP_029054719.1	XP_021711844.1
OG0000005	XP_029055018.1, XP_029055181.1	XP_021706484.1
OG0000006	XP_029033655.1	XP_001651754.2, XP_001651756.3
OG0000007	XP_029054123.1, XP_029055261.1, XP_029055254.1, XP_029054451.1, XP_029054587.1	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1
OG0000007	XP_029055077.1, XP_029053862.1, XP_029053484.1, XP_029053574.1, XP_029053982.1, XP_029054695.1, XP_029055216.1, XP_029054809.1, XP_029055155.1, XP_029054680.1, XP_029054781.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	XP_029037761.1	XP_001648300.1
OG0000008	XP_029037752.1, XP_029037753.1	XP_001648297.2
OG0000008	XP_029041248.1	XP_001661923.2
OG0000008	XP_029037757.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_029037755.1	XP_001648302.1
OG0000008	XP_029037762.1	XP_021710647.1
OG0000009	XP_029039353.1, XP_029039355.1, XP_029039354.1, XP_029050383.1, XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_029040151.1, XP_029040169.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_029036967.1, XP_029036856.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_029054967.1	XP_021711158.1, XP_021711157.1
OG0000013	XP_029053957.1, XP_029035638.1, XP_029053372.1	XP_021707704.1
OG0000013	XP_029037650.1	XP_001657554.1, XP_001655332.2
OG0000013	XP_029037649.1	XP_021708291.1
OG0000014	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1, XP_029051694.1, XP_029051987.1	XP_021712022.1, XP_021712028.1
OG0000014	XP_029054658.1	XP_021712835.1, XP_021712191.1, XP_021712166.1, XP_021706478.1, XP_021705014.1, XP_021712175.1, XP_021705015.1, XP_021711142.1, XP_021705288.1, XP_021712199.1, XP_021705824.1, XP_021712187.1, XP_021705024.1, XP_021712165.1, XP_021705025.1, XP_021711147.1, XP_021706543.1, XP_021711141.1, XP_021711145.1, XP_021706544.1, XP_021706545.1, XP_021712186.1, XP_021706546.1, XP_021712839.1, XP_021706549.1, XP_021711149.1, XP_021706554.1, XP_021711146.1, XP_021707481.1, XP_021712685.1, XP_021706569.1, XP_021712097.1, XP_021712027.1, XP_021708651.1, XP_021706552.1, XP_021711152.1, XP_021711139.1, XP_021706550.1, XP_021708655.1, XP_021711144.1, XP_021708656.1, XP_021712095.1, XP_021706560.1, XP_021711143.1, XP_021706563.1, XP_021712692.1, XP_021708754.1, XP_021711151.1, XP_021706553.1, XP_021712155.1, XP_021708646.1, XP_021711150.1, XP_021708807.1
OG0000016	XP_029054344.1, XP_029054391.1, XP_029053686.1, XP_029054495.1, XP_029055268.1, XP_029053711.1, XP_029055014.1, XP_029051957.1, XP_029054619.1, XP_029053691.1, XP_029054936.1, XP_029054856.1, XP_029054642.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_029036237.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
