GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005267	potassium channel activity	28	18	6.06	2.6e-07	2.6e-07	9.672e-5	3.224e-5
GO:0005509	calcium ion binding	135	55	29.2	5.2e-06	5.2e-06	9.672e-4	3.8688000000000004e-4
GO:0004930	G protein-coupled receptor activity	66	28	14.27	2.8e-05	0.00272	0.003472	0.028623333333333334
GO:0005515	protein binding	2548	653	551.06	4.3e-05	2.2e-12	0.003999	8.184e-10
GO:0022843	voltage-gated cation channel activity	27	16	5.84	0.00013	0.00013	0.008679999999999998	0.004734545454545455
GO:0005516	calmodulin binding	34	17	7.35	0.00014	0.00014	0.008679999999999998	0.004734545454545455
GO:0030674	protein-macromolecule adaptor activity	76	24	16.44	0.00057	0.00057	0.030291428571428573	0.010602
GO:0098960	postsynaptic neurotransmitter receptor activity	23	13	4.97	0.00174	0.00174	0.07338545454545455	0.023117142857142857
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	77	26	16.65	0.00198	0.00198	0.07338545454545455	0.025398620689655173
GO:0008289	lipid binding	147	48	31.79	0.00199	0.00042	0.07338545454545455	0.00868
GO:0140297	DNA-binding transcription factor binding	60	25	12.98	0.00217	0.00018	0.07338545454545455	0.005580000000000001
GO:0003779	actin binding	124	32	26.82	0.00307	0.00025	0.09516999999999999	0.0062775
GO:0050839	cell adhesion molecule binding	57	22	12.33	0.00356	0.00356	0.10070571428571429	0.03485052631578947
GO:0019901	protein kinase binding	84	28	18.17	0.00379	0.00379	0.10070571428571429	0.03615076923076923
GO:0005102	signaling receptor binding	197	69	42.61	0.00446	0.00021	0.11060800000000001	0.00600923076923077
GO:0019905	syntaxin binding	21	11	4.54	0.00558	0.00558	0.11962736842105262	0.04827348837209302
GO:0038023	signaling receptor activity	209	69	45.2	0.00593	0.00084	0.11962736842105262	0.013586086956521741
GO:0008233	peptidase activity	232	45	50.18	0.00602	0.36915	0.11962736842105262	0.7716933333333335
GO:0005543	phospholipid binding	107	35	23.14	0.00611	0.03603	0.11962736842105262	0.1634531707317073
GO:0015081	sodium ion transmembrane transporter activity	56	21	12.11	0.00701	0.00730	0.130386	0.05935826086956522
GO:0098772	molecular function regulator	834	245	180.37	0.00950	1.9e-06	0.1682857142857143	1.767e-4
GO:0046872	metal ion binding	1102	266	238.33	0.01097	0.00042	0.18066260869565218	0.00868
GO:0003730	mRNA 3'-UTR binding	33	13	7.14	0.01117	0.01117	0.18066260869565218	0.08147529411764705
GO:0030276	clathrin binding	25	10	5.41	0.01368	0.01368	0.2056416	0.09019368421052631
GO:0051015	actin filament binding	61	15	13.19	0.01382	0.01382	0.2056416	0.09019368421052631
GO:0008092	cytoskeletal protein binding	275	69	59.48	0.01614	0.02243	0.22609333333333337	0.13244380952380952
GO:0004601	peroxidase activity	22	9	4.76	0.01641	0.01641	0.22609333333333337	0.1034664406779661
GO:0016407	acetyltransferase activity	65	12	14.06	0.01868	0.96808	0.24817714285714285	1
GO:0019904	protein domain specific binding	77	22	16.65	0.02469	0.02469	0.30876	0.13825074626865672
GO:0000030	mannosyltransferase activity	20	9	4.33	0.02490	0.02490	0.30876	0.13825074626865672
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	48	15	10.38	0.02701	0.02701	0.3138617142857143	0.14151718309859154
GO:0005539	glycosaminoglycan binding	30	11	6.49	0.02818	0.02818	0.3138617142857143	0.1439237837837838
GO:0005089	Rho guanyl-nucleotide exchange factor activity	24	11	5.19	0.02842	0.02842	0.3138617142857143	0.1439237837837838
GO:0032549	ribonucleoside binding	149	32	32.22	0.02878	0.03153	0.3138617142857143	0.15037384615384616
GO:0022853	active ion transmembrane transporter activity	96	34	20.76	0.02953	0.00942	0.3138617142857143	0.073005
GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	31	8	6.7	0.03166	0.34154	0.3242432432432433	0.734409710982659
GO:0015036	disulfide oxidoreductase activity	22	7	4.76	0.03225	0.03225	0.3242432432432433	0.1518607594936709
GO:0015108	chloride transmembrane transporter activity	27	12	5.84	0.03507	0.03507	0.3426215384615385	0.1630755
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	24	10	5.19	0.03592	0.03592	0.3426215384615385	0.1634531707317073
GO:0046983	protein dimerization activity	249	61	53.85	0.03841	0.17511	0.3518781818181818	0.45553090909090904
GO:0004843	thiol-dependent ubiquitin-specific protease activity	35	6	7.57	0.03974	0.03974	0.3518781818181818	0.17811180722891565
GO:0005088	Ras guanyl-nucleotide exchange factor activity	53	22	11.46	0.04097	0.00543	0.3518781818181818	0.048094285714285714
GO:0015085	calcium ion transmembrane transporter activity	43	17	9.3	0.04105	0.01870	0.3518781818181818	0.11403934426229509
GO:0042802	identical protein binding	160	49	34.6	0.04162	0.01227	0.3518781818181818	0.08452666666666667
GO:0004866	endopeptidase inhibitor activity	20	8	4.33	0.04307	0.04307	0.3560453333333333	0.18849458823529414
GO:0070491	repressing transcription factor binding	26	8	5.62	0.04430	0.04430	0.3582521739130435	0.19162325581395348
GO:0016209	antioxidant activity	30	14	6.49	0.04701	0.00408	0.3704057142857143	0.037944000000000006
