GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	282	87	76.68	0.029	0.0292	0.2915	0.15069999999999997
GO:0005488	binding	380	112	103.33	0.061	0.0027	0.2915	0.0297
GO:0097159	organic cyclic compound binding	177	54	48.13	0.080	0.0411	0.2915	0.15069999999999997
GO:1901363	heterocyclic compound binding	174	53	47.32	0.106	0.0561	0.2915	0.154275
GO:0003824	catalytic activity	236	63	64.18	0.194	0.3330	0.3472857142857143	0.45787500000000003
GO:0003676	nucleic acid binding	109	29	29.64	0.202	0.2016	0.3472857142857143	0.40425
GO:0098772	molecular function regulator	103	32	28.01	0.221	0.2205	0.3472857142857143	0.40425
GO:0043167	ion binding	172	51	46.77	0.285	0.2848	0.391875	0.44754285714285713
GO:0016787	hydrolase activity	113	30	30.73	0.496	0.4963	0.6062222222222222	0.606588888888889
GO:0140096	catalytic activity, acting on a protein	119	21	32.36	0.588	0.5881	0.6468	0.64691
GO:0003674	molecular_function	456	124	124	1.000	1.0000	1	1
