Orthogroup	Habropoda_laboriosa	Osmia_lignaria
OG0000000	XP_017797095.1, XP_017797059.1, XP_017795696.1, XP_017792099.1	XP_034194192.1
OG0000000	XP_017797012.1	XP_034195039.1
OG0000000	XP_017797005.1	XP_034194643.1
OG0000000	XP_017796726.1	XP_034194536.1
OG0000000	XP_017797536.1, XP_017792100.1, XP_017795695.1, XP_017796207.1, XP_017796351.1, XP_017796995.1, XP_017797538.1, XP_017796820.1, XP_017797015.1, XP_017796988.1, XP_017796388.1, XP_017796984.1	XP_034194634.1
OG0000000	XP_017792102.1, XP_017794325.1, XP_017797004.1	XP_034192189.1, XP_034179509.1
OG0000000	XP_017796956.1, XP_017797085.1, XP_017797138.1, XP_017796821.1	XP_034174770.1
OG0000001	XP_017796733.1	XP_034194619.1, XP_034194603.1
OG0000001	XP_017795398.1	XP_034178689.1, XP_034178688.1, XP_034178687.1, XP_034178696.1
OG0000001	XP_017796836.1	XP_034178244.1, XP_034178676.1, XP_034178694.1, XP_034178691.1, XP_034178692.1, XP_034178693.1, XP_034178695.1
OG0000001	XP_017796838.1	XP_034194583.1, XP_034194581.1, XP_034194582.1
OG0000001	XP_017796200.1, XP_017795399.1	XP_034178690.1
OG0000002	XP_017797943.1	XP_034192193.1, XP_034194539.1
OG0000002	XP_017790869.1	XP_034194881.1, XP_034189857.1, XP_034194584.1
OG0000002	XP_017791563.1	XP_034195050.1, XP_034194985.1
OG0000002	XP_017794487.1, XP_017792714.1	XP_034186984.1
OG0000004	XP_017794417.1, XP_017797093.1	XP_034183052.1
OG0000004	XP_017797021.1, XP_017797092.1, XP_017794590.1, XP_017794415.1, XP_017797051.1, XP_017797022.1, XP_017797090.1	XP_034183283.1
OG0000004	XP_017797050.1, XP_017797125.1, XP_017794589.1, XP_017794414.1, XP_017794413.1, XP_017796982.1, XP_017794588.1, XP_017794416.1, XP_017797020.1, XP_017794592.1	XP_034183284.1, XP_034183285.1, XP_034183048.1
OG0000005	XP_017795547.1, XP_017795548.1	XP_034175224.1, XP_034175225.1, XP_034176024.1
OG0000006	XP_017797793.1	XP_034191426.1
OG0000006	XP_017797795.1	XP_034191425.1
OG0000006	XP_017799299.1	XP_034195020.1, XP_034171306.1, XP_034174016.1, XP_034173944.1
OG0000006	XP_017795688.1	XP_034171174.1
OG0000007	XP_017787376.1	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1
OG0000007	XP_017799435.1, XP_017799434.1, XP_017795874.1	XP_034196442.1
OG0000008	XP_017795667.1, XP_017795668.1	XP_034174481.1, XP_034174489.1
OG0000008	XP_017798373.1	XP_034186914.1
OG0000008	XP_017796749.1	XP_034183066.1
OG0000008	XP_017796748.1	XP_034183063.1
OG0000009	XP_017788040.1	XP_034188385.1
OG0000011	XP_017794869.1	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1
OG0000012	XP_017792474.1, XP_017792476.1, XP_017792475.1, XP_017792472.1, XP_017792473.1	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1
OG0000013	XP_017797009.1	XP_034194692.1
OG0000013	XP_017796994.1	XP_034172342.1, XP_034177369.1, XP_034174822.1, XP_034182100.1
OG0000014	XP_017795687.1	XP_034172089.1, XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1
OG0000014	XP_017799307.1	XP_034172344.1, XP_034172482.1, XP_034173947.1, XP_034173516.1, XP_034173945.1
OG0000015	XP_017788741.1	XP_034178504.1, XP_034178505.1, XP_034178500.1, XP_034178499.1, XP_034178576.1, XP_034178578.1, XP_034178513.1, XP_034178575.1
OG0000015	XP_017789847.1, XP_017788742.1, XP_017788743.1, XP_017797133.1	XP_034178503.1
OG0000016	XP_017790433.1	XP_034190100.1
OG0000017	XP_017795648.1	XP_034173428.1
OG0000018	XP_017787682.1, XP_017787687.1, XP_017787680.1, XP_017787681.1, XP_017787683.1, XP_017787684.1, XP_017787685.1, XP_017787686.1	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1
OG0000019	XP_017789119.1	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1
OG0000020	XP_017796294.1	XP_034179515.1, XP_034179497.1, XP_034179001.1, XP_034179112.1, XP_034179105.1, XP_034192240.1, XP_034179568.1, XP_034179326.1, XP_034179496.1, XP_034179104.1, XP_034179567.1, XP_034179107.1, XP_034179109.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1
OG0000021	XP_017796728.1, XP_017793544.1	XP_034194686.1, XP_034177277.1, XP_034196681.1
OG0000022	XP_017794031.1, XP_017794029.1, XP_017794030.1, XP_017794026.1, XP_017794027.1, XP_017794028.1	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1
OG0000023	XP_017796999.1, XP_017796976.1, XP_017794734.1, XP_017792763.1, XP_017796386.1, XP_017795068.1, XP_017795921.1, XP_017796807.1	XP_034194812.1
OG0000025	XP_017792776.1	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1
OG0000026	XP_017790034.1, XP_017790035.1, XP_017790037.1	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1
OG0000027	XP_017792739.1	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1
OG0000028	XP_017798042.1, XP_017798041.1	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1
OG0000029	XP_017796921.1, XP_017796923.1, XP_017796922.1, XP_017796926.1, XP_017796924.1, XP_017796925.1	XP_034189051.1, XP_034189052.1
OG0000031	XP_017792478.1	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1
OG0000032	XP_017790596.1, XP_017790597.1, XP_017790598.1, XP_017790592.1, XP_017790593.1, XP_017790594.1, XP_017790595.1	XP_034188074.1, XP_034188075.1, XP_034188076.1
OG0000033	XP_017794678.1, XP_017794677.1, XP_017794679.1, XP_017794675.1, XP_017794676.1	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1
OG0000034	XP_017792148.1, XP_017792149.1, XP_017792150.1	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1
OG0000035	XP_017794776.1, XP_017794775.1	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1
OG0000036	XP_017791515.1	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1
OG0000037	XP_017788215.1, XP_017788216.1, XP_017788212.1, XP_017788214.1, XP_017788213.1	XP_034172064.1
OG0000038	XP_017791423.1, XP_017791424.1	XP_034190835.1, XP_034190836.1
OG0000038	XP_017793649.1	XP_034176738.1, XP_034176739.1
OG0000039	XP_017789586.1	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1
OG0000040	XP_017791263.1, XP_017791264.1, XP_017791265.1, XP_017791267.1, XP_017791266.1, XP_017791268.1, XP_017791262.1	XP_034184421.1
OG0000041	XP_017793816.1	XP_034195325.1
OG0000043	XP_017794557.1, XP_017794556.1	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1
OG0000044	XP_017795109.1	XP_034179353.1, XP_034179355.1, XP_034179356.1
OG0000045	XP_017795383.1	XP_034177276.1
OG0000045	XP_017797031.1, XP_017795922.1	XP_034194538.1
OG0000046	XP_017795969.1, XP_017795975.1, XP_017795937.1, XP_017795938.1, XP_017795939.1	XP_034171928.1, XP_034171932.1, XP_034171930.1, XP_034171011.1
OG0000047	XP_017799300.1, XP_017792281.1, XP_017799306.1	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1
OG0000048	XP_017795703.1	XP_034194531.1, XP_034194822.1, XP_034192185.1
OG0000049	XP_017792787.1	XP_034195422.1, XP_034195424.1
OG0000049	XP_017793055.1, XP_017793138.1	XP_034195423.1, XP_034195421.1
OG0000050	XP_017787399.1, XP_017787400.1, XP_017787401.1	XP_034190520.1, XP_034190518.1, XP_034190519.1
OG0000051	XP_017787543.1	XP_034191137.1
OG0000052	XP_017795812.1	XP_034195801.1
OG0000052	XP_017789050.1	XP_034196365.1
OG0000053	XP_017792514.1	XP_034185422.1
