GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005938	cell cortex	123	24	19.93	8.7e-05	8.7e-05	0.009135	0.003045
GO:0005654	nucleoplasm	254	43	41.16	0.00021	0.00021	0.011025	0.0055125
GO:0005667	transcription regulator complex	77	23	12.48	0.00047	0.00047	0.01533	0.008225
GO:0005737	cytoplasm	1571	246	254.55	0.00059	3.2e-06	0.01533	2.4675e-4
GO:0005856	cytoskeleton	252	56	40.83	0.00073	0.00112	0.01533	0.0147
GO:0150034	distal axon	62	13	10.05	0.00401	0.00401	0.06315	0.023265789473684212
GO:0005681	spliceosomal complex	55	9	8.91	0.00421	0.00421	0.06315	0.023265789473684212
GO:0098794	postsynapse	52	16	8.43	0.00545	0.00545	0.07153125	0.0286125
GO:0099513	polymeric cytoskeletal fiber	85	15	13.77	0.00694	0.11653	0.074445	0.21466052631578947
GO:0015629	actin cytoskeleton	66	16	10.69	0.00709	0.00709	0.074445	0.03383863636363636
GO:0098793	presynapse	127	35	20.58	0.01029	0.01029	0.09191538461538461	0.043090384615384614
GO:0005911	cell-cell junction	78	18	12.64	0.01067	0.01067	0.09191538461538461	0.043090384615384614
GO:0005794	Golgi apparatus	168	29	27.22	0.01138	0.03651	0.09191538461538461	0.09462804878048779
GO:0000785	chromatin	137	21	22.2	0.01288	0.00603	0.0966	0.03015
GO:0030424	axon	129	30	20.9	0.02318	0.00034	0.16226	0.0071400000000000005
GO:0031090	organelle membrane	348	50	56.39	0.02669	0.70727	0.17213823529411765	0.7682319587628865
GO:0005829	cytosol	397	77	64.33	0.02787	0.02787	0.17213823529411765	0.08696470588235294
GO:0005700	polytene chromosome	95	17	15.39	0.03245	0.03245	0.18929166666666666	0.09208783783783783
GO:0099512	supramolecular fiber	121	23	19.61	0.03506	0.00902	0.19375263157894737	0.04117826086956522
GO:0005768	endosome	96	10	15.55	0.04473	0.04473	0.22945	0.10922441860465115
GO:0012505	endomembrane system	459	73	74.37	0.04589	0.01603	0.22945	0.0601125
GO:0031410	cytoplasmic vesicle	199	29	32.24	0.04875	0.00416	0.23267045454545454	0.023265789473684212
GO:0044297	cell body	67	12	10.86	0.05557	0.46968	0.24788400000000002	0.6242582278481013
GO:0097060	synaptic membrane	52	16	8.43	0.05763	0.05763	0.24788400000000002	0.1318531914893617
GO:0031594	neuromuscular junction	66	17	10.69	0.05902	0.05902	0.24788400000000002	0.1318531914893617
GO:0098590	plasma membrane region	157	36	25.44	0.07032	0.09130	0.28398461538461534	0.17752777777777778
GO:0034702	ion channel complex	50	14	8.1	0.07619	0.07619	0.2877	0.16058823529411764
GO:0098796	membrane protein complex	184	36	29.81	0.07786	0.03695	0.2877	0.09462804878048779
GO:0030054	cell junction	304	75	49.26	0.07946	0.00060	0.2877	0.009
GO:0031967	organelle envelope	137	19	22.2	0.09352	0.24146	0.32594545454545454	0.3728426470588236
GO:0000790	nuclear chromatin	89	16	14.42	0.09892	0.09892	0.32594545454545454	0.18884727272727272
GO:0043231	intracellular membrane-bounded organelle	1494	228	242.07	0.09976	0.08108	0.32594545454545454	0.16063018867924528
GO:0045202	synapse	217	56	35.16	0.10244	0.00228	0.32594545454545454	0.02176363636363636
GO:0099568	cytoplasmic region	81	15	13.12	0.10727	0.10727	0.33127500000000004	0.20113125
GO:1902494	catalytic complex	303	50	49.1	0.11859	0.03085	0.35577000000000003	0.09208783783783783
GO:0098805	whole membrane	128	16	20.74	0.12615	0.12615	0.36793750000000003	0.22837500000000002
GO:0098797	plasma membrane protein complex	79	19	12.8	0.13808	0.13808	0.3822276315789474	0.23836721311475406
GO:0000151	ubiquitin ligase complex	58	7	9.4	0.13833	0.13833	0.3822276315789474	0.23836721311475406
GO:0030133	transport vesicle	65	15	10.53	0.14238	0.14238	0.38333076923076925	0.24112741935483872
GO:0043229	intracellular organelle	1776	278	287.77	0.15528	0.00393	0.39935853658536585	0.023265789473684212
GO:0031224	intrinsic component of membrane	827	143	134	0.15594	0.51136	0.39935853658536585	0.6460958823529412
GO:0015630	microtubule cytoskeleton	138	26	22.36	0.16311	0.28412	0.407775	0.42017746478873236
GO:0099503	secretory vesicle	56	14	9.07	0.17095	0.17095	0.41743604651162786	0.28491666666666665
GO:0061695	transferase complex, transferring phosphorus-containing groups	57	14	9.24	0.18001	0.18001	0.42956931818181815	0.29532890625
GO:1902495	transmembrane transporter complex	53	14	8.59	0.20038	0.07978	0.45766304347826087	0.16063018867924528
GO:0016020	membrane	1216	217	197.03	0.20050	0.22039	0.45766304347826087	0.3560146153846154
GO:0098588	bounding membrane of organelle	192	26	31.11	0.21975	0.26686	0.4909308510638297	0.4060913043478261
GO:0005576	extracellular region	177	31	28.68	0.23597	0.82618	0.516184375	0.8851928571428571
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	103	11	16.69	0.24516	0.98424	0.5253428571428571	1
GO:0045177	apical part of cell	94	14	15.23	0.25120	0.43143	0.52752	0.5887636363636363
GO:0005886	plasma membrane	601	125	97.38	0.26980	0.03234	0.5534711538461539	0.09208783783783783
GO:0005815	microtubule organizing center	72	16	11.67	0.27410	0.27410	0.5534711538461539	0.41115
GO:0043005	neuron projection	193	44	31.27	0.28692	0.01340	0.5684264150943397	0.052111111111111115
GO:0000139	Golgi membrane	78	10	12.64	0.30180	0.30180	0.5868333333333333	0.440125
GO:0031981	nuclear lumen	374	57	60.6	0.31300	0.02816	0.5975454545454546	0.08696470588235294
GO:0005887	integral component of plasma membrane	176	36	28.52	0.36263	0.36263	0.6693206896551723	0.521591095890411
GO:0005634	nucleus	958	147	155.23	0.36450	0.02487	0.6693206896551723	0.08423709677419355
GO:1990351	transporter complex	56	15	9.07	0.36972	0.04381	0.6693206896551723	0.10922441860465115
GO:0070161	anchoring junction	99	24	16.04	0.40990	0.02768	0.72394	0.08696470588235294
GO:0098791	Golgi apparatus subcompartment	51	11	8.26	0.41368	0.41368	0.72394	0.5869783783783783
GO:0005622	intracellular	2147	348	347.88	0.45503	4.7e-06	0.7832483606557377	2.4675e-4
GO:0005875	microtubule associated complex	50	7	8.1	0.47758	0.47758	0.7925431818181817	0.6243222222222222
GO:0005929	cilium	50	11	8.1	0.48162	0.48162	0.7925431818181817	0.6243222222222222
GO:0005739	mitochondrion	222	29	35.97	0.49012	0.52289	0.7925431818181817	0.6460958823529412
GO:0120025	plasma membrane bounded cell projection	265	55	42.94	0.49126	0.04836	0.7925431818181817	0.11540454545454545
GO:0005874	microtubule	62	10	10.05	0.49817	0.49817	0.7925431818181817	0.6379006097560975
GO:0005773	vacuole	67	8	10.86	0.52303	0.52303	0.819673880597015	0.6460958823529412
GO:0016324	apical plasma membrane	50	5	8.1	0.53747	0.53747	0.82305	0.6546988636363635
GO:0043226	organelle	1820	286	294.9	0.54456	0.00328	0.82305	0.023265789473684212
GO:0005819	spindle	60	10	9.72	0.54870	0.54870	0.82305	0.6546988636363635
GO:0099080	supramolecular complex	173	30	28.03	0.56744	0.02427	0.8391718309859156	0.08423709677419355
GO:0043025	neuronal cell body	61	11	9.88	0.58669	0.58669	0.8555895833333333	0.6883683333333335
GO:0098798	mitochondrial protein complex	54	7	8.75	0.60395	0.60395	0.868695205479452	0.6968653846153845
GO:1990904	ribonucleoprotein complex	146	24	23.66	0.61260	0.42322	0.8692297297297298	0.5887636363636363
GO:1990234	transferase complex	179	31	29	0.62093	0.13848	0.8693019999999999	0.23836721311475406
GO:0070013	intracellular organelle lumen	431	65	69.84	0.66640	0.07800	0.9119316455696201	0.16058823529411764
GO:0031226	intrinsic component of plasma membrane	182	36	29.49	0.67402	0.44503	0.9119316455696201	0.5990788461538462
GO:0043232	intracellular non-membrane-bounded organelle	608	106	98.51	0.67963	0.00156	0.9119316455696201	0.01638
GO:0031982	vesicle	214	30	34.67	0.68612	0.00343	0.9119316455696201	0.023265789473684212
GO:0005743	mitochondrial inner membrane	59	11	9.56	0.70970	0.70970	0.9274464705882353	0.7682319587628865
GO:0032991	protein-containing complex	910	152	147.45	0.72762	0.03538	0.9274464705882353	0.09462804878048779
GO:0005740	mitochondrial envelope	89	13	14.42	0.73080	0.65148	0.9274464705882353	0.7216373684210526
GO:0036477	somatodendritic compartment	87	14	14.1	0.74045	0.65128	0.9274464705882353	0.7216373684210526
GO:0031966	mitochondrial membrane	84	13	13.61	0.74750	0.63181	0.9274464705882353	0.7210875
GO:0031984	organelle subcompartment	58	12	9.4	0.75079	0.43176	0.9274464705882353	0.5887636363636363
GO:0019866	organelle inner membrane	62	11	10.05	0.84119	0.65291	1	0.7216373684210526
GO:0071944	cell periphery	657	134	106.45	0.84332	0.03438	1	0.09462804878048779
GO:0005694	chromosome	247	38	40.02	0.85966	0.02098	1	0.07596206896551723
GO:0016021	integral component of membrane	817	141	132.38	0.86319	0.54610	1	0.6546988636363635
GO:0099081	supramolecular polymer	123	23	19.93	0.88491	0.00952	1	0.041650000000000006
GO:0031300	intrinsic component of organelle membrane	51	1	8.26	0.92897	0.92897	1	0.9813133663366338
GO:0005783	endoplasmic reticulum	162	26	26.25	0.94332	0.94332	1	0.9813133663366338
GO:0098687	chromosomal region	74	8	11.99	0.94393	0.94393	1	0.9813133663366338
GO:0000228	nuclear chromosome	119	18	19.28	0.95869	0.23356	1	0.3715727272727272
GO:0005615	extracellular space	101	12	16.37	0.97976	0.97976	1	1
GO:0005789	endoplasmic reticulum membrane	100	10	16.2	0.99361	0.99361	1	1
GO:0042995	cell projection	270	55	43.75	0.99868	0.05778	1	0.1318531914893617
GO:0097708	intracellular vesicle	199	29	32.24	1.00000	0.00416	1	0.023265789473684212
GO:0005575	cellular_component	2876	466	466	1.00000	1.00000	1	1
GO:0110165	cellular anatomical entity	2742	450	444.29	1.00000	0.59003	1	0.6883683333333335
GO:0043227	membrane-bounded organelle	1620	246	262.49	1.00000	0.00329	1	0.023265789473684212
GO:0043228	non-membrane-bounded organelle	608	106	98.51	1.00000	0.00156	1	0.01638
GO:0031974	membrane-enclosed lumen	431	65	69.84	1.00000	0.07800	1	0.16058823529411764
GO:0031975	envelope	137	19	22.2	1.00000	0.24146	1	0.3728426470588236
GO:0043233	organelle lumen	431	65	69.84	1.00000	0.07800	1	0.16058823529411764
