Orthogroup	Drosophila_melanogaster	Polistes_dominula
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_015180415.1, XP_015180416.1, XP_015180260.1, XP_015190970.1, XP_015183493.1, XP_015174482.1, XP_015174918.1, XP_015173619.1
OG0000006	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1	XP_015176242.1
OG0000006	NP_523647.2, NP_523721.1	XP_015184251.1
OG0000008	NP_572981.1	XP_015180320.1
OG0000008	NP_651466.1	XP_015182812.1
OG0000008	NP_001285251.1	XP_015180327.1, XP_015180328.1
OG0000008	NP_001285249.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	NP_572987.1	XP_015180324.1, XP_015180325.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_015177367.1, XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000011	NP_523520.2	XP_015183884.1, XP_015180925.1, XP_015183883.1, XP_015183802.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_015181488.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_015181463.1
OG0000012	NP_001036717.1	XP_015184231.1, XP_015181630.1, XP_015184244.1
OG0000013	NP_724345.1, NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_015172623.1
OG0000013	NP_001027343.1, NP_001027289.1, NP_001027285.1	XP_015174269.1
OG0000013	NP_001259374.1	XP_015172184.1, XP_015172183.1, XP_015172185.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1
OG0000017	NP_001138040.1	XP_015180943.1, XP_015180944.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_015183882.1, XP_015180945.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_015184408.1
OG0000018	NP_001247286.1	XP_015186828.1, XP_015175602.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_015182221.1, XP_015189673.1
OG0000020	NP_723103.1	XP_015172633.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_015183576.1, XP_015183590.1
OG0000020	NP_001137799.1, NP_723441.2	XP_015171445.1
OG0000020	NP_651649.1	XP_015183950.1, XP_015183951.1, XP_015183952.1
OG0000020	NP_001138225.1	XP_015184365.1
OG0000020	NP_001259218.1	XP_015181633.1
OG0000021	NP_648539.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_015190080.1
OG0000021	NP_611262.1, NP_651761.2	XP_015188837.1, XP_015184407.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_015173497.1
OG0000022	NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1	XP_015177598.1
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1	XP_015181175.1, XP_015181294.1, XP_015189755.1
OG0000026	NP_729591.1, NP_001287018.1	XP_015181461.1, XP_015181460.1
OG0000026	NP_001014616.2	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000026	NP_001287332.1	XP_015174903.1
OG0000026	NP_001285239.1	XP_015191534.1, XP_015187302.1
OG0000027	NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1, NP_001027317.1, NP_001027337.1	XP_015172634.1
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_015177662.1
OG0000029	NP_647872.1, NP_650813.2	XP_015172519.1, XP_015172507.1
OG0000029	NP_647875.1, NP_647873.2	XP_015172137.1
OG0000032	NP_609175.2	XP_015190440.1
OG0000032	NP_001285067.1	XP_015184211.1
OG0000032	NP_611166.2	XP_015191817.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_015190537.1, XP_015182537.1, XP_015182533.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_015172482.1
OG0000036	NP_001287583.1, NP_001369024.1	XP_015175890.1
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_015184679.1
OG0000038	NP_476772.1, NP_524264.1	XP_015179360.1
