Orthogroup	Ceratina_calcarata	Solenopsis_invicta
OG0000000	XP_017893334.1, XP_017881156.1	XP_025997771.2, XP_039314220.1, XP_039312430.1, XP_011170871.3, XP_039310450.1
OG0000000	XP_017889631.1	XP_039302811.1, XP_039311985.1, XP_039315440.1, XP_039309134.1, XP_039306383.1, XP_039315356.1, XP_039312423.1, XP_039309935.1, XP_025990812.2, XP_011174764.3, XP_039309112.1
OG0000000	XP_017883322.1, XP_017875143.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_017876324.1	XP_039312439.1, XP_039308831.1, XP_039311290.1, XP_039306064.1, XP_039309922.1, XP_025996261.2, XP_011165208.1, XP_025997856.2, XP_025996322.1, XP_039309123.1, XP_011171523.1, XP_011173050.1, XP_025997552.2
OG0000000	XP_017875755.1	XP_039303367.1, XP_039302117.1, XP_039309653.1
OG0000000	XP_017875124.1, XP_017875054.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	XP_017879813.1, XP_017879816.1	NP_001306576.1, XP_011159731.1
OG0000001	XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_017884717.1	XP_011164185.1
OG0000001	XP_017886303.1	XP_011164532.2, XP_011164534.2
OG0000001	XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1	XP_011162032.2, XP_039315612.1
OG0000002	XP_017878917.2, XP_017878885.1, XP_017878886.1, XP_026668779.1, XP_026668780.1, XP_017878890.2, XP_026668774.1, XP_017878891.1, XP_017878915.2, XP_026668772.1, XP_026668777.1	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3
OG0000002	XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1, XP_017883164.2, XP_026669570.1, XP_017878908.2	XP_011159024.2
OG0000002	XP_017878907.2	XP_011159023.1, XP_039305194.1
OG0000002	XP_017878894.2, XP_026672267.1	XP_039304869.1
OG0000002	XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	XP_026668778.1, XP_026668788.1	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1
OG0000003	XP_026668995.1	XP_039312739.1
OG0000003	XP_017890377.1	XP_039311136.1, XP_039314523.1
