ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
21	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7678109	7679021
186	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14337744	14338664	14338709
334	"LOC114880527"	NA	chrOU015509.1	-	8907418	8907730	8907418	8907441	8907680	8907730
454	"LOC114880748"	NA	chrOU015510.1	+	21571	22211	21571	21621	21965	22211
595	"LOC114880786"	NA	chrOU015505.1	+	12130653	12131369	12130653	12130872	12131208	12131369
699	"LOC114880859"	NA	chrOU015511.1	-	5534563	5535267	5534563	5534688	5535110	5535267
747	"LOC114877984"	NA	chrOU015506.1	-	3279437	3280743	3279437	3280040	3280564	3280743
860	"LOC114877833"	NA	chrOU015506.1	+	2444488	2448069	2444488	2444624	2447459	2448069
1029	"LOC114880544"	NA	chrOU015512.1	+	116675	117370	116675	116797	117181	117370
1034	"LOC114877472"	NA	chrOU015512.1	-	278129	279181	278129	278335	279020	279181
1294	"LOC114873915"	NA	chrOU015514.1	-	8474763	8475923	8474763	8474908	8475406	8475923
1450	"LOC114879792"	NA	chrOU015516.1	+	8340559	8341027	8340559	8340879	8340927	8341027
