GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	2774	735	619.5	1.0e-07	1.3e-12	9.4e-6	1.222e-10
GO:0008289	lipid binding	162	48	36.18	1.4e-05	1.4e-05	6.58e-4	2.632e-4
GO:0038023	signaling receptor activity	229	80	51.14	3.0e-05	4.0e-05	9.4e-4	5.371428571428572e-4
GO:0046872	metal ion binding	1214	303	271.11	4.8e-05	0.00036	0.001128	0.00376
GO:0098772	molecular function regulator	910	278	203.22	0.00011	1.3e-07	0.002068	6.11e-6
GO:0005102	signaling receptor binding	206	73	46	0.00015	0.00015	0.0023499999999999997	0.0017624999999999997
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	283	89	63.2	0.00059	0.00059	0.007922857142857143	0.004621666666666667
GO:0022890	inorganic cation transmembrane transporter activity	218	76	48.68	0.00068	0.00068	0.00799	0.004916923076923077
GO:0008092	cytoskeletal protein binding	310	78	69.23	0.00137	0.00137	0.014308888888888888	0.008585333333333332
GO:0008134	transcription factor binding	161	56	35.95	0.00481	0.00481	0.045214000000000004	0.01965826086956522
GO:0042802	identical protein binding	173	57	38.63	0.00903	0.00903	0.07346461538461539	0.03264692307692307
GO:0032549	ribonucleoside binding	162	40	36.18	0.00953	0.01619	0.07346461538461539	0.044760588235294115
GO:0004888	transmembrane signaling receptor activity	186	60	41.54	0.01016	0.01016	0.07346461538461539	0.035371851851851856
GO:0004674	protein serine/threonine kinase activity	150	49	33.5	0.01393	0.01393	0.09353	0.04223935483870968
GO:0043565	sequence-specific DNA binding	408	118	91.12	0.02258	0.00381	0.14150133333333334	0.01627909090909091
GO:0005525	GTP binding	159	37	35.51	0.02862	0.02862	0.1611270588235294	0.06898153846153846
GO:0019899	enzyme binding	468	122	104.51	0.02914	0.01504	0.1611270588235294	0.04418
GO:0005524	ATP binding	650	151	145.16	0.03555	0.03555	0.18564999999999998	0.0835425
GO:0017111	nucleoside-triphosphatase activity	423	88	94.47	0.03990	0.05907	0.1974	0.1132512
GO:0044877	protein-containing complex binding	252	56	56.28	0.04803	0.04803	0.22574100000000002	0.10749571428571429
GO:0005215	transporter activity	486	131	108.53	0.05375	0.08759	0.24059523809523808	0.15534830188679247
GO:0022857	transmembrane transporter activity	443	122	98.93	0.07192	0.05689	0.30729454545454543	0.11140958333333334
GO:0051020	GTPase binding	189	50	42.21	0.08145	0.09610	0.3262583333333333	0.16134428571428572
GO:0003700	DNA-binding transcription factor activity	368	114	82.18	0.08330	0.00041	0.3262583333333333	0.00376
GO:1990837	sequence-specific double-stranded DNA binding	335	95	74.81	0.08829	0.04075	0.33197039999999994	0.09342682926829268
GO:0017016	Ras GTPase binding	163	44	36.4	0.09612	0.09612	0.34751076923076923	0.16134428571428572
GO:0030234	enzyme regulator activity	256	71	57.17	0.10791	0.10791	0.37568666666666667	0.17488862068965516
GO:0000976	transcription regulatory region sequence-specific DNA binding	315	89	70.35	0.11880	0.04937	0.3988285714285714	0.10792511627906975
GO:0030554	adenyl nucleotide binding	669	157	149.4	0.14924	0.05326	0.47134733333333334	0.11125422222222223
GO:0008270	zinc ion binding	310	74	69.23	0.15043	0.15043	0.47134733333333334	0.23181016393442624
GO:0046983	protein dimerization activity	276	70	61.64	0.21819	0.21819	0.648453125	0.31075545454545456
GO:0043169	cation binding	1228	307	274.24	0.22075	0.00044	0.648453125	0.00376
GO:0019787	ubiquitin-like protein transferase activity	173	31	38.63	0.24120	0.89958	0.6870545454545455	0.960915
GO:0097367	carbohydrate derivative binding	913	216	203.89	0.25534	0.00280	0.70594	0.014711
GO:0003712	transcription coregulator activity	153	40	34.17	0.26802	0.26802	0.7198251428571427	0.37049823529411763
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	269	72	60.07	0.28199	0.17418	0.7247882051282051	0.25189107692307694
GO:0022804	active transmembrane transporter activity	166	44	37.07	0.28739	0.28739	0.7247882051282051	0.3915168115942029
GO:0000987	cis-regulatory region sequence-specific DNA binding	184	49	41.09	0.29955	0.37049	0.7247882051282051	0.48369527777777777
GO:0003677	DNA binding	731	191	163.25	0.30071	0.02135	0.7247882051282051	0.057339999999999995
GO:0016887	ATPase activity	279	51	62.31	0.31689	0.31689	0.7446915000000001	0.42553799999999997
GO:0008233	peptidase activity	264	60	58.96	0.35115	0.17340	0.8050756097560975	0.25189107692307694
GO:0003690	double-stranded DNA binding	367	102	81.96	0.39930	0.06024	0.88184	0.1132512
GO:0003682	chromatin binding	185	47	41.31	0.40885	0.40885	0.88184	0.5264643835616438
GO:0017076	purine nucleotide binding	820	192	183.12	0.43186	0.00313	0.88184	0.014711
GO:0005198	structural molecule activity	308	53	68.78	0.43329	0.99987	0.88184	1
GO:0001882	nucleoside binding	163	40	36.4	0.43435	0.01317	0.88184	0.041266
GO:0004175	endopeptidase activity	164	38	36.62	0.44092	0.44092	0.88184	0.5600875675675675
