Orthogroup	Acyrthosiphon_pisum	Apis_mellifera
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_026296210.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_006572180.1
OG0000005	XP_016662685.1	XP_006558866.1, XP_016768598.1
OG0000005	XP_008183146.1, XP_016661324.1, XP_008181853.2, XP_001944491.1, XP_008183396.1	XP_016771095.2
OG0000006	XP_016661819.1	XP_016771362.2, XP_016771361.2, XP_026300642.1, XP_016771366.1, XP_026300578.1, XP_026300644.1, XP_026300643.1, XP_003250826.2
OG0000008	XP_016663037.1	XP_006565046.2
OG0000008	XP_029347046.1	XP_026301320.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_396549.3
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_394219.3
OG0000008	XP_001948787.1, XP_008186873.1	XP_003250567.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_016769477.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_001120132.1
OG0000013	XP_008188188.1	XP_006563134.1, XP_624499.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_006563394.1, NP_001171499.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_393750.5, XP_006564136.1, XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2, XP_026299794.1, XP_006563569.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_026299702.1
OG0000019	XP_001952539.2	XP_394827.4
OG0000020	XP_029343120.1	XP_006569751.2
OG0000020	XP_029345653.1	XP_026301504.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_006560785.2
OG0000020	XP_029343394.1	XP_026300927.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_026299753.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_001119899.1, XP_624700.1, XP_003251613.1, XP_001120346.1, XP_001120186.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_001120889.1, XP_003251626.1, XP_001120014.1, XP_003251406.1, XP_001122218.1
OG0000024	XP_001949358.2	XP_026299083.1, XP_001120613.2, XP_016773395.2
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	NP_001011620.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_392530.3
OG0000026	XP_029345451.1	XP_006557594.2
OG0000026	XP_029342802.1	XP_026295189.1
OG0000026	XP_029342414.1	XP_003251584.1
OG0000027	NP_001156692.1	XP_003251624.1
OG0000027	XP_001949096.2, XP_008189396.1, XP_008190046.1, XP_029347154.1, XP_029347153.1	XP_006570863.1
OG0000029	XP_016663309.2, XP_001952418.1	NP_001257747.1, NP_001257746.1
OG0000029	NP_001165726.1, XP_001947860.1	NP_001257748.1, NP_001257749.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_026300187.1
OG0000033	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1, XP_008181029.1, XP_029341451.1, XP_016661483.1, XP_003241729.1, XP_008178756.1, XP_016659109.1, XP_029345523.1, XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1	XP_016771932.2
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_392319.3
OG0000035	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1	XP_394494.5
