Orthogroup	Ceratina_calcarata	Vespa_mandarinia
OG0000001	XP_017879813.1, XP_017879816.1	XP_035726105.1
OG0000001	XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1	XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_017884717.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000001	XP_017886303.1	XP_035738421.1
OG0000002	XP_017878917.2, XP_017878885.1, XP_017878886.1, XP_026668779.1, XP_026668780.1, XP_017878890.2, XP_026668774.1, XP_017878891.1, XP_017878915.2, XP_026668772.1, XP_026668777.1	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1
OG0000002	XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1	XP_035737177.1
OG0000002	XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1, XP_017883164.2, XP_026669570.1, XP_017878908.2	XP_035737160.1, XP_035737224.1
OG0000002	XP_017878907.2	XP_035737208.1
OG0000002	XP_017878894.2, XP_026672267.1	XP_035737170.1
OG0000002	XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1	XP_035737172.1, XP_035737325.1, XP_035737203.1
OG0000002	XP_026668778.1, XP_026668788.1	XP_035737210.1
OG0000003	XP_017889192.1	XP_035742199.1
OG0000004	XP_017875127.1	XP_035731236.1, XP_035737767.1, XP_035737738.1, XP_035725544.1
OG0000004	XP_017875115.1	XP_035742402.1
OG0000004	XP_017889204.1	XP_035739245.1
OG0000006	XP_026671184.1	XP_035718467.1
OG0000006	XP_017883408.2	XP_035718471.1
OG0000006	XP_026667224.1	XP_035740898.1
OG0000008	XP_026675049.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_017891654.1	XP_035736007.1
OG0000008	XP_017891655.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_026666941.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_017887163.1	XP_035722243.1
OG0000009	XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
OG0000010	XP_017893067.1, XP_017882797.1, XP_017879098.1, XP_017888506.1, XP_017877879.2, XP_017882798.1	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1
OG0000012	XP_017893158.1	XP_035733658.1
OG0000012	XP_017875047.1	XP_035729179.1
OG0000012	XP_017890257.1, XP_026672566.1	XP_035731128.1
OG0000013	XP_017875197.1	XP_035732971.1
OG0000013	XP_017887567.1	XP_035725915.1
OG0000013	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1	XP_035732323.1
