Orthogroup	Megalopta_genalis	Solenopsis_invicta
OG0000000	XP_033333383.1	XP_011171895.1
OG0000000	XP_033332143.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_033322446.1	XP_039307919.1, XP_039304380.1
OG0000000	XP_033321268.1	XP_039312439.1, XP_039308831.1, XP_039311290.1, XP_039306064.1, XP_039309922.1, XP_025996261.2, XP_011165208.1, XP_025997856.2, XP_025996322.1, XP_039309123.1, XP_011171523.1, XP_011173050.1, XP_025997552.2
OG0000000	XP_033323553.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	XP_033341784.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_033339718.1	XP_011164185.1
OG0000001	XP_033326710.1	XP_011164532.2, XP_011164534.2
OG0000001	XP_033338373.1	XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1
OG0000001	XP_033338371.1, XP_033322509.1	XP_011162032.2, XP_039315612.1
OG0000002	XP_033330629.1	XP_011175322.2, XP_011158991.3
OG0000003	XP_033335210.1	XP_039309362.1, XP_039304913.1, XP_039312739.1
OG0000005	XP_033333817.1, XP_033333818.1, XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1, XP_033331182.1, XP_033331181.1	XP_025990901.2
OG0000006	XP_033332254.1	XP_025989821.2
OG0000006	XP_033331535.1	XP_039308764.1, XP_011163434.2
OG0000006	XP_033331536.1	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3, XP_025994613.2, XP_039309023.1, XP_039308762.1, XP_025994617.2, XP_039309001.1, XP_011163479.2, XP_039309032.1, XP_039308749.1, XP_039309026.1, XP_039309013.1, XP_039309018.1, XP_039309027.1, XP_039309014.1, XP_039309007.1, XP_039309030.1, XP_039309029.1, XP_025994615.2, XP_039308995.1
OG0000006	XP_033325709.1	XP_011171479.2, XP_039306260.1
OG0000007	XP_033334294.1	XP_025997174.2
OG0000008	XP_033329050.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_033329521.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_033329051.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_039305528.1
OG0000009	XP_033323903.1, XP_033323904.1, XP_033323905.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_033321090.1	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1
OG0000009	XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1	XP_011172780.1, XP_011160035.1
OG0000009	XP_033323885.1, XP_033323887.1	XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000010	XP_033342844.1, XP_033332592.1, XP_033332262.1, XP_033329818.1, XP_033328507.1, XP_033337278.1, XP_033333275.1	XP_039313808.1, XP_039309913.1, XP_039312408.1
OG0000010	XP_033337279.1	XP_011170473.1, XP_011166544.1
OG0000010	XP_033337116.1, XP_033332263.1, XP_033339381.1, XP_033337295.1, XP_033333309.1	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1
OG0000012	XP_033333560.1	XP_011167036.2
OG0000013	XP_033328965.1	XP_011165753.2
OG0000013	XP_033328768.1, XP_033328623.1	XP_011166327.1
OG0000013	XP_033330794.1, XP_033330796.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000014	XP_033328582.1, XP_033328621.1, XP_033328603.1	XP_011156264.2
OG0000014	XP_033328576.1	XP_011163196.1
OG0000016	XP_033327074.1	XP_025994129.1, XP_039306761.1
OG0000016	XP_033337658.1, XP_033324994.1	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1
OG0000018	XP_033334915.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_033333868.1, XP_033333867.1	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1
OG0000018	XP_033342252.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_033342250.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_033335083.1	XP_025990211.2
OG0000019	XP_033337986.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_033321516.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_033333974.1	XP_025986429.1
OG0000020	XP_033341111.1	XP_011159576.2
OG0000020	XP_033329902.1	XP_025987337.1
OG0000020	XP_033341861.1	XP_025991589.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_011157847.1
OG0000021	XP_033334588.1	XP_011159438.1
OG0000021	XP_033336486.1, XP_033336485.1	XP_025991392.1
OG0000022	XP_033326609.1	XP_011163652.1
OG0000022	XP_033328967.1, XP_033328581.1	XP_011166335.1
OG0000022	XP_033328625.1	XP_011163198.1
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1	XP_025992331.1
OG0000024	XP_033340779.1	XP_011168449.1, XP_011168448.1
OG0000024	XP_033341678.1	XP_025991932.1
OG0000025	XP_033330636.1	XP_039305170.1
OG0000025	XP_033331349.1	XP_039309205.1
OG0000026	XP_033339312.1	XP_039304799.1
OG0000026	XP_033332814.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_033328968.1	XP_011156268.1
OG0000028	XP_033332580.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000028	XP_033320862.1	XP_011170007.1, XP_011176359.1, XP_039302918.1
OG0000028	XP_033320861.1	XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2
OG0000028	XP_033331103.1	XP_039303527.1, XP_039309129.1
OG0000029	XP_033327291.1	XP_011175216.3
OG0000029	XP_033327295.1	XP_011175277.3
OG0000029	XP_033338642.1	XP_025987625.1
OG0000029	XP_033327383.1	XP_025994361.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_025986100.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_033335963.1	XP_025991246.2
