Orthogroup	Drosophila_melanogaster	Tribolium_castaneum
OG0000001	NP_001285631.1, NP_001286199.1, NP_610390.1, NP_001286431.1, NP_001286149.1, NP_001286435.1, NP_001287562.1, NP_523749.2, NP_523628.1, NP_611003.2, NP_523748.2, NP_001286433.1, NP_611000.2, NP_611002.3, NP_611001.2	XP_970215.1, XP_970481.1, XP_969048.1, XP_015839998.1, XP_008200093.1, NP_001123875.1, XP_015839996.1, XP_966437.1, XP_968370.1, XP_008190374.1, XP_008200096.1, XP_970282.1, XP_969633.1, XP_969948.1
OG0000001	NP_611698.1, NP_609891.1, NP_650327.1	XP_974742.1
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_969875.1, XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000006	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1	XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1
OG0000008	NP_572981.1	XP_972338.1
OG0000008	NP_572985.1	XP_972175.3
OG0000008	NP_651466.1	XP_969421.1
OG0000008	NP_572978.1, NP_572977.1	XP_008191987.1, XP_972532.1
OG0000008	NP_001285251.1	XP_972430.2
OG0000008	NP_001285249.1	XP_015836551.1, XP_015836552.1
OG0000008	NP_572987.1	XP_008191970.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	NP_523695.1, NP_476771.1, NP_725034.1, NP_725035.1, NP_523694.2, NP_725036.1, NP_001286314.1, NP_525112.1, NP_610874.1, NP_001286096.1, NP_523693.1, NP_609708.2, NP_722785.1, NP_608662.1, NP_722789.1, NP_001259921.1, NP_001259920.1, NP_523456.1	XP_015840677.1
OG0000012	NP_722915.1, NP_001285772.1	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1
OG0000012	NP_001036717.1	XP_008192552.1
OG0000013	NP_724345.1, NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_969677.1
OG0000013	NP_001027343.1, NP_001027289.1, NP_001027285.1	XP_966487.1
OG0000013	NP_001259374.1	XP_008197392.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_015838206.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_015834775.1, XP_974273.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_008200429.1
OG0000018	NP_001247286.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	NP_001097100.1, NP_001188701.2	XP_008201408.1, XP_008201409.2
OG0000020	NP_651649.1	XP_969457.2
OG0000021	NP_648539.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_008197404.1
OG0000021	NP_611262.1, NP_651761.2	XP_008197199.1
OG0000021	NP_650482.1, NP_732032.1	XP_008196932.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_008201479.1, XP_008201473.1, XP_008199957.2
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	NP_729591.1, NP_001287018.1	XP_015833705.1
OG0000026	NP_001014616.2	XP_008193329.1
OG0000026	NP_001287332.1	XP_969357.3
OG0000026	NP_001163838.2	XP_966472.1
OG0000026	NP_001285239.1	XP_015840897.1
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_008199050.2
OG0000029	NP_650813.2	XP_971332.1
OG0000029	NP_647875.1, NP_647873.2	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	NP_650568.2, NP_650567.1, NP_650566.1, NP_001027183.1, NP_001027182.1, NP_001260257.1, NP_001097509.3, NP_651652.2	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000032	NP_609175.2	XP_001807564.1
OG0000032	NP_001285067.1	XP_008200043.1, XP_008199233.1
OG0000032	NP_611166.2	XP_008197173.2
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_969958.1, XP_970026.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_008191815.1, XP_008191817.1, XP_971626.2
OG0000035	NP_001261394.1, NP_001287111.1	XP_015838951.1
OG0000035	NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1
OG0000037	NP_001137869.1	XP_015835222.1
OG0000037	NP_648209.1	XP_970216.2
OG0000037	NP_001097547.1	XP_008193010.2
OG0000037	NP_649120.1	XP_970770.1, XP_970895.1
OG0000037	NP_649121.1	XP_008200145.1
OG0000038	NP_524009.2	XP_974091.1
OG0000038	NP_524297.1	XP_966407.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	NP_001161129.1, XP_008193161.1, NP_001161087.1
OG0000041	NP_001014725.1	NP_001165843.1
OG0000041	NP_524367.1, NP_523800.1, NP_001287314.1, NP_001262200.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	NP_477037.2	XP_967305.1
OG0000042	NP_731781.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	NP_001286870.1	XP_008193777.1, NP_001039289.1
OG0000043	NP_524121.2	NP_001039285.1
OG0000043	NP_001286808.1	NP_001039276.1
OG0000044	NP_732654.1, NP_732655.3	NP_001164285.1
OG0000044	NP_651674.3	XP_008200957.1
OG0000044	NP_611781.3, NP_001356886.1, NP_648488.1, NP_572643.1, NP_572644.1, NP_001350853.2, NP_001263064.1, NP_001263065.1	XP_008200834.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_015834974.1, XP_015834972.1
