GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016787	hydrolase activity	94	22	26.71	0.005	0.1154	0.36	0.344736
GO:0008270	zinc ion binding	19	10	5.4	0.019	0.0188	0.45257142857142857	0.2112
GO:0005509	calcium ion binding	14	9	3.98	0.021	0.0209	0.45257142857142857	0.2112
GO:0005525	GTP binding	13	6	3.69	0.026	0.0264	0.45257142857142857	0.2112
GO:0005515	protein binding	117	42	33.24	0.035	0.0534	0.45257142857142857	0.25632
GO:0043565	sequence-specific DNA binding	15	9	4.26	0.039	0.0392	0.45257142857142857	0.22834285714285718
GO:0003924	GTPase activity	12	5	3.41	0.044	0.0444	0.45257142857142857	0.22834285714285718
GO:0046983	protein dimerization activity	10	5	2.84	0.095	0.0955	0.8496	0.3274285714285714
GO:0004601	peroxidase activity	10	4	2.84	0.111	0.1112	0.8496	0.344736
GO:0140110	transcription regulator activity	39	18	11.08	0.118	0.0398	0.8496	0.22834285714285718
GO:0020037	heme binding	11	4	3.13	0.169	0.1686	0.9526153846153845	0.4496
GO:0003700	DNA-binding transcription factor activity	34	15	9.66	0.171	0.0813	0.9526153846153845	0.32364
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	14	6	3.98	0.172	0.0338	0.9526153846153845	0.22834285714285718
GO:0004888	transmembrane signaling receptor activity	11	5	3.13	0.207	0.2072	1	0.4797
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	13	5	3.69	0.213	0.2132	1	0.4797
GO:0003676	nucleic acid binding	69	19	19.6	0.260	0.4280	1	0.7704
GO:0016772	transferase activity, transferring phosphorus-containing groups	36	10	10.23	0.267	0.7034	1	0.9123428571428572
GO:0003723	RNA binding	10	1	2.84	0.272	0.2721	1	0.5936
GO:0004175	endopeptidase activity	30	5	8.52	0.282	0.9993	1	1
GO:0016462	pyrophosphatase activity	31	7	8.81	0.302	0.2968	1	0.5936
GO:0036094	small molecule binding	74	19	21.03	0.348	0.9075	1	1
GO:0030234	enzyme regulator activity	10	4	2.84	0.373	0.3730	1	0.7067368421052631
GO:0004674	protein serine/threonine kinase activity	10	3	2.84	0.481	0.4811	1	0.8338909090909092
GO:0008233	peptidase activity	37	7	10.51	0.494	0.9965	1	1
GO:0004386	helicase activity	14	1	3.98	0.500	0.5002	1	0.8338909090909092
GO:0004713	protein tyrosine kinase activity	10	3	2.84	0.545	0.5446	1	0.87136
GO:0097159	organic cyclic compound binding	135	39	38.36	0.559	0.5096	1	0.8338909090909092
