Orthogroup	Osmia_bicornis	Megalopta_genalis
OG0000000	XP_029053897.1	XP_033339380.1
OG0000000	XP_029054823.1	XP_033339065.1, XP_033338067.1
OG0000000	XP_029054961.1	XP_033334293.1
OG0000000	XP_029054802.1	XP_033325360.1, XP_033334388.1
OG0000000	XP_029054772.1	XP_033339901.1
OG0000001	XP_029053628.1, XP_029053627.1, XP_029053850.1, XP_029054175.1	XP_033326750.1, XP_033326752.1, XP_033326753.1, XP_033326751.1, XP_033326754.1, XP_033326755.1, XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326756.1, XP_033326758.1
OG0000001	XP_029053698.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053704.1	XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033329019.1, XP_033329022.1
OG0000001	XP_029053697.1	XP_033323542.1
OG0000001	XP_029053979.1, XP_029053981.1, XP_029053980.1, XP_029053978.1	XP_033326763.1, XP_033326762.1
OG0000002	XP_029040939.1	XP_033333817.1, XP_033333818.1
OG0000002	XP_029053461.1, XP_029054264.1	XP_033322608.1, XP_033330931.1, XP_033330929.1, XP_033330930.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1
OG0000003	XP_029050939.1	XP_033331349.1, XP_033335340.1, XP_033334345.1
OG0000003	XP_029055259.1	XP_033340902.1
OG0000003	XP_029054180.1	XP_033330636.1
OG0000006	XP_029037649.1, XP_029037650.1	XP_033330794.1, XP_033330795.1, XP_033330796.1
OG0000006	XP_029053957.1, XP_029053453.1, XP_029053452.1	XP_033328623.1
OG0000006	XP_029053372.1	XP_033328624.1
OG0000007	XP_029038873.1, XP_029038888.1, XP_029038900.1, XP_029038863.1, XP_029038274.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339134.1, XP_033339139.1, XP_033339137.1, XP_033339287.1, XP_033339138.1
OG0000008	XP_029032653.1, XP_029032654.1	XP_033333605.1, XP_033333606.1
OG0000008	XP_029053007.1	XP_033338815.1
OG0000008	XP_029038899.1	XP_033322535.1
OG0000008	XP_029038902.1	XP_033322537.1
OG0000009	XP_029051756.1	XP_033326042.1, XP_033326033.1
OG0000009	XP_029038489.1, XP_029038483.1, XP_029038484.1, XP_029038485.1, XP_029038486.1, XP_029038490.1, XP_029038488.1	XP_033323873.1
OG0000010	XP_029040920.1	XP_033339806.1
OG0000010	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040929.1, XP_029040927.1, XP_029040930.1, XP_029040871.1	XP_033339803.1
OG0000011	XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1, XP_029038954.1	XP_033332438.1, XP_033332435.1, XP_033332436.1
OG0000012	XP_029040334.1, XP_029040333.1, XP_029040338.1, XP_029040336.1, XP_029040335.1, XP_029040332.1, XP_029040337.1	XP_033326361.1
OG0000014	XP_029053373.1, XP_029053459.1, XP_029053460.1, XP_029053959.1, XP_029035639.1	XP_033328773.1
OG0000014	XP_029035641.1, XP_029053960.1	XP_033328969.1
OG0000014	XP_029054966.1	XP_033328626.1
OG0000015	XP_029036176.1, XP_029036170.1, XP_029036174.1, XP_029036173.1	XP_033331536.1
OG0000015	XP_029036177.1	XP_033332229.1, XP_033331540.1, XP_033331527.1, XP_033331543.1, XP_033331542.1, XP_033332230.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332227.1
OG0000016	XP_029039971.1	XP_033330472.1, XP_033330470.1
OG0000017	XP_029054575.1, XP_029051991.1	XP_033337165.1, XP_033337190.1
OG0000017	XP_029051696.1, XP_029054086.1, XP_029053954.1, XP_029054574.1, XP_029051698.1, XP_029053456.1, XP_029053953.1, XP_029053457.1	XP_033328772.1
OG0000017	XP_029055089.1	XP_033328607.1
OG0000018	XP_029050472.1, XP_029050471.1, XP_029050469.1, XP_029050473.1	XP_033339546.1, XP_033339550.1, XP_033339549.1, XP_033339548.1, XP_033339547.1
OG0000019	XP_029037621.1, XP_029037535.1, XP_029037019.1, XP_029037363.1, XP_029037788.1, XP_029036850.1, XP_029036756.1, XP_029036672.1, XP_029037702.1, XP_029037101.1, XP_029037873.1, XP_029037448.1, XP_029036938.1	XP_033323692.1, XP_033323694.1, XP_033323690.1, XP_033323691.1, XP_033323688.1, XP_033323689.1, XP_033323686.1, XP_033323687.1
OG0000021	XP_029054640.1, XP_029053970.1, XP_029053864.1	XP_033332580.1
OG0000021	XP_029055086.1, XP_029053767.1	XP_033331103.1
OG0000021	XP_029054361.1	XP_033320862.1
OG0000022	XP_029047059.1	XP_033337897.1, XP_033337898.1, XP_033337899.1, XP_033337900.1, XP_033337901.1
OG0000023	XP_029055135.1, XP_029055222.1	XP_033335543.1, XP_033339814.1
OG0000023	XP_029055109.1	XP_033342845.1
OG0000023	XP_029054728.1	XP_033323539.1
OG0000025	XP_029049807.1, XP_029049826.1, XP_029049817.1, XP_029049849.1, XP_029049843.1, XP_029049833.1	XP_033325052.1, XP_033325051.1, XP_033325054.1, XP_033325053.1, XP_033325048.1, XP_033325047.1, XP_033325050.1, XP_033325049.1, XP_033325055.1
