Orthogroup	Solenopsis_invicta	Drosophila_melanogaster
OG0000001	NP_001306576.1, XP_011159731.1, XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2, XP_011164185.1, XP_011164532.2, XP_011164534.2, XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_039311113.1	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1
OG0000006	XP_011171479.2, XP_039306260.1	NP_523647.2, NP_523721.1
OG0000007	XP_025997174.2	NP_648146.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	NP_572981.1
OG0000008	XP_039314393.1, XP_039314392.1, XP_025990966.2	NP_651466.1
OG0000008	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1	NP_572978.1, NP_572977.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	NP_001285251.1
OG0000008	XP_011158386.1, XP_039305296.1	NP_001285249.1
OG0000008	XP_039305528.1	NP_572987.1
OG0000009	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1, XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_039311372.1, XP_011169700.2	NP_523520.2
OG0000012	XP_011157834.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_011167036.2	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1
OG0000012	XP_011166798.2, XP_039314082.1	NP_722915.1, NP_001285772.1
OG0000012	XP_025991007.1	NP_001036717.1
OG0000013	XP_011165753.2	NP_001027338.1
