Orthogroup	Osmia_bicornis	Dufourea_novaeangliae
OG0000000	XP_029053895.1	XP_015438109.1, XP_015438034.1
OG0000000	XP_029053837.1	XP_015438113.1, XP_015437823.1, XP_015437079.1
OG0000000	XP_029053897.1	XP_015438108.1
OG0000000	XP_029054992.1	XP_015437138.1
OG0000000	XP_029054064.1, XP_029054855.1	XP_015437077.1, XP_015438112.1
OG0000000	XP_029054802.1	XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1
OG0000001	XP_029053628.1, XP_029053627.1, XP_029053850.1, XP_029054175.1	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1
OG0000001	XP_029054161.1, XP_029052980.1, XP_029052981.1, XP_029052978.1, XP_029052979.1	XP_015434778.1, XP_015434773.1, XP_015434772.1
OG0000001	XP_029053697.1	XP_015434774.1
OG0000001	XP_029053979.1, XP_029053981.1, XP_029053980.1, XP_029053978.1	XP_015438122.1
OG0000002	XP_029055229.1, XP_029054922.1, XP_029036971.1, XP_029055156.1, XP_029053759.1, XP_029054660.1, XP_029054427.1, XP_029054036.1, XP_029055048.1, XP_029054618.1, XP_029054741.1, XP_029052591.1, XP_029053451.1, XP_029054697.1, XP_029053867.1, XP_029054831.1, XP_029055253.1, XP_029055265.1, XP_029054700.1, XP_029052800.1, XP_029040939.1, XP_029054775.1, XP_029053461.1, XP_029054264.1	XP_015431885.1, XP_015430410.1, XP_015434271.1
OG0000002	XP_029038971.1	XP_015437433.1
OG0000003	XP_029050939.1	XP_015440315.1, XP_015437574.1
OG0000006	XP_029037649.1, XP_029037650.1	XP_015434157.1
OG0000006	XP_029051686.1, XP_029053957.1, XP_029053453.1, XP_029053452.1	XP_015435345.1
OG0000006	XP_029035638.1	XP_015440404.1
OG0000006	XP_029053372.1	XP_015434156.1
OG0000007	XP_029038873.1, XP_029038888.1, XP_029038900.1, XP_029038863.1, XP_029038274.1	XP_015439489.1
OG0000008	XP_029032653.1, XP_029032654.1	XP_015433852.1
OG0000008	XP_029038899.1	XP_015434651.1
OG0000009	XP_029038489.1, XP_029038483.1, XP_029038484.1, XP_029038485.1, XP_029038486.1, XP_029038490.1, XP_029038488.1	XP_015437448.1, XP_015437450.1, XP_015437451.1
OG0000010	XP_029040920.1	XP_015437926.1
OG0000010	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040929.1, XP_029040927.1, XP_029040930.1, XP_029040871.1	XP_015437927.1
OG0000011	XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1, XP_029038954.1	XP_015432705.1, XP_015432704.1
OG0000012	XP_029040334.1, XP_029040333.1, XP_029040338.1, XP_029040336.1, XP_029040335.1, XP_029040332.1, XP_029040337.1	XP_015432146.1
OG0000013	XP_029055014.1, XP_029051957.1, XP_029054619.1, XP_029053691.1, XP_029054936.1	XP_015436653.1
OG0000013	XP_029054642.1	XP_015435180.1
OG0000014	XP_029035639.1	XP_015435403.1
OG0000014	XP_029051993.1	XP_015435411.1
OG0000014	XP_029035641.1, XP_029053960.1, XP_029054966.1	XP_015435405.1, XP_015440405.1
OG0000015	XP_029036177.1	XP_015432301.1
OG0000016	XP_029039971.1	XP_015438494.1
OG0000017	XP_029054575.1, XP_029051991.1	XP_015435373.1, XP_015435410.1, XP_015438105.1
OG0000018	XP_029050472.1, XP_029050471.1, XP_029050469.1, XP_029050473.1	XP_015429717.1
OG0000019	XP_029037621.1, XP_029037535.1, XP_029037019.1, XP_029037363.1, XP_029037788.1, XP_029036850.1, XP_029036756.1, XP_029036672.1, XP_029037702.1, XP_029037101.1, XP_029037873.1, XP_029037448.1, XP_029036938.1	XP_015437181.1
OG0000021	XP_029054640.1, XP_029053970.1, XP_029053864.1, XP_029054752.1, XP_029055248.1, XP_029054436.1, XP_029054545.1, XP_029055086.1, XP_029053767.1	XP_015437897.1
OG0000021	XP_029053972.1	XP_015437828.1, XP_015437070.1, XP_015430609.1
OG0000021	XP_029054361.1	XP_015437076.1
OG0000022	XP_029047059.1	XP_015433494.1
OG0000023	XP_029054728.1	XP_015437622.1, XP_015437540.1
OG0000023	XP_029054531.1	XP_015440316.1
OG0000024	XP_029055093.1, XP_029054853.1, XP_029055141.1, XP_029054751.1	XP_015428709.1
