Orthogroup	Megalopta_genalis	Apis_mellifera
OG0000001	XP_033341784.1	XP_624795.3, XP_026302253.1, XP_016772837.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1	XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1
OG0000001	XP_033326762.1, XP_033326763.1	XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1
OG0000001	XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1	XP_016771320.1
OG0000001	XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	XP_026300535.1, XP_395671.3
OG0000001	XP_033339718.1	XP_026296210.1
OG0000001	XP_033326710.1	XP_006564499.3
OG0000001	XP_033338371.1, XP_033322509.1	NP_001191991.1, XP_016770827.2
OG0000002	XP_033330629.1	XP_003250769.3, XP_026294905.1, XP_026294912.1
OG0000005	XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1	XP_006558866.1, XP_016768598.1
OG0000005	XP_033329942.1, XP_033329941.1, XP_033329937.1, XP_033321098.1, XP_033328818.1, XP_033331348.1, XP_033331346.1, XP_033341707.1, XP_033322035.1, XP_033340640.1, XP_033340639.1, XP_033337381.1, XP_033321306.1, XP_033333928.1, XP_033330633.1, XP_033333584.1, XP_033333587.1, XP_033333586.1, XP_033333585.1, XP_033330930.1, XP_033330931.1, XP_033330929.1, XP_033322608.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1, XP_033328756.1	XP_016771095.2
OG0000006	XP_033332254.1	XP_016771362.2
OG0000006	XP_033331535.1	XP_026300642.1, XP_016771366.1
OG0000006	XP_033331536.1	XP_026300578.1
OG0000006	XP_033325709.1	XP_003250826.2
OG0000008	XP_033329050.1	XP_006565046.2
OG0000008	XP_033321018.1, XP_033321034.1	XP_026301320.1
OG0000008	XP_033329521.1	XP_396549.3
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_003250567.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_016769477.1
OG0000009	XP_033323905.1	XP_006562365.2
OG0000009	XP_033323894.1, XP_033323884.1, XP_033323895.1	XP_006562363.1, XP_006562364.1, XP_392000.1
OG0000009	XP_033323885.1, XP_033323887.1	XP_026300962.1
OG0000011	XP_033340025.1	XP_001120948.1, XP_003249278.2
OG0000012	XP_033333685.1	XP_026297101.1, XP_026297165.1
OG0000012	XP_033324767.1	XP_026301256.1
OG0000012	XP_033324764.1	XP_026301257.1
OG0000013	XP_033328965.1	XP_001120132.1
OG0000013	XP_033328768.1, XP_033328623.1	XP_006570899.1
OG0000013	XP_033330794.1, XP_033330796.1	XP_624499.1
OG0000014	XP_033328576.1	XP_006570861.2
OG0000017	XP_033341624.1	XP_006563394.1, NP_001171499.1
OG0000018	XP_033334915.1	XP_393750.5
OG0000018	XP_033333868.1, XP_033333867.1	XP_006564136.1
OG0000018	XP_033342252.1	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2
OG0000018	XP_033342250.1	XP_026299794.1
OG0000018	XP_033327648.1	XP_006563569.1
OG0000019	XP_033335083.1	XP_026299702.1
OG0000019	XP_033337986.1	XP_394827.4
OG0000019	XP_033321516.1	XP_006572051.3
OG0000020	XP_033341111.1	XP_006569751.2
OG0000020	XP_033336086.1	XP_026301504.1
OG0000020	XP_033329902.1	XP_006560785.2
