Orthogroup	Vespa_mandarinia	Osmia_lignaria
OG0000001	XP_035720574.1	XP_034175979.1
OG0000001	XP_035726105.1	XP_034183758.1, XP_034183757.1, XP_034177877.1
OG0000001	XP_035737410.1, XP_035737418.1, XP_035737424.1	XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034178690.1, XP_034178111.1, XP_034194601.1, XP_034178688.1, XP_034178687.1, XP_034178689.1, XP_034178696.1
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_034187550.1
OG0000001	XP_035738421.1	XP_034182179.1
OG0000002	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1	XP_034171936.1
OG0000002	XP_035737326.1	XP_034171929.1
OG0000002	XP_035737177.1	XP_034171933.1
OG0000002	XP_035737160.1, XP_035737224.1	XP_034171931.1, XP_034170982.1
OG0000002	XP_035737172.1, XP_035737325.1, XP_035737203.1	XP_034171014.1, XP_034171015.1, XP_034171927.1
OG0000002	XP_035737210.1	XP_034170983.1, XP_034170985.1, XP_034170984.1, XP_034171930.1, XP_034171932.1, XP_034171011.1, XP_034171928.1, XP_034171012.1
OG0000003	XP_035731237.1, XP_035742199.1	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1
OG0000003	XP_035731232.1	XP_034195041.1
OG0000004	XP_035731243.1, XP_035731251.1	XP_034184622.1
OG0000004	XP_035737763.1	XP_034194807.1
OG0000006	XP_035718467.1	XP_034178579.1
OG0000006	XP_035740898.1	XP_034189642.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_034185974.1
OG0000008	XP_035736007.1	XP_034185983.1
