Orthogroup	Aedes_aegypti	Osmia_lignaria
OG0000000	XP_021704707.1	XP_034179313.1
OG0000001	XP_021704701.1	XP_034183758.1, XP_034183757.1, XP_034177877.1, XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034178690.1, XP_034178111.1, XP_034194601.1, XP_034178688.1, XP_034178687.1, XP_034178689.1, XP_034178696.1, XP_034187550.1, XP_034182179.1, XP_034190826.1, XP_034190827.1
OG0000002	XP_021711562.1	XP_034171936.1, XP_034171929.1, XP_034171933.1, XP_034171931.1, XP_034170982.1, XP_034171014.1, XP_034171015.1, XP_034171927.1, XP_034170983.1, XP_034170985.1, XP_034170984.1, XP_034171930.1, XP_034171932.1, XP_034171011.1, XP_034171928.1, XP_034171012.1
OG0000003	XP_021694215.1	XP_034194163.1
OG0000005	XP_021706484.1	XP_034192460.1, XP_034194826.1
OG0000006	XP_001651754.2, XP_001651756.3	XP_034189642.1
OG0000007	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1	XP_034192555.1, XP_034194792.1, XP_034195128.1
OG0000007	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1	XP_034184035.1, XP_034192270.1, XP_034192484.1, XP_034194023.1, XP_034178195.1, XP_034194607.1, XP_034194576.1, XP_034174772.1, XP_034171871.1, XP_034195291.1, XP_034194211.1
OG0000008	XP_001648300.1	XP_034185974.1
OG0000008	XP_001648297.2	XP_034185973.1
OG0000008	XP_001661923.2	XP_034181671.1
OG0000008	XP_021710654.1	XP_034185970.1
OG0000008	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1	XP_034185983.1
OG0000008	XP_001648302.1	XP_034185979.1, XP_034185978.1
OG0000008	XP_021710647.1	XP_034185982.1, XP_034185981.1, XP_034185980.1
OG0000009	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1	XP_034180231.1, XP_034180230.1, XP_034180232.1, XP_034195958.1, XP_034180228.1, XP_034180226.1, XP_034180498.1, XP_034180227.1
OG0000012	XP_001655419.1, XP_021709641.1	XP_034195538.1
OG0000012	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1	XP_034193627.1, XP_034193628.1, XP_034193625.1
OG0000013	XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1	XP_034195020.1
OG0000013	XP_021711153.1	XP_034174016.1
OG0000013	XP_021707704.1	XP_034171451.1, XP_034184139.1, XP_034171306.1, XP_034173427.1, XP_034171174.1
OG0000013	XP_001657554.1, XP_001655332.2	XP_034191426.1
OG0000014	XP_021712022.1, XP_021712028.1	XP_034173943.1, XP_034175387.1, XP_034171057.1, XP_034183943.1, XP_034173506.1, XP_034173507.1, XP_034173418.1
OG0000016	XP_021712581.1, XP_021694278.1, XP_021695205.1	XP_034192195.1, XP_034177371.1, XP_034174822.1, XP_034182100.1, XP_034194692.1, XP_034172342.1, XP_034177369.1
OG0000017	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1	XP_034170905.1
