Orthogroup	Osmia_lignaria	Solenopsis_invicta
OG0000000	XP_034179313.1	XP_011171895.1
OG0000000	XP_034192368.1	XP_011169834.2, XP_039302930.1
OG0000000	XP_034195203.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_034179509.1, XP_034192189.1	XP_025995820.2, XP_025996528.2, XP_039303369.1, XP_039303384.1, XP_039315197.1, XP_025995613.2, XP_039305162.1, XP_039304826.1, XP_039304354.1, XP_039303464.1, XP_039311280.1, XP_039304376.1, XP_011175283.1, XP_025997196.2, XP_039302109.1, XP_039311320.1, XP_011175794.1, XP_011165058.1, XP_039310735.1, XP_011172569.3, XP_039311166.1, XP_039315241.1, XP_039309085.1, XP_039303563.1, XP_039309247.1, XP_039307953.1, XP_039301763.1, XP_039315534.1, XP_039301764.1, XP_039310346.1, XP_039311317.1, XP_011174949.3, XP_025997375.2
OG0000000	XP_034194808.1	XP_039305199.1, XP_039309110.1, XP_039310358.1
OG0000000	XP_034194838.1, XP_034190401.1, XP_034194793.1, XP_034195178.1, XP_034195131.1	XP_039303367.1, XP_039302117.1, XP_039309653.1
OG0000000	XP_034195313.1, XP_034177367.1, XP_034195165.1, XP_034195149.1, XP_034195129.1, XP_034194954.1, XP_034195055.1, XP_034195057.1, XP_034194871.1, XP_034195227.1, XP_034182490.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195329.1, XP_034195156.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	XP_034175979.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_034183758.1, XP_034183757.1, XP_034177877.1	NP_001306576.1, XP_011159731.1
OG0000001	XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034178690.1, XP_034178111.1, XP_034194601.1, XP_034178688.1, XP_034178687.1, XP_034178689.1, XP_034178696.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_034187550.1	XP_011164185.1
OG0000001	XP_034182179.1	XP_011164532.2, XP_011164534.2
OG0000001	XP_034190826.1, XP_034190827.1	XP_011162032.2, XP_039315612.1
OG0000002	XP_034171936.1	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3
OG0000002	XP_034171929.1	XP_011175322.2, XP_011158991.3
OG0000002	XP_034171933.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	XP_034171931.1, XP_034170982.1	XP_011159024.2
OG0000002	XP_034171014.1, XP_034171015.1, XP_034171927.1	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	XP_034170983.1, XP_034170985.1, XP_034170984.1, XP_034171930.1, XP_034171932.1, XP_034171011.1, XP_034171928.1	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1
OG0000002	XP_034171012.1	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_034194163.1	XP_039306769.1
OG0000003	XP_034195049.1	XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2
OG0000003	XP_034195209.1, XP_034195334.1	XP_039304988.1, XP_039307927.1, XP_039315442.1
OG0000003	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1	XP_039310361.1, XP_039306742.1, XP_039303957.1, XP_039308185.1, XP_039315381.1, XP_039315265.1, XP_039315287.1, XP_039313009.1, XP_039312427.1, XP_039306748.1
OG0000003	XP_034194962.1	XP_039309943.1, XP_039306054.1, XP_039308728.1, XP_025995779.1, XP_039309113.1, XP_039303430.1
OG0000003	XP_034183870.1, XP_034174050.1	XP_039304384.1, XP_039309058.1, XP_039309227.1, XP_039309229.1, XP_039309228.1, XP_039309226.1, XP_039309225.1, XP_039309224.1, XP_039309223.1, XP_025997281.2, XP_039308822.1
OG0000004	XP_034175783.1	XP_039315091.1
OG0000004	XP_034195009.1	XP_039303478.1
OG0000006	XP_034178579.1	XP_025989821.2
OG0000006	XP_034178574.1	XP_039308764.1, XP_011163434.2
OG0000006	XP_034178514.1	XP_039309031.1, XP_039309020.1, XP_039308763.1
OG0000006	XP_034189642.1	XP_011171479.2, XP_039306260.1
OG0000007	XP_034192555.1, XP_034194792.1, XP_034195128.1	XP_039304377.1, XP_039310340.1, XP_039308911.1
