Orthogroup	Drosophila_melanogaster	Bombyx_mori
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1, NP_001296520.1, NP_001266295.1, XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000006	NP_995793.1	XP_012548737.1, NP_001166607.1
OG0000006	NP_524078.2, NP_524455.1, NP_524456.1	NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1
OG0000006	NP_523647.2, NP_523721.1	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000008	NP_572981.1	XP_012548163.2
OG0000008	NP_651466.1	XP_012548032.1
OG0000008	NP_572978.1, NP_572977.1	XP_037872354.1
OG0000008	NP_001285251.1	XP_012548168.1
OG0000008	NP_001285249.1	XP_021205470.2
OG0000008	NP_572987.1	XP_037872353.1, XP_012548164.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_021202508.2, NP_001108456.1
OG0000012	NP_611066.1	XP_037870917.1
OG0000012	NP_729270.1, NP_729271.1, NP_648134.1	XP_021205514.2
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1, NP_611479.2, NP_001027441.1, NP_001097340.1	XP_012543999.1, NP_001037317.1
OG0000012	NP_722915.1, NP_001285772.1	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2
OG0000013	NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_004933313.1
OG0000013	NP_001027343.1, NP_001027289.1, NP_001027285.1	NP_001040399.1
OG0000013	NP_001259374.1	NP_001091756.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	NP_001108466.1, XP_012546875.1, NP_001037420.1
OG0000017	NP_001138040.1	NP_001037183.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_037871931.1
OG0000018	NP_651678.1, NP_651679.2, NP_611571.2	XP_037875232.1
OG0000018	NP_001247286.1	XP_021205339.2, XP_037871705.1, NP_001243945.1, XP_037871800.1
OG0000019	NP_477331.1, NP_610138.4, NP_001286441.1, NP_650219.2, NP_001014548.1	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_004927318.1
OG0000020	NP_723103.1	XP_021206581.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_012545030.1
OG0000020	NP_723828.1	XP_037867737.1
OG0000020	NP_001137799.1, NP_723441.2, NP_001097508.2	XP_012552719.1, XP_021202222.1
OG0000020	NP_651649.1	XP_037874470.1, XP_037874469.1
OG0000020	NP_001259218.1	XP_037867242.1, XP_012549186.1
OG0000021	NP_648539.1	XP_004932475.1, XP_021207797.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_004926417.1
OG0000021	NP_611262.1, NP_651761.2	XP_037869061.1
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1	XP_037872402.1
OG0000026	NP_729591.1, NP_001287018.1	XP_037867257.1
OG0000026	NP_001014616.2, NP_650080.3	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	NP_001287332.1	XP_021204803.2
OG0000026	NP_001285239.1	XP_004929451.1, XP_012548588.1
OG0000027	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	NP_001153669.1
OG0000027	NP_001027337.1	XP_012551883.1
OG0000029	NP_647872.1	NP_001166687.1
OG0000029	NP_647875.1, NP_647873.2	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	NP_651652.2	XP_037875287.1, XP_004925987.1, XP_037875088.1, XP_037875087.1, XP_021203547.2, XP_037875086.1
OG0000032	NP_609175.2	XP_012545284.2, XP_021208619.1
OG0000032	NP_611166.2	XP_004931720.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	NP_001285694.1	XP_037873002.1, XP_037872937.1, XP_037873482.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4	NP_001243964.1, NP_001243980.1
OG0000036	NP_001287583.1, NP_001369024.1	XP_004925684.1
OG0000037	NP_001137869.1	NP_001166643.1
OG0000037	NP_648209.1	NP_001166642.1
OG0000037	NP_001262052.1	NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1
OG0000037	NP_001261293.1	NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1
OG0000037	NP_001097547.1	XP_012550693.1, NP_001166641.1
OG0000037	NP_649121.1	NP_001166637.1
OG0000038	NP_476772.1, NP_524264.1	NP_001036884.1
OG0000038	NP_524009.2	XP_021205243.1
OG0000038	NP_524297.1	NP_001036885.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_037871589.1, XP_037877007.1
OG0000041	NP_524367.1	NP_001119725.1
OG0000041	NP_523800.1, NP_001287314.1, NP_001262200.1	NP_001119724.1
OG0000041	NP_477037.2	NP_001119726.1, XP_037872546.1
OG0000042	NP_731781.1	XP_004925565.1
OG0000042	NP_001287604.1	NP_001296494.1, XP_021203267.2
OG0000042	NP_651966.2	NP_001296508.1, XP_037868172.1
OG0000042	NP_650201.1, NP_652731.1	NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	NP_001286870.1	NP_001037067.1, NP_001037068.1
OG0000043	NP_524121.2	NP_001091780.1, XP_021206019.2
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	NP_001036834.1
OG0000044	NP_732654.1, NP_732655.3	NP_001037013.1, XP_037868605.1, NP_001104835.1, NP_001254654.1, NP_001266323.1
OG0000044	NP_651674.3	XP_037868658.1
OG0000044	NP_611781.3, NP_001356886.1, NP_648488.1, NP_572643.1, NP_572644.1, NP_001350853.2, NP_001263064.1, NP_001263065.1	NP_001296554.1
OG0000045	NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	NP_001285139.1	NP_001036837.1, XP_012547740.1
OG0000046	NP_524339.1	XP_004923548.1
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1
OG0000046	NP_001262586.1	NP_001036892.1
OG0000047	NP_652056.2	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1, XP_037877229.1, XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1	XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1
OG0000050	NP_001287487.1	XP_004924525.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1
OG0000052	NP_725600.1	XP_012545009.1, NP_001182634.1
OG0000054	NP_610657.1, NP_610655.1, NP_649345.1, NP_610658.1	NP_001166720.1
OG0000054	NP_523854.1, NP_001286953.1	NP_001037001.1
OG0000054	NP_477272.1, NP_652662.1, NP_477273.1, NP_788468.1, NP_477274.1, NP_524814.2, NP_788469.1, NP_001097523.1, NP_001261467.1, NP_477279.1, NP_001261466.1, NP_477280.1	NP_001166705.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	NP_001036835.1, NP_001166743.1, NP_001166724.1, XP_037874910.1
OG0000055	NP_650904.3	XP_021207833.1
OG0000055	NP_001246914.1	XP_012548893.1, NP_001036959.1
OG0000056	NP_001369131.1	XP_037866675.1
OG0000056	NP_647937.2	XP_037872689.1
OG0000056	NP_995958.2	XP_037873641.1
OG0000057	NP_524290.2	XP_004923508.1, XP_012553252.3, NP_001036965.1
OG0000057	NP_725896.1	XP_012545698.1
OG0000057	NP_523842.2	NP_001036888.1
OG0000057	NP_729172.1	NP_001037492.1, NP_001093079.1
OG0000057	NP_001163753.1	XP_012548036.1, XP_004922155.1
OG0000060	NP_650848.1	XP_004925993.2
OG0000060	NP_001163168.1	XP_021206640.1, XP_004930776.1
OG0000061	NP_001097692.1	XP_012551685.2
OG0000062	NP_001261156.1	XP_021205992.1, NP_001091767.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000066	NP_610976.1	XP_012545514.1
OG0000067	NP_001284994.1	XP_004931451.1
OG0000067	NP_524243.2, NP_572330.2	NP_001037582.1
OG0000068	NP_001245670.1	XP_037869744.1
OG0000072	NP_663311.1	XP_037866767.1
OG0000073	NP_649186.1	NP_001296559.1
OG0000074	NP_536776.2	XP_037875797.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_037870080.1
OG0000077	NP_001015405.3	NP_001037478.1
OG0000080	NP_001262255.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	NP_001262254.1	XP_037874734.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_004927040.1, NP_001124343.1
OG0000084	NP_001097285.1	NP_001036869.1
OG0000084	NP_610774.3	NP_001166715.1, XP_021207423.1
OG0000084	NP_648031.1	NP_001166719.1
OG0000085	NP_651221.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_004922188.1
OG0000087	NP_001261716.1	XP_004925118.1
OG0000087	NP_648485.1	XP_004933642.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_004926772.1
OG0000088	NP_476589.4	XP_037876269.1, XP_037876266.1
