Orthogroup	Acyrthosiphon_pisum	Drosophila_melanogaster
OG0000001	XP_003243002.1	NP_611698.1, NP_609891.1, NP_650327.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000004	XP_029347358.1	NP_001262388.1
OG0000005	XP_008189659.2, XP_016658826.1, XP_003241284.1	NP_001260876.1
OG0000006	XP_016661819.1	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1, NP_523647.2, NP_523721.1
OG0000007	XP_016656399.1, XP_016658578.1, XP_016658583.1, XP_008183630.3, XP_029348031.1	NP_648146.1
OG0000008	XP_016663037.1	NP_572981.1
OG0000008	XP_029347046.1	NP_572985.1
OG0000008	XP_001942555.1, XP_008181935.1	NP_651466.1
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	NP_572978.1, NP_572977.1
OG0000008	XP_001945226.1	NP_001285251.1
OG0000008	XP_001948787.1, XP_008186873.1	NP_001285249.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	NP_572987.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	NP_001027338.1
OG0000013	XP_008188188.1, XP_008186887.1	NP_001259374.1
