GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0019899	enzyme binding	255	52	49.01	0.00045	0.00045	0.015975	0.0064125
GO:0005515	protein binding	1377	293	264.66	0.00071	4.8e-07	0.015975	2.1599999999999996e-5
GO:0016301	kinase activity	175	46	33.64	0.00252	0.00252	0.0313875	0.020925
GO:0008092	cytoskeletal protein binding	183	53	35.17	0.00279	0.00279	0.0313875	0.020925
GO:0016740	transferase activity	510	110	98.02	0.01182	7.9e-05	0.10638	0.0017775
GO:0043168	anion binding	497	105	95.52	0.02396	0.34705	0.1797	0.6246900000000001
GO:0003723	RNA binding	220	28	42.28	0.03731	0.03731	0.23985000000000004	0.18655000000000002
GO:0140110	transcription regulator activity	235	46	45.17	0.06824	0.03134	0.38384999999999997	0.17628749999999999
GO:0046872	metal ion binding	552	113	106.1	0.09364	0.07362	0.45525	0.276075
GO:0016772	transferase activity, transferring phosphorus-containing groups	204	48	39.21	0.11021	0.00057	0.45525	0.0064125
GO:0015318	inorganic molecular entity transmembrane transporter activity	161	39	30.94	0.11247	0.11247	0.45525	0.36426000000000003
GO:0140096	catalytic activity, acting on a protein	442	84	84.95	0.12140	0.12140	0.45525	0.36426000000000003
GO:0043565	sequence-specific DNA binding	170	36	32.67	0.16385	0.16385	0.5272714285714286	0.36909
GO:0015075	ion transmembrane transporter activity	181	42	34.79	0.16404	0.16404	0.5272714285714286	0.36909
GO:0036094	small molecule binding	445	88	85.53	0.20213	0.71914	0.5768156249999999	0.8746297297297297
GO:0003700	DNA-binding transcription factor activity	165	33	31.71	0.20509	0.20509	0.5768156249999999	0.4394785714285714
GO:0005524	ATP binding	304	65	58.43	0.34100	0.34100	0.8852749999999999	0.6246900000000001
GO:0022857	transmembrane transporter activity	237	54	45.55	0.35411	0.15965	0.8852749999999999	0.36909
GO:0043169	cation binding	559	116	107.44	0.40350	0.06387	0.92034	0.2612863636363636
GO:0003676	nucleic acid binding	533	88	102.44	0.40904	0.15584	0.92034	0.36909
GO:0032559	adenyl ribonucleotide binding	310	67	59.58	0.43543	0.32716	0.9330642857142857	0.6246900000000001
GO:0046914	transition metal ion binding	179	31	34.4	0.50948	0.50948	1	0.6947454545454546
GO:0032553	ribonucleotide binding	380	81	73.04	0.55085	0.45939	1	0.6890850000000001
GO:0098772	molecular function regulator	431	72	82.84	0.56636	0.15507	1	0.36909
GO:0005215	transporter activity	258	60	49.59	0.57490	0.12142	1	0.36426000000000003
GO:0097367	carbohydrate derivative binding	409	84	78.61	0.73513	0.60724	1	0.7717875000000001
GO:1901363	heterocyclic compound binding	923	167	177.4	0.78580	0.42503	1	0.6835810344827585
GO:0032555	purine ribonucleotide binding	376	81	72.27	0.78788	0.44053	1	0.6835810344827585
GO:0035639	purine ribonucleoside triphosphate binding	370	79	71.11	0.78938	0.50799	1	0.6947454545454546
GO:0003677	DNA binding	303	55	58.24	0.82774	0.49220	1	0.6947454545454546
GO:0000166	nucleotide binding	415	84	79.76	0.83104	0.61743	1	0.7717875000000001
GO:0097159	organic cyclic compound binding	929	169	178.56	0.87579	0.38438	1	0.6652730769230769
GO:0017111	nucleoside-triphosphatase activity	170	32	32.67	0.90954	0.90954	1	0.9773142857142857
GO:0016788	hydrolase activity, acting on ester bonds	170	28	32.67	0.91216	0.91216	1	0.9773142857142857
GO:0005488	binding	2124	422	408.24	0.93225	0.00343	1	0.02205
GO:0016462	pyrophosphatase activity	174	32	33.44	0.94132	0.89903	1	0.9773142857142857
GO:0003824	catalytic activity	1209	221	232.37	0.96312	0.97907	1	1
GO:0016787	hydrolase activity	528	90	101.48	0.98425	0.97435	1	1
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	175	32	33.64	0.99680	0.90500	1	0.9773142857142857
GO:1901265	nucleoside phosphate binding	415	84	79.76	1.00000	0.61743	1	0.7717875000000001
GO:0003674	molecular_function	2898	557	557	1.00000	1.00000	1	1
GO:0030554	adenyl nucleotide binding	310	67	59.58	1.00000	0.32716	1	0.6246900000000001
GO:0017076	purine nucleotide binding	376	81	72.27	1.00000	0.44053	1	0.6835810344827585
GO:0016817	hydrolase activity, acting on acid anhydrides	175	32	33.64	1.00000	0.90500	1	0.9773142857142857
GO:0043167	ion binding	944	199	181.44	1.00000	0.05715	1	0.257175
