Orthogroup	Bombus_terrestris	Ceratina_calcarata
OG0000000	XP_012175323.1, XP_012175227.1, XP_012171987.1, XP_012174870.1, XP_012173834.1, XP_012174868.1	XP_017882355.1
OG0000000	XP_012174517.1, XP_020723248.1	XP_017884602.1
OG0000000	XP_020723247.1, XP_012174900.1, XP_012174218.1, XP_012174527.1, XP_012167635.1, XP_012174539.1	XP_017881790.1, XP_017875371.1
OG0000001	XP_012170860.1, XP_003400131.1	XP_017891081.1
OG0000001	XP_012170855.1	XP_017888667.1, XP_026673601.1
OG0000001	XP_003400119.1	XP_017888037.1
OG0000001	XP_012170859.1, XP_020721796.1, XP_020721795.1, XP_012170857.1	XP_026674593.1, XP_017891764.1, XP_017891756.1
OG0000002	XP_012171355.1	XP_026667095.1, XP_017875389.1
OG0000002	XP_012174272.1	XP_017891277.1
OG0000003	XP_012174534.1	XP_026674121.1
OG0000004	XP_012170046.1	XP_026668068.1
OG0000004	XP_012169979.1	XP_026671159.1
OG0000004	XP_020721563.1	XP_026671157.1, XP_026671137.1, XP_026671130.1
OG0000004	XP_003399526.1, XP_012169978.1	XP_026671131.1, XP_017883644.1
OG0000004	XP_020721562.1, XP_003402807.2	XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_017883640.2, XP_017883641.2, XP_026671143.1, XP_026671129.1, XP_026671149.1
OG0000004	XP_020723854.1, XP_020721662.1	XP_026671151.1, XP_017883621.2, XP_017883632.2, XP_026671133.1
OG0000005	XP_012169050.1, XP_012169049.1	XP_026673555.1, XP_026673556.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_026673541.1
OG0000005	XP_020721192.1, XP_012169499.2	XP_026675078.1
OG0000005	XP_020721191.1, XP_012175294.2, XP_020721239.1, XP_012169504.1, XP_020721190.1, XP_020721189.1, XP_012169044.2	XP_017889271.2
OG0000006	XP_003400772.1, XP_003400771.1	XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_026671801.1, XP_026671800.1, XP_017884545.1, XP_017884546.1
OG0000006	XP_003392969.1	XP_017875197.1, XP_017888231.1
OG0000006	XP_003392965.1	XP_017887567.1
OG0000007	XP_012167402.1, XP_020720438.1	XP_026669980.1, XP_026669747.1, XP_026667260.1, XP_026669995.1
OG0000008	XP_003396990.1	XP_017892322.1, XP_026675486.1, XP_017892323.1
OG0000008	XP_003399722.1	XP_017893662.1
OG0000008	XP_003394490.1	XP_017880123.1
OG0000009	XP_012176279.1	XP_026671941.1
OG0000009	XP_012171450.1, XP_012171449.1, XP_012171451.1, XP_012171455.1, XP_012171452.1, XP_012171447.1, XP_012171454.1, XP_003400542.1	XP_026671929.1, XP_017885114.1, XP_026671923.1, XP_026671924.1, XP_026671925.1, XP_026671926.1, XP_017885111.1, XP_017885112.1, XP_017885115.1, XP_026671928.1, XP_026671927.1, XP_017885113.1
