GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0003735	structural constituent of ribosome	157	110	76.64	3.2e-11	3.2e-11	4.064e-9	4.064e-9
GO:0003723	RNA binding	599	343	292.42	0.00016	1.5e-05	0.01016	4.7625e-4
GO:0004386	helicase activity	105	66	51.26	0.00118	0.00118	0.049953333333333336	0.02140857142857143
GO:0003729	mRNA binding	178	100	86.89	0.00333	0.00333	0.1057275	0.04699
GO:0003677	DNA binding	729	384	355.88	0.00716	0.01223	0.16404166666666667	0.12943416666666666
GO:0042803	protein homodimerization activity	115	70	56.14	0.00775	0.00775	0.16404166666666667	0.08947727272727272
GO:1990837	sequence-specific double-stranded DNA binding	335	171	163.54	0.01303	0.20065	0.23640142857142857	0.6370637499999999
GO:0140097	catalytic activity, acting on DNA	122	67	59.56	0.02215	0.02215	0.333121	0.20093214285714284
GO:0016829	lyase activity	119	63	58.09	0.02426	0.02426	0.333121	0.20540133333333335
GO:0060090	molecular adaptor activity	112	61	54.68	0.02623	0.02623	0.333121	0.20603882352941177
GO:0019899	enzyme binding	468	234	228.46	0.03777	0.32147	0.4016022222222222	0.7560498148148147
GO:0016788	hydrolase activity, acting on ester bonds	368	193	179.65	0.03797	0.05052	0.4016022222222222	0.320802
GO:0004518	nuclease activity	112	61	54.68	0.04120	0.04120	0.4016022222222222	0.2753894736842105
GO:0097159	organic cyclic compound binding	2248	1159	1097.41	0.04505	0.00104	0.4016022222222222	0.02140857142857143
GO:0008289	lipid binding	162	83	79.08	0.04984	0.35845	0.4016022222222222	0.7848818965517241
GO:0008092	cytoskeletal protein binding	310	166	151.33	0.05137	0.12242	0.4016022222222222	0.47425428571428574
GO:0016741	transferase activity, transferring one-carbon groups	122	56	59.56	0.05441	0.93440	0.4016022222222222	1
GO:0016887	ATPase activity	279	163	136.2	0.05692	0.00087	0.4016022222222222	0.02140857142857143
GO:1901363	heterocyclic compound binding	2234	1150	1090.58	0.07464	0.00162	0.4989094736842105	0.025717499999999997
GO:0036094	small molecule binding	996	493	486.22	0.07881	0.35626	0.5004435	0.7848818965517241
GO:0005515	protein binding	2769	1394	1351.75	0.08687	0.02758	0.5253566666666667	0.20603882352941177
GO:0005524	ATP binding	650	329	317.31	0.09143	0.09143	0.5278004545454545	0.44660038461538465
GO:0008017	microtubule binding	107	55	52.23	0.09621	0.09621	0.5312465217391305	0.4525433333333333
GO:0005261	cation channel activity	108	62	52.72	0.11904	0.11904	0.62992	0.47425428571428574
GO:0015077	monovalent inorganic cation transmembrane transporter activity	143	75	69.81	0.12821	0.12821	0.6366119230769232	0.47425428571428574
GO:0019900	kinase binding	106	61	51.75	0.13033	0.13033	0.6366119230769232	0.47425428571428574
GO:0003700	DNA-binding transcription factor activity	368	184	179.65	0.14082	0.44985	0.6623755555555555	0.8823764615384615
GO:0016874	ligase activity	129	72	62.97	0.14767	0.14767	0.6697889285714286	0.5209469444444444
GO:0015318	inorganic molecular entity transmembrane transporter activity	303	161	147.92	0.17613	0.09088	0.761111	0.44660038461538465
GO:0019787	ubiquitin-like protein transferase activity	173	87	84.45	0.17979	0.16428	0.761111	0.549041052631579
GO:0140098	catalytic activity, acting on RNA	251	132	122.53	0.21152	0.21152	0.8665496774193548	0.6395961904761905
GO:0061630	ubiquitin protein ligase activity	123	59	60.05	0.21929	0.21929	0.8703071875	0.6476704651162791
GO:0003682	chromatin binding	184	96	89.82	0.25027	0.25027	0.9628841176470588	0.6909628260869565
GO:0016491	oxidoreductase activity	414	202	202.1	0.25778	0.25778	0.9628841176470588	0.6924091836734694
GO:0042802	identical protein binding	173	103	84.45	0.26653	0.00438	0.9671231428571428	0.055626
GO:0038023	signaling receptor activity	234	111	114.23	0.28727	0.89961	0.9953367567567568	1
GO:0008233	peptidase activity	262	123	127.9	0.28998	0.85355	0.9953367567567568	1
GO:0031267	small GTPase binding	166	75	81.04	0.32125	0.77615	1	1
GO:0017076	purine nucleotide binding	820	409	400.3	0.33330	0.54076	1	0.9280610810810811
GO:0001882	nucleoside binding	163	75	79.57	0.33539	0.99857	1	1
GO:0000166	nucleotide binding	917	448	447.65	0.33778	0.56946	1	0.9515976315789473
