ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029	0	2,0,0,2	1,0,0,0	1,1,0,0	0,0,0,0	198	99	1	1.0	0.5,NA,NA,1.0	1.0,1.0,NA,NA	-0.25
1	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058	1	5,1,0,1	1,0,0,0	4,2,1,1	0,0,0,0	198	99	1	1.0	0.714,1.0,NA,1.0	1.0,1.0,1.0,1.0	-0.095
2	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819	2	7,5,8,5	1,0,2,0	11,1,6,3	2,0,1,0	178	99	1	1.0	0.796,1.0,0.69,1.0	0.754,1.0,0.769,1.0	-0.009
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633	3	170,131,129,84	1,0,1,0	169,71,94,84	1,0,0,0	198	99	1	1.0	0.988,1.0,0.985,1.0	0.988,1.0,1.0,1.0	-0.004
4	"LOC114880048"	NA	chrOU015519.1	+	8004613	8004866	8004008	8004352	8004933	8005168	4	40,19,28,12	0,1,1,0	36,21,26,38	0,0,0,0	198	99	1	1.0	1.0,0.905,0.933,1.0	1.0,1.0,1.0,1.0	-0.04
5	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373	5	1,0,1,0	2,2,3,5	2,0,0,0	1,0,2,6	198	99	1	1.0	0.2,0.0,0.143,0.0	0.5,NA,0.0,0.0	-0.081
6	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930	6	78,47,39,36	0,0,0,0	86,40,33,45	0,0,1,0	198	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.943,1.0	0.014
7	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376	7	18,13,18,14	0,0,0,0	17,11,8,11	0,0,1,0	112	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.876,1.0	0.031
8	"LOC114872168"	NA	chrOU015519.1	-	7939815	7939906	7939526	7939747	7939967	7940089	8	75,34,48,30	1,0,0,0	48,25,21,33	0,0,0,0	190	99	1	1.0	0.975,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
9	"LOC114872196"	NA	chrOU015519.1	+	7843722	7843859	7843011	7843082	7843955	7844072	9	57,22,27,14	0,0,0,0	37,19,21,25	0,1,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.905,1.0,1.0	0.024
10	"LOC114872242"	NA	chrOU015519.1	+	7599952	7600119	7599745	7599883	7600186	7600421	10	1302,786,739,615	0,0,0,0	1160,755,813,885	0,0,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.998	0.0
11	"LOC114872237"	NA	chrOU015519.1	+	7503482	7503663	7490171	7490281	7515081	7515197	11	2,0,0,1	0,0,0,0	0,3,1,0	1,0,0,0	198	99	1	1.0	1.0,NA,NA,1.0	0.0,1.0,1.0,NA	0.333
13	"LOC114872247"	NA	chrOU015519.1	+	7106945	7107100	7099666	7100077	7107249	7107437	13	121,62,69,54	1,0,0,0	100,79,75,93	0,0,0,0	198	99	1	1.0	0.984,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.004
14	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114	14	129,64,67,66	0,0,0,0	157,96,95,68	1,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0	0.987,1.0,1.0,1.0	0.003
15	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389	15	2,2,0,1	0,1,0,0	2,0,0,1	0,0,0,0	195	99	1	1.0	1.0,0.504,NA,1.0	1.0,NA,NA,1.0	-0.165
16	"LOC114879964"	NA	chrOU015519.1	+	6694999	6695217	6693843	6694097	6695298	6695388	16	167,82,95,64	1,0,0,0	189,74,72,100	0,0,0,0	198	99	1	1.0	0.988,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.003
17	"LOC114879963"	NA	chrOU015519.1	-	6692713	6692836	6692477	6692641	6692929	6693097	17	213,101,87,62	0,0,1,0	145,76,80,105	0,0,0,0	198	99	1	1.0	1.0,1.0,0.978,1.0	1.0,1.0,1.0,1.0	-0.006
19	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6535912	6536007	19	13,6,8,7	2,0,0,0	16,7,13,11	1,4,0,0	198	99	0.283894032401	1.0	0.765,1.0,1.0,1.0	0.889,0.467,1.0,1.0	0.102
20	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6536013	6536218	20	15,8,9,8	43,32,30,24	18,7,14,12	52,43,40,37	198	99	0.940574653673	1.0	0.149,0.111,0.13,0.143	0.148,0.075,0.149,0.14	0.005
21	"LOC114879144"	NA	chrOU015519.1	-	6535324	6535572	6535081	6535190	6535912	6536007	21	2,0,2,7	1,0,0,0	4,2,5,3	0,0,0,0	198	99	1	1.0	0.5,NA,1.0,1.0	1.0,1.0,1.0,1.0	-0.167
22	"LOC114879144"	NA	chrOU015519.1	-	6535324	6535572	6535081	6535190	6536013	6536218	22	3,0,0,4	3,2,1,1	2,1,4,2	2,0,1,1	198	99	0.0836195619178	0.8825470376851511	0.333,0.0,0.0,0.667	0.333,1.0,0.667,0.5	-0.375
23	"LOC114879140"	NA	chrOU015519.1	+	6575446	6575494	6557527	6562098	6581212	6581562	23	4,0,0,1	0,0,0,0	5,1,4,2	2,1,2,0	147	99	1	1.0	1.0,NA,NA,1.0	0.627,0.402,0.574,1.0	0.349
24	"LOC114879140"	NA	chrOU015519.1	+	6582509	6582536	6581212	6581562	6582692	6582864	24	16,8,7,3	1,0,0,0	10,6,7,6	5,0,2,1	126	99	0.000209141899316	0.03003914193001765	0.926,1.0,1.0,1.0	0.611,1.0,0.733,0.825	0.189
25	"LOC114879140"	NA	chrOU015519.1	+	6594444	6594582	6593426	6593586	6595095	6595267	25	4,4,2,1	10,7,2,1	6,4,5,4	12,1,4,6	198	99	0.252748751413	1.0	0.167,0.222,0.333,0.333	0.2,0.667,0.385,0.25	-0.112
26	"LOC114879140"	NA	chrOU015519.1	+	6594456	6594582	6593426	6593586	6595095	6595267	26	11,7,3,1	10,7,2,1	6,6,10,6	12,1,4,6	198	99	0.686454712546	1.0	0.355,0.333,0.429,0.333	0.2,0.75,0.556,0.333	-0.097
27	"LOC114879140"	NA	chrOU015519.1	+	6595445	6595589	6595095	6595267	6596900	6597046	27	2,2,1,1	8,7,5,4	3,3,2,2	10,6,8,14	198	99	0.802786357731	1.0	0.111,0.125,0.091,0.111	0.13,0.2,0.111,0.067	-0.018
28	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6595095	6595267	6599860	6600086	28	8,8,6,4	0,0,0,0	12,6,8,17	0,0,1,0	198	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.8,1.0	0.05
29	"LOC114879140"	NA	chrOU015519.1	+	6597808	6597862	6596900	6597046	6598032	6598101	29	1,1,2,0	1,2,2,1	2,0,5,2	2,0,0,0	153	99	1	1.0	0.393,0.244,0.393,0.0	0.393,NA,1.0,1.0	-0.54
30	"LOC114879140"	NA	chrOU015519.1	+	6597808	6597862	6596900	6597046	6598053	6598101	30	2,1,0,1	0,1,0,0	2,0,4,0	0,0,0,0	153	99	1	1.0	1.0,0.393,NA,1.0	1.0,NA,1.0,NA	-0.202
31	"LOC114879140"	NA	chrOU015519.1	+	6598032	6598101	6596900	6597046	6598590	6598680	31	4,5,2,1	9,8,4,3	6,1,4,1	16,3,3,8	168	99	0.907563669642	1.0	0.208,0.269,0.228,0.164	0.181,0.164,0.44,0.069	0.004
32	"LOC114879140"	NA	chrOU015519.1	+	6598053	6598101	6596900	6597046	6598590	6598680	32	2,3,0,0	9,8,4,3	2,1,3,0	16,3,3,8	147	99	0.744726342942	1.0	0.13,0.202,0.0,0.0	0.078,0.183,0.402,0.0	-0.083
33	"LOC114879140"	NA	chrOU015519.1	+	6598590	6598680	6596900	6597046	6599860	6600086	33	13,9,6,4	0,1,1,0	16,3,5,10	2,0,0,3	189	99	0.124565539204	1.0	1.0,0.825,0.759,1.0	0.807,1.0,1.0,0.636	0.035
34	"LOC114879140"	NA	chrOU015519.1	+	6599217	6599280	6598590	6598680	6599860	6600086	34	10,4,3,5	5,2,3,2	20,9,14,8	2,1,3,3	162	99	0.0227427326342	0.40658983963003537	0.55,0.55,0.379,0.604	0.859,0.846,0.74,0.62	-0.246
35	"LOC114879140"	NA	chrOU015519.1	+	6603539	6603592	6601109	6601209	6606799	6606906	35	1,0,0,0	10,4,6,3	1,0,1,0	12,7,6,11	152	99	1	1.0	0.061,0.0,0.0,0.0	0.051,0.0,0.098,0.0	-0.022
36	"LOC114879140"	NA	chrOU015519.1	+	6603539	6603592	6601109	6601209	6607552	6607778	36	2,0,0,0	2,1,0,0	0,1,1,0	3,3,2,2	152	99	1	1.0	0.394,0.0,NA,NA	0.0,0.178,0.246,0.0	0.091
