Orthogroup	Megachile_rotundata	Polistes_dominula
OG0000000	XP_012152116.1, XP_012152117.1, XP_012147726.1, XP_012153195.1, XP_012152411.1	XP_015189866.1, XP_015189951.1
OG0000000	XP_012152959.1	XP_015191278.1, XP_015180767.1
OG0000000	XP_012153198.1	XP_015189737.1
OG0000000	XP_012152724.1	XP_015189697.1, XP_015189651.1, XP_015189739.1
OG0000000	XP_012136801.1, XP_012152727.1, XP_012136208.1	XP_015189415.1, XP_015189501.1, XP_015189791.1
OG0000000	XP_012153566.1	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1
OG0000000	XP_012134488.1	XP_015189872.1, XP_015189734.1, XP_015190534.1, XP_015189881.1
OG0000001	XP_012153916.1, XP_012153915.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1	XP_015190970.1
OG0000001	XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1	XP_015183493.1
OG0000001	XP_003703200.1	XP_015174482.1
OG0000001	XP_003699913.1	XP_015174918.1
OG0000002	XP_003700910.2	XP_015179319.1, XP_015179317.1
OG0000002	XP_003700909.2	XP_015179442.1
OG0000002	XP_003700936.1, XP_003700935.1	XP_015179331.1
OG0000002	XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1	XP_015179329.1, XP_015179330.1, XP_015179496.1
OG0000002	XP_003700932.1, XP_003700933.2	XP_015179323.1
OG0000002	XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2	XP_015179320.1, XP_015179321.1
OG0000002	XP_012135237.1, XP_012135097.1, XP_012135098.1	XP_015179497.1
OG0000003	XP_012152452.1	XP_015189778.1
OG0000003	XP_012146049.1, XP_012143887.1, XP_012145355.1, XP_012150982.1	XP_015187531.1
OG0000004	XP_012149743.1	XP_015171020.1
OG0000004	XP_012151871.1	XP_015189742.1
OG0000004	XP_012148632.1	XP_015189652.1
OG0000004	XP_012152409.1	XP_015189661.1
OG0000004	XP_012153684.1	XP_015189180.1
OG0000004	XP_012145948.1	XP_015189178.1
OG0000004	XP_012152733.1, XP_003708235.1	XP_015177516.1
OG0000004	XP_012142569.1, XP_012151017.1	XP_015189681.1, XP_015175257.1
OG0000004	XP_012152967.1	XP_015175256.1
OG0000004	XP_012151870.1, XP_012146535.1	XP_015171070.1
OG0000004	XP_012151143.1, XP_012138587.1, XP_012143764.1, XP_012153187.1	XP_015189976.1
OG0000004	XP_003706754.1	XP_015189732.1
OG0000004	XP_012145432.1	XP_015189729.1, XP_015189948.1, XP_015189979.1
OG0000004	XP_012138586.1, XP_003702422.1	XP_015189887.1
OG0000004	XP_003701631.1	XP_015189689.1
OG0000004	XP_012152390.1, XP_012146360.1	XP_015185818.1
OG0000005	XP_012146667.1	XP_015186874.1
OG0000006	XP_012143123.1	XP_015180561.1
OG0000006	XP_003707057.2, XP_012149242.1	XP_015184251.1
OG0000008	XP_003705710.1	XP_015180320.1
OG0000008	XP_012141335.1	XP_015182812.1
OG0000008	XP_003705711.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_003705712.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_003705707.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_012145773.1, XP_012145771.1, XP_012145774.1	XP_015177367.1
OG0000009	XP_003705489.1, XP_003705491.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000012	XP_003705464.1	XP_015181488.1
OG0000012	XP_003705466.1	XP_015181463.1
OG0000012	XP_003705999.2	XP_015184231.1
OG0000012	XP_012146828.1	XP_015181630.1
OG0000012	XP_012146827.1	XP_015184244.1
OG0000013	XP_003707914.1	XP_015172623.1
OG0000013	XP_003708097.1	XP_015172184.1, XP_015172183.1, XP_015172185.1
OG0000014	XP_003703733.1, XP_012153581.1, XP_012141730.1, XP_003707917.1	XP_015177523.1
OG0000015	XP_012145739.1, XP_012152739.1, XP_012152726.1	XP_015171967.1, XP_015175981.1, XP_015189929.1, XP_015189382.1, XP_015189381.1
OG0000016	XP_012147724.1, XP_012151016.1	XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1
OG0000017	XP_012136742.1	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1
OG0000017	XP_012145418.1	XP_015180943.1, XP_015180944.1
OG0000017	XP_003705347.1, XP_012153570.1	XP_015180945.1
OG0000018	XP_003699290.1	XP_015186827.1
OG0000018	XP_012135493.1	XP_015186828.1
OG0000018	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	XP_015175602.1
OG0000019	XP_012138718.1	XP_015184618.1, XP_015184619.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_012144180.1	XP_015172633.1
OG0000020	XP_012136049.1	XP_015183576.1
OG0000020	XP_003701701.2	XP_015171445.1
OG0000020	XP_012137465.1	XP_015181633.1
OG0000021	XP_012152676.1, XP_003708291.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	XP_012145971.1, XP_012145969.1	XP_015184436.1
OG0000021	XP_012138701.1	XP_015190080.1
OG0000021	XP_012135825.1	XP_015188837.1
OG0000021	XP_012152675.1, XP_003708289.1	XP_015183774.1, XP_015183791.1, XP_015183783.1
OG0000022	XP_012137783.1	XP_015174052.1
OG0000022	XP_003706155.1	XP_015173497.1
OG0000024	XP_003705303.1	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_003705639.2	XP_015182123.1
OG0000024	XP_003699641.1, XP_012142103.1	XP_015181825.1
OG0000024	XP_003700292.1	XP_015181175.1, XP_015181294.1, XP_015189755.1
OG0000024	XP_003699642.1	XP_015181824.1
OG0000025	XP_012148649.1	XP_015189848.1
OG0000025	XP_012152028.1, XP_003708364.1	XP_015189686.1
OG0000025	XP_012152731.1	XP_015189801.1, XP_015189769.1, XP_015189308.1, XP_015176372.1, XP_015189823.1, XP_015184625.1
OG0000026	XP_003699994.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_012144087.1	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000026	XP_012137100.1	XP_015174903.1
OG0000026	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1	XP_015187302.1
OG0000027	XP_012151723.1	XP_015172634.1
OG0000028	XP_012146123.1	XP_015180764.1, XP_015189418.1, XP_015189902.1
OG0000029	XP_012154358.1	XP_015185507.1
OG0000029	XP_003704721.1	XP_015172137.1
OG0000030	XP_012151824.1	XP_015180792.1, XP_015180789.1, XP_015172637.1
OG0000030	XP_012136054.1	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1
OG0000032	XP_003700812.2	XP_015190440.1
OG0000032	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1	XP_015190537.1
OG0000032	XP_012148506.1	XP_015182537.1, XP_015182533.1
OG0000034	XP_012152458.1, XP_012152457.1, XP_012143815.1, XP_012138783.1, XP_012144879.1, XP_012145209.1, XP_012138607.1, XP_012138602.1, XP_012144545.1, XP_012144983.1, XP_012138996.1, XP_012135624.1, XP_012144703.1, XP_012152700.1, XP_012138758.1, XP_012138767.1, XP_012143908.1, XP_012138745.1, XP_012138734.1, XP_012143137.1, XP_003704403.2, XP_012143138.1, XP_012143140.1, XP_012143135.1, XP_012138695.1, XP_012138708.1, XP_012138654.1, XP_012143136.1	XP_015185288.1
OG0000035	XP_003699462.1	XP_015172482.1
OG0000036	XP_003708655.1, XP_012134943.1, XP_003700661.1	XP_015175890.1
OG0000036	XP_003708656.1	XP_015174768.1
OG0000037	XP_012141146.1	XP_015184679.1
