HOG	OG	Gene Tree Parent Clade	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
N2.HOG0000000	OG0000000	n5											XP_034194539.1, XP_034192193.1
N2.HOG0000001	OG0000000	n9				XP_015434271.1, XP_015430410.1, XP_015431885.1							
N2.HOG0000002	OG0000000	n13							XP_012147245.1			XP_029054911.1	
N2.HOG0000003	OG0000000	n16							XP_012142409.1, XP_012140925.1				
N2.HOG0000004	OG0000000	n20							XP_012142570.1, XP_012148727.1, XP_012152158.1, XP_012151897.1, XP_012151833.1			XP_029036971.1, XP_029053759.1, XP_029055156.1, XP_029054660.1	XP_034189857.1, XP_034194584.1
N2.HOG0000005	OG0000000	n31			XP_017875389.1				XP_012151889.1, XP_012150985.1			XP_029054922.1, XP_029055229.1, XP_029055241.1, XP_029055047.1	XP_034194881.1, XP_034194633.1
N2.HOG0000006	OG0000000	n40							XP_012139970.1, XP_012151027.1, XP_012146357.1, XP_012150520.1			XP_029054427.1, XP_029054036.1, XP_029054618.1, XP_029055048.1, XP_029053461.1, XP_029054741.1, XP_029054697.1, XP_029052591.1, XP_029053451.1	XP_034195194.1, XP_034195189.1, XP_034194884.1, XP_034195199.1, XP_034194801.1, XP_034177368.1, XP_034195200.1, XP_034183909.1
N2.HOG0000007	OG0000000	n63			XP_026667095.1				XP_012152029.1, XP_012150437.1, XP_012146064.1, XP_012145934.1	XP_033328756.1, XP_033333817.1, XP_033333818.1	XP_031836533.1	XP_029055253.1, XP_029054831.1, XP_029053867.1, XP_029055265.1, XP_029052800.1, XP_029040939.1, XP_029054775.1	XP_034192544.1, XP_034194984.1
N2.HOG0000008	OG0000000	n80							XP_012139070.1, XP_012139081.1	XP_033328275.1, XP_033324206.1, XP_033334442.1, XP_033330929.1, XP_033322608.1, XP_033322845.1, XP_033322222.1, XP_033325491.1, XP_033325561.1, XP_033325557.1, XP_033324606.1, XP_033327894.1		XP_029054264.1	XP_034195050.1, XP_034194985.1
N2.HOG0000009	OG0000000	n97				XP_015429000.1, XP_015429399.1, XP_015431915.1, XP_015431457.1, XP_015439681.1, XP_015429211.1				XP_033330633.1, XP_033333584.1, XP_033337381.1, XP_033340639.1, XP_033322035.1, XP_033341707.1, XP_033321306.1, XP_033333928.1	XP_031844871.1, XP_031842437.1, XP_031844082.1, XP_031834591.1, XP_031843598.1, XP_031840848.1, XP_031825293.1, XP_031848748.1, XP_031834032.1		XP_034195320.1, XP_034194200.1
N2.HOG0000010	OG0000000	n122							XP_012139414.1, XP_012143327.1				
N2.HOG0000011	OG0000000	n124							XP_012134947.1			XP_029038971.1	XP_034186984.1
N2.HOG0000012	OG0000000	n127			XP_017891277.1	XP_015437433.1							
N2.HOG0000013	OG0000000	n131			XP_017891019.1								
N2.HOG0000014	OG0000001	n0			XP_017876390.1	XP_015429655.1, XP_015429654.1, XP_015433443.1						XP_029054586.1, XP_029055210.1, XP_029054974.1, XP_029055239.1, XP_029055174.1, XP_029055068.1, XP_029053911.1, XP_029053649.1, XP_029054220.1, XP_029054596.1, XP_029054883.1, XP_029053906.1, XP_029054306.1, XP_029055035.1, XP_029053951.1, XP_029054339.1, XP_029054627.1, XP_029054117.1, XP_029055002.1, XP_029054615.1, XP_029055179.1, XP_029054703.1, XP_029054286.1, XP_029055095.1, XP_029055274.1, XP_029053795.1, XP_029054766.1, XP_029055189.1, XP_029055042.1, XP_029053753.1, XP_029054136.1, XP_029055190.1, XP_029053648.1, XP_029054217.1, XP_029053858.1, XP_029055264.1, XP_029053896.1, XP_029055269.1, XP_029054070.1, XP_029054878.1, XP_029054830.1, XP_029055161.1, XP_029054753.1, XP_029054151.1, XP_029053848.1, XP_029054393.1, XP_029055227.1, XP_029053849.1, XP_029054724.1, XP_029054639.1, XP_029054018.1, XP_029054579.1, XP_029054842.1, XP_029053859.1, XP_029053994.1, XP_029053647.1, XP_029054940.1, XP_029054281.1, XP_029054069.1, XP_029053907.1, XP_029054869.1, XP_029054300.1, XP_029054877.1, XP_029055013.1, XP_029053995.1, XP_029053856.1, XP_029054232.1, XP_029054681.1, XP_029054723.1, XP_029055187.1, XP_029054841.1, XP_029055104.1, XP_029055030.1, XP_029053908.1, XP_029055199.1, XP_029054019.1, XP_029053902.1, XP_029053868.1, XP_029054373.1, XP_029054163.1, XP_029054227.1, XP_029054072.1, XP_029053847.1, XP_029054111.1, XP_029053912.1, XP_029053869.1, XP_029053854.1, XP_029054231.1, XP_029054245.1, XP_029054162.1, XP_029054187.1, XP_029053903.1, XP_029054106.1, XP_029055134.1, XP_029054066.1, XP_029054301.1, XP_029054710.1, XP_029054880.1, XP_029054578.1, XP_029054929.1, XP_029054480.1, XP_029054289.1, XP_029054201.1, XP_029054946.1, XP_029053731.1	XP_034195363.1
