Orthogroup	Eufriesea_mexicana	Osmia_lignaria
OG0000000	XP_017763965.1, XP_017765119.1	XP_034194634.1
OG0000001	XP_017757759.1, XP_017757755.1, XP_017757765.1, XP_017757760.1	XP_034194619.1, XP_034194603.1, XP_034194594.1
OG0000001	XP_017757738.1, XP_017757780.1	XP_034178689.1, XP_034178688.1, XP_034178687.1, XP_034178696.1
OG0000001	XP_017757781.1	XP_034178244.1, XP_034178676.1, XP_034178694.1, XP_034178691.1, XP_034178692.1, XP_034178693.1, XP_034178695.1
OG0000001	XP_017757758.1, XP_017757757.1	XP_034194583.1, XP_034194581.1, XP_034194582.1
OG0000001	XP_017757799.1, XP_017757796.1, XP_017757795.1, XP_017757798.1, XP_017757797.1	XP_034178690.1
OG0000001	XP_017757764.1	XP_034178111.1
OG0000002	XP_017757739.1	XP_034192193.1, XP_034194539.1, XP_034194881.1, XP_034189857.1, XP_034194584.1, XP_034194801.1, XP_034195199.1, XP_034194884.1, XP_034177368.1, XP_034183909.1, XP_034195200.1, XP_034195189.1, XP_034192544.1, XP_034194984.1, XP_034195050.1, XP_034194985.1
OG0000002	XP_017759155.1	XP_034186984.1
OG0000004	XP_017753407.1	XP_034183283.1
OG0000004	XP_017753408.1, XP_017753432.1, XP_017753409.1, XP_017753433.1, XP_017753435.1	XP_034183284.1, XP_034183285.1, XP_034183048.1
OG0000005	XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1, XP_017754773.1	XP_034175224.1, XP_034175225.1, XP_034176024.1
OG0000006	XP_017760616.1	XP_034191426.1, XP_034191425.1
OG0000006	XP_017754146.1	XP_034171306.1, XP_034174016.1
OG0000006	XP_017764546.1	XP_034173944.1
OG0000006	XP_017760618.1	XP_034173511.1
OG0000007	XP_017758952.1, XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760963.1, XP_017760962.1, XP_017760967.1, XP_017760966.1	XP_034196442.1
OG0000008	XP_017765153.1, XP_017765151.1	XP_034174481.1, XP_034174489.1
OG0000008	XP_017754630.1	XP_034186914.1
OG0000008	XP_017759619.1, XP_017759620.1	XP_034183066.1
OG0000008	XP_017759621.1	XP_034183063.1
OG0000011	XP_017762097.1	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1
