Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
OG0014771	YP_002323933.1																				
OG0014772	NP_001119613.2																				
OG0014773	NP_001119614.1																				
OG0014774	NP_001119629.1																				
OG0014775	NP_001119650.1																				
OG0014776	NP_001156044.1																				
OG0014777	XP_001947033.2																				
OG0014778	XP_001947267.1																				
OG0014779	XP_001947651.1																				
OG0014780	XP_029345965.1																				
OG0014781	XP_001946854.1																				
OG0014782	XP_016656170.1																				
OG0014783	XP_003242395.1																				
OG0014784	XP_029341280.1																				
OG0014785	XP_008179874.1																				
OG0014786	XP_001943395.1																				
OG0014787	XP_016664054.1																				
OG0014788	NP_001156049.1																				
OG0014789	XP_001951447.2																				
OG0014790	XP_001943079.2																				
OG0014791	XP_001952534.2																				
OG0014792	XP_001945419.1																				
OG0014793	XP_001948907.3																				
OG0014794	NP_001155382.1																				
OG0014795	XP_001944495.2																				
OG0014796	NP_001155386.1																				
OG0014797	NP_001313548.1																				
OG0014798	XP_001946004.2																				
OG0014799	XP_001944572.2																				
OG0014800	XP_001947182.2																				
OG0014801	XP_001950017.1																				
OG0014802	XP_001947368.2																				
OG0014803	XP_016662865.1																				
OG0014804	XP_001947587.2																				
OG0014805	NP_001156700.1																				
OG0014806	XP_001942998.2																				
OG0014807	XP_029341512.1																				
OG0014808	XP_001943020.2																				
OG0014809	XP_029341526.1																				
OG0014810	XP_001947798.2																				
OG0014811	XP_001942739.2																				
OG0014812	XP_008179150.1																				
OG0014813	XP_008188767.1																				
OG0014814	XP_001949141.1																				
OG0014815	XP_029345848.1																				
OG0014816	XP_001942936.2																				
OG0014817	XP_001948319.1																				
OG0014818	NP_001155402.1																				
OG0014819	XP_001945935.2																				
OG0014820	XP_001950293.2																				
OG0014821	XP_029342202.1																				
OG0014822	XP_003243336.1																				
OG0014823	XP_029346198.1																				
