Orthogroup	Drosophila_melanogaster	Solenopsis_invicta
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	NP_001306576.1, XP_011159731.1, XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2, XP_011164185.1, XP_011164532.2, XP_011164534.2, XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1
OG0000006	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1	XP_039311113.1
OG0000006	NP_523647.2, NP_523721.1	XP_011171479.2, XP_039306260.1
OG0000007	NP_648146.1	XP_025997174.2
OG0000008	NP_572981.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	NP_651466.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	NP_572978.1, NP_572977.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	NP_001285251.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	NP_001285249.1	XP_011158386.1, XP_039305296.1
OG0000008	NP_572987.1	XP_039305528.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1, XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000011	NP_523520.2	XP_039311372.1, XP_011169700.2
OG0000012	NP_729270.1, NP_729271.1, NP_648134.1	XP_011157834.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_011167036.2
OG0000012	NP_722915.1, NP_001285772.1	XP_011166798.2, XP_039314082.1
OG0000012	NP_001036717.1	XP_025991007.1
OG0000013	NP_001027338.1	XP_011165753.2
OG0000013	NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1	XP_011166327.1
OG0000013	NP_001259374.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000013	NP_001260082.1	XP_011158471.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_039311373.1, XP_025996377.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_025993846.1, XP_039312756.1
OG0000018	NP_001247286.1	XP_039312480.1, XP_039312479.1
OG0000019	NP_001014548.1	XP_011158633.2
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	NP_723103.1	XP_025986429.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_011159576.2
OG0000020	NP_723828.1	XP_025986409.1
OG0000020	NP_001137799.1, NP_723441.2	XP_025987337.1
OG0000020	NP_001259218.1	XP_011157847.1
OG0000021	NP_648539.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_011159438.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_011163652.1
OG0000022	NP_001027336.1, NP_001027346.1, NP_001027356.1, NP_001027361.1, NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1	XP_011166335.1
OG0000026	NP_729591.1, NP_001287018.1	XP_039304799.1
OG0000026	NP_001014616.2	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_011156268.1
OG0000027	NP_001027317.1	XP_039307731.1
OG0000029	NP_647872.1, NP_650813.2	XP_011175216.3, XP_011175277.3
OG0000029	NP_647875.1, NP_647873.2	XP_025994361.1
OG0000032	NP_001285067.1	XP_039305331.1, XP_011173570.2
OG0000032	NP_611166.2	XP_025991246.2
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_011159466.2, XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	NP_001036361.1	XP_025986730.2, XP_039303561.1, XP_025996385.1, XP_039315246.1, XP_039303378.1, XP_039303408.1
OG0000033	NP_001285694.1	XP_039311284.1, XP_039302324.1, XP_039305808.1, XP_039315262.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_039312187.1
OG0000035	NP_001261394.1, NP_001287111.1	XP_025987669.2
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_011161783.1
OG0000038	NP_476772.1, NP_524264.1	XP_011172049.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1, XP_011155958.2, XP_025987203.2, XP_011170816.1
OG0000041	NP_001014725.1	XP_011173672.1
OG0000041	NP_001262200.1	XP_011173634.1, XP_011173641.1
OG0000041	NP_477037.2	XP_011167847.1
OG0000042	NP_731781.1	XP_025993436.2, XP_025988401.1, XP_025988400.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_025993549.1, XP_011172554.1
OG0000043	NP_001286870.1	XP_011166108.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_039306340.1, XP_025986513.2, XP_025986454.1
OG0000044	NP_651674.3	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_011157503.2, XP_011156768.2, XP_025992324.2
OG0000046	NP_001285139.1	XP_011168512.1
OG0000046	NP_001262586.1	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1
