Orthogroup	Aedes_aegypti	Nasonia_vitripennis
OG0000000	XP_021704707.1	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1
OG0000001	XP_021704701.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1, XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1, XP_001603508.1, NP_001165940.1, XP_001599460.2, NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_021711562.1	NP_001177430.1, NP_001177429.1, NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1, NP_001177431.1
OG0000003	XP_021712997.1	XP_031779857.1
OG0000003	XP_021694215.1	XP_031789191.1
OG0000007	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1	XP_031778752.1
OG0000007	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1	XP_008208281.1, XP_031789547.1, XP_003426874.1, XP_016842061.1, XP_016843940.2, XP_016843176.1
OG0000008	XP_001648300.1	XP_001602085.1
OG0000008	XP_001648297.2	XP_008205990.2
OG0000008	XP_001661923.2	XP_031788628.1
OG0000008	XP_021710654.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1	XP_001602133.1
OG0000008	XP_001648302.1	XP_001600419.1
OG0000008	XP_021710647.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1, NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_001655419.1, XP_021709641.1	XP_032452116.1, XP_032452115.1, XP_016838732.1
OG0000012	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1	NP_001166049.1, XP_032452528.1, XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1, XP_016836975.1, NP_001166093.1, XP_008204755.1, XP_016837090.2, NP_001155845.1, XP_001599663.2, XP_003425960.1, XP_001604966.2, NP_001166088.1, XP_001603672.1
OG0000013	XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1	XP_001599179.2
OG0000013	XP_021707704.1	XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1
OG0000013	XP_021708004.1	XP_031778024.1
OG0000013	XP_001657265.1	XP_031778025.1
OG0000013	XP_001657554.1, XP_001655332.2	XP_001608166.1, XP_001608174.1
OG0000014	XP_021712218.1, XP_021712784.1, XP_021712783.1, XP_021712339.1, XP_021712330.1, XP_021712329.1, XP_021712221.1, XP_021712313.1, XP_021712314.1, XP_021712340.1, XP_021712206.1, XP_021706421.1, XP_021712216.1, XP_001662034.1, XP_021712926.1, XP_021695294.1, XP_021712190.1, XP_021706522.1, XP_021706535.1	XP_031777920.1, XP_008202922.2, XP_016839318.1, XP_031778022.1, XP_001607834.1, XP_001605477.2, XP_003427402.1, XP_003427829.1
