Orthogroup	Habropoda_laboriosa	Apis_mellifera
OG0000001	XP_017796733.1	NP_001352128.1, NP_001352129.1, XP_026300534.1
OG0000001	XP_017795398.1	XP_395671.3, XP_026300535.1
OG0000001	XP_017796836.1	XP_026300343.1, NP_001035324.1
OG0000001	XP_017796838.1	XP_397347.4, XP_006565062.2
OG0000002	XP_017791563.1	XP_016771095.2
OG0000003	XP_017795848.1, XP_017795782.1, XP_017796822.1	XP_026301782.1, XP_026301735.1, XP_026300570.1
OG0000004	XP_017794418.1	XP_016771123.1
OG0000004	XP_017797050.1, XP_017797125.1, XP_017794589.1, XP_017794414.1	XP_016770849.2
OG0000005	XP_017795546.1	NP_001229915.1, XP_026299312.1
OG0000005	XP_017795547.1, XP_017795548.1	NP_001229914.1, XP_016770780.1, XP_016770782.1, XP_016770788.1, XP_026299613.1
OG0000006	XP_017797793.1	XP_006563134.1, XP_006563135.1
OG0000006	XP_017799299.1	XP_006570899.1
OG0000007	XP_017787376.1	XP_026298536.1
OG0000007	XP_017799435.1	NP_001314879.1, XP_016766488.1, XP_026294949.1, XP_026294950.1, XP_016766484.1
OG0000008	XP_017795667.1, XP_017795668.1	NP_001172074.1, NP_001172075.1
OG0000008	XP_017798373.1	XP_625015.1
OG0000008	XP_017796749.1	XP_016767697.1
OG0000008	XP_017796748.1	XP_026296530.1
OG0000009	XP_017788040.1	XP_026295458.1
OG0000009	XP_017794605.1	XP_006559344.1, XP_396662.2, XP_026300992.1, XP_026300993.1, XP_026300994.1
OG0000010	XP_017796643.1	XP_006563549.2
OG0000011	XP_017794869.1	XP_026300138.1, XP_026300139.1, XP_026300136.1, XP_026300137.1
OG0000012	XP_017792474.1, XP_017792476.1, XP_017792475.1, XP_017792472.1, XP_017792473.1	XP_006565262.1, XP_006565261.1, XP_006565259.1
OG0000014	XP_017795687.1	XP_003251221.1
OG0000014	XP_017799307.1	XP_016773376.1
OG0000015	XP_017788741.1	XP_026300578.1
OG0000015	XP_017789847.1, XP_017788742.1, XP_017788743.1, XP_017797133.1	XP_016771361.2
OG0000016	XP_017790433.1	XP_026295370.1
OG0000017	XP_017795648.1, XP_017799140.1, XP_017799301.1	XP_003251626.1
OG0000017	XP_017792294.1	XP_001120889.1, XP_003251406.1, XP_001120014.1
OG0000018	XP_017787682.1, XP_017787687.1, XP_017787680.1, XP_017787681.1, XP_017787683.1, XP_017787684.1, XP_017787685.1, XP_017787686.1	XP_026300511.1, XP_006568159.1, XP_006568157.1, XP_396912.1
OG0000019	XP_017789119.1	XP_026297157.1, XP_026297158.1, XP_026297159.1, XP_026297160.1
OG0000020	XP_017796294.1	XP_003249229.1
OG0000022	XP_017794031.1, XP_017794029.1, XP_017794030.1, XP_017794026.1, XP_017794027.1, XP_017794028.1	XP_016768964.1, XP_006564638.1, XP_006564637.1, XP_006564640.1, XP_006564639.1, XP_006564641.1
OG0000025	XP_017792776.1	XP_016772382.1, NP_001011571.1
OG0000026	XP_017790036.1, XP_017790034.1, XP_017790035.1, XP_017790037.1, XP_017790033.1	XP_006561279.1
OG0000027	XP_017792739.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571986.1, XP_006571984.1
OG0000028	XP_017798042.1	XP_026295483.1, XP_026295480.1
OG0000028	XP_017798041.1	XP_026295479.1
OG0000029	XP_017796921.1, XP_017796923.1, XP_017796922.1, XP_017796926.1, XP_017796924.1, XP_017796925.1	XP_026296924.1, XP_026296926.1, XP_026296925.1, XP_026296928.1, XP_026296927.1, XP_026296930.1, XP_026296929.1
OG0000031	XP_017792478.1	XP_006565210.1, NP_001180219.1
OG0000032	XP_017790596.1, XP_017790597.1, XP_017790598.1, XP_017790592.1, XP_017790593.1, XP_017790594.1, XP_017790595.1	XP_016768850.2, XP_003249883.2
OG0000033	XP_017794678.1, XP_017794677.1, XP_017794679.1, XP_017794675.1, XP_017794676.1	XP_006560073.1, XP_623977.2, XP_026300817.1, XP_026300816.1, XP_026300815.1, XP_006560074.1
OG0000034	XP_017799321.1	XP_026301958.1
OG0000035	XP_017794776.1, XP_017794775.1	XP_006560019.1, XP_006560020.1
OG0000036	XP_017791515.1	XP_006562293.2, XP_006562291.2, XP_016770836.2, XP_006562294.2
OG0000037	XP_017788215.1, XP_017788216.1, XP_017788212.1, XP_017788214.1, XP_017788213.1	XP_006570154.1, XP_016768502.1, XP_016768503.1, XP_016768504.1
OG0000038	XP_017791423.1, XP_017791424.1	NP_001011628.1, XP_006566906.1
OG0000038	XP_017793649.1	NP_001014993.1
OG0000039	XP_017789586.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000040	XP_017791263.1, XP_017791264.1, XP_017791265.1, XP_017791267.1, XP_017791266.1, XP_017791268.1, XP_017791262.1	XP_016769473.1, XP_016769470.1, XP_016769471.1, XP_016769475.1, XP_016769474.1, XP_016769476.1, XP_016769472.1
OG0000043	XP_017794557.1, XP_017794556.1	XP_006571072.1, XP_016769192.1, XP_026295623.1, XP_006571068.1, XP_006571070.1, XP_006571069.1, XP_006571071.1, XP_006571074.1, XP_006571073.1
OG0000044	XP_017795109.1	XP_623312.2
OG0000046	XP_017795969.1	NP_001229898.1
OG0000046	XP_017795937.1, XP_017795938.1, XP_017795939.1	XP_026294907.1, XP_026294903.1, XP_001121864.2, XP_016773531.1, XP_016773532.1
OG0000047	XP_017792281.1	XP_001119899.1
OG0000047	XP_017799306.1	XP_003251613.1
OG0000049	XP_017792787.1	XP_003251791.2
OG0000049	XP_017793055.1, XP_017793138.1	XP_016773440.1, XP_003251779.1
OG0000050	XP_017787399.1, XP_017787400.1, XP_017787401.1	XP_006559502.1, XP_006559501.1, XP_016769006.1, XP_393573.1, XP_016769007.1
OG0000051	XP_017787543.1	XP_016770937.2, XP_016770938.2, XP_026300076.1, XP_026300077.1, XP_006565270.3, XP_006565271.2
OG0000052	XP_017789050.1	XP_003251584.1
OG0000053	XP_017792514.1	XP_006565544.2
OG0000054	XP_017795807.1, XP_017795809.1, XP_017795808.1, XP_017795803.1, XP_017795810.1, XP_017795806.1	XP_016768147.1
OG0000055	XP_017797342.1	XP_016769442.2
OG0000056	XP_017798800.1	XP_394018.2
OG0000058	XP_017795931.1	XP_016773538.1, XP_003250765.1
OG0000058	XP_017795930.1	XP_016773454.2, NP_001229896.1, NP_001229899.1
OG0000059	XP_017799148.1	XP_003251627.1
OG0000060	XP_017795112.1	XP_006572088.1
OG0000063	XP_017791822.1	XP_001121077.2
OG0000063	XP_017791522.1, XP_017791523.1	XP_003250085.1
OG0000063	XP_017791824.1	XP_006563422.1
OG0000064	XP_017796680.1, XP_017796681.1	XP_396338.2
OG0000064	XP_017789191.1	XP_623220.1
OG0000064	XP_017795058.1	XP_006567025.1
OG0000065	XP_017792968.1	XP_393751.2, XP_016770282.2, XP_006570397.2
OG0000066	XP_017789529.1, XP_017789530.1	XP_016766794.1
OG0000068	XP_017795940.1	NP_001229905.1, XP_026302143.1
OG0000069	XP_017797758.1	XP_006557622.1
OG0000070	XP_017792725.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000071	XP_017797358.1	XP_006561713.1, XP_006561715.1, XP_006561714.1, XP_006561716.1, XP_016769650.1
OG0000072	XP_017788172.1, XP_017788171.1, XP_017788170.1, XP_017788169.1, XP_017788173.1, XP_017788174.1	XP_006563970.2, XP_392277.4
OG0000073	XP_017787586.1, XP_017787587.1	XP_393853.1, XP_006565288.1, XP_006565289.1, XP_006565286.1, XP_006565287.1, XP_006565285.1
OG0000074	XP_017794737.1	XP_026300962.1
OG0000076	XP_017799593.1	XP_006567638.1, XP_006567639.1, XP_006567636.1, XP_001119871.2
OG0000077	XP_017790553.1, XP_017790555.1	XP_001119981.4
OG0000078	XP_017792569.1, XP_017797126.1, XP_017792570.1, XP_017795215.1, XP_017796732.1, XP_017797042.1, XP_017796957.1, XP_017796955.1, XP_017797122.1	XP_006565095.2, XP_001120578.2
OG0000079	XP_017795101.1	XP_016772297.1, XP_006558308.1, XP_006558307.1, XP_006558309.1, XP_006558304.1, XP_006558306.1, XP_006558305.1, XP_016772296.1, XP_026301099.1, XP_026301100.1, XP_026301101.1
OG0000080	XP_017792228.1	XP_006569489.2
OG0000081	XP_017793012.1	XP_006570477.1
OG0000082	XP_017799058.1	XP_006571385.1
OG0000083	XP_017788047.1	XP_016766914.1
OG0000085	XP_017794362.1	XP_006561782.1, XP_003249920.2
OG0000086	XP_017796684.1	XP_016772166.1, XP_026301176.1, XP_026301177.1, XP_003250293.1
OG0000087	XP_017789247.1	XP_006566517.1, XP_016770257.1, XP_016770258.1, XP_026299433.1
OG0000088	XP_017790565.1, XP_017790567.1, XP_017790576.1, XP_017790564.1, XP_017790571.1	XP_016766234.2, XP_016766233.2, XP_016766231.2, XP_016766244.2, XP_006569170.3, XP_006569176.3
OG0000089	XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1	XP_016770807.2, XP_016770806.2, XP_016770795.1, XP_016770796.1, XP_026299638.1
OG0000090	XP_017798266.1	XP_026295887.1, XP_395146.3
OG0000091	XP_017793696.1, XP_017793694.1, XP_017793697.1	XP_026296707.1
OG0000093	XP_017789280.1, XP_017789278.1	XP_006566536.1, XP_016770813.1
OG0000094	XP_017788404.1	XP_006568900.1, XP_397517.2, XP_006568901.1, XP_006568902.1, XP_006568903.1
OG0000095	XP_017792240.1	XP_006570088.2, XP_394997.3, XP_016770157.2, XP_006570087.2, XP_016770156.2, XP_026300785.1
OG0000096	XP_017796141.1	XP_016766748.2
OG0000097	XP_017792113.1	XP_026300806.1, XP_026300805.1
OG0000098	XP_017790044.1	XP_392582.1
OG0000099	XP_017788335.1, XP_017788334.1, XP_017788333.1	XP_394152.2
OG0000101	XP_017795008.1	XP_026296772.1, XP_001121869.2
OG0000102	XP_017790496.1	XP_016768929.1, XP_016768928.1, XP_016768927.1, XP_003249519.2, XP_006559656.1, XP_006559657.1, XP_006559659.1
OG0000103	XP_017795578.1	XP_006564458.1, XP_006564456.1, XP_006564457.1, XP_006564454.1, XP_006564455.1
OG0000104	XP_017790369.1	XP_006566079.2
OG0000105	XP_017787598.1	XP_006567039.1
OG0000106	XP_017790882.1	XP_006572180.1
OG0000108	XP_017795457.1, XP_017795456.1, XP_017795458.1, XP_017795454.1, XP_017795455.1	XP_026298976.1, XP_026298975.1
OG0000109	XP_017791211.1	XP_393594.3
OG0000112	XP_017795970.1	XP_016773529.1, XP_016773528.1, XP_016773537.1, XP_006565970.2
OG0000113	XP_017794671.1	XP_001120910.2
OG0000114	XP_017795102.1, XP_017795103.1	XP_026301302.1, XP_016772326.1, XP_392709.3, XP_006557654.1
OG0000115	XP_017794904.1, XP_017794905.1, XP_017794906.1	XP_006561447.1, XP_026301562.1, XP_016772425.1
OG0000116	XP_017797704.1	XP_623083.1, XP_006563129.1
OG0000117	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_006563703.1, XP_006563700.1, XP_006563701.1, XP_006563702.1
OG0000118	XP_017788114.1	XP_006563971.1, XP_006563972.1, XP_396934.4
OG0000119	XP_017788550.1, XP_017795246.1	XP_016773033.1, XP_624322.1
OG0000120	XP_017792653.1	XP_026294841.1
OG0000121	XP_017797236.1	XP_026296163.1, XP_026296160.1, XP_026296162.1, XP_026296161.1
OG0000124	XP_017792535.1, XP_017792534.1, XP_017792533.1, XP_017792539.1, XP_017792538.1, XP_017792537.1, XP_017792536.1	NP_001164443.1
OG0000125	XP_017791425.1	XP_016770827.2, NP_001191991.1
OG0000126	XP_017789648.1, XP_017789644.1, XP_017789645.1, XP_017789646.1, XP_017789647.1	XP_006572424.1, NP_001265256.1
OG0000127	XP_017795355.1	XP_016771075.1, XP_026300228.1
OG0000128	XP_017796091.1	XP_006562145.1
OG0000129	XP_017795022.1	XP_006564303.1
OG0000130	XP_017791660.1	XP_006565559.1, XP_016768555.1
OG0000131	XP_017793513.1	XP_006566631.1
OG0000132	XP_017790774.1, XP_017790775.1	XP_006567941.1
OG0000134	XP_017797579.1	XP_026296993.1
OG0000138	XP_017793589.1, XP_017793591.1, XP_017788546.1, XP_017793079.1, XP_017797023.1, XP_017788544.1, XP_017788543.1	XP_001120449.2
