Orthogroup	Polistes_dominula	Tribolium_castaneum
OG0000000	XP_015189866.1, XP_015189951.1	XP_015839988.1, XP_015839902.1, XP_015840447.1, XP_015840446.1, XP_015840340.1, XP_015840305.1
OG0000001	XP_015182412.1, XP_015182413.1, XP_015181295.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_015174482.1	XP_969875.1
OG0000001	XP_015174918.1, XP_015173619.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_015179396.1, XP_015179319.1, XP_015179317.1, XP_015179443.1, XP_015179316.1, XP_015179442.1, XP_015179331.1, XP_015179329.1, XP_015179330.1, XP_015179496.1, XP_015179323.1, XP_015179394.1, XP_015179320.1, XP_015179321.1, XP_015179328.1, XP_015179325.1, XP_015179324.1, XP_015179392.1, XP_015179322.1, XP_015179497.1	XP_015839871.1
OG0000004	XP_015189732.1, XP_015175258.1, XP_015185810.1, XP_015180955.1, XP_015189729.1, XP_015189948.1, XP_015189979.1, XP_015180194.1, XP_015189887.1, XP_015189689.1, XP_015185818.1, XP_015186432.1	XP_015834342.1
OG0000005	XP_015187494.1	XP_015833636.1
OG0000006	XP_015176242.1	XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1
OG0000008	XP_015180320.1	XP_972338.1
OG0000008	XP_015182812.1	XP_969421.1
OG0000008	XP_015180327.1, XP_015180328.1	XP_972430.2
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_008191970.1
OG0000009	XP_015177367.1, XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000010	XP_015187532.1, XP_015189777.1	XP_008191471.1
OG0000012	XP_015184231.1, XP_015181630.1, XP_015184244.1	XP_008192552.1
OG0000013	XP_015172623.1	XP_975418.1, XP_969677.1
OG0000013	XP_015174269.1	XP_966487.1
OG0000013	XP_015172184.1, XP_015172183.1, XP_015172185.1	XP_008197392.1
OG0000014	XP_015177523.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000015	XP_015189381.1	XP_015839984.1, XP_015834077.1
OG0000015	XP_015189384.1, XP_015189315.1, XP_015185694.1, XP_015189530.1, XP_015189839.1, XP_015189716.1, XP_015189914.1, XP_015189880.1, XP_015189840.1, XP_015189385.1	XP_008199215.1, XP_015840019.1
OG0000016	XP_015189959.1, XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1, XP_015190988.1, XP_015189498.1, XP_015189980.1, XP_015189915.1	XP_015840352.1, XP_015840124.1
OG0000017	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_015183882.1, XP_015180945.1	XP_015834775.1, XP_974273.1
OG0000018	XP_015184408.1	XP_008200429.1
OG0000018	XP_015186827.1	XP_008194092.1, XP_969781.1
OG0000018	XP_015175602.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	XP_975378.1
OG0000019	XP_015172147.1	XP_973324.1
OG0000019	XP_015182221.1, XP_015189673.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_015183576.1	XP_008201408.1
OG0000020	XP_015183590.1	XP_008201409.2
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_969457.2
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_015184436.1	XP_015838169.1
OG0000021	XP_015190080.1	XP_008197404.1
OG0000021	XP_015188837.1, XP_015184407.1	XP_008197199.1
OG0000021	XP_015183774.1, XP_015183791.1, XP_015183783.1	XP_008197203.1, XP_969207.1
OG0000022	XP_015173497.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_015181825.1	XP_970056.2
OG0000024	XP_015181175.1, XP_015181294.1, XP_015189755.1	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	XP_015181461.1, XP_015181460.1	XP_015833705.1
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_008193329.1
OG0000026	XP_015174903.1	XP_969357.3
OG0000026	XP_015191534.1, XP_015187302.1	XP_015840897.1
OG0000027	XP_015177662.1	XP_008199050.2
OG0000029	XP_015172519.1, XP_015172507.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_015185507.1, XP_015172137.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1	XP_966905.1
OG0000030	XP_015180794.1	XP_968794.2, XP_970796.2, XP_008194651.1, XP_973790.1
