Orthogroup	Solenopsis_invicta	Eufriesea_mexicana
OG0000000	XP_025997408.1, XP_039309650.1, XP_011174413.3	XP_017762447.1
OG0000000	XP_039307919.1, XP_039304380.1	XP_017763965.1
OG0000001	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1	XP_017753392.1, XP_017753391.1
OG0000001	NP_001306576.1, XP_011159731.1	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1
OG0000001	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2	XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1
OG0000001	XP_011164185.1	XP_017759613.1
OG0000001	XP_011164532.2, XP_011164534.2	XP_017767083.1
OG0000001	XP_011162032.2, XP_039315612.1	XP_017759625.1
OG0000002	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1
OG0000002	XP_011175322.2, XP_011158991.3	XP_017759746.1
OG0000002	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1	XP_017759702.1, XP_017759703.1, XP_017759734.1
OG0000002	XP_011159024.2	XP_017759707.1, XP_017759704.1, XP_017759700.1, XP_017759706.1, XP_017759708.1
OG0000002	XP_039304869.1	XP_017759729.1
OG0000002	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1	XP_017759714.1, XP_017759715.1, XP_017759716.1
OG0000002	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1	XP_017759712.1, XP_017759730.1, XP_017759757.1, XP_017759752.1, XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1
OG0000002	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1	XP_017759713.1
OG0000003	XP_011162376.2, XP_011171732.2	XP_017759424.1
OG0000003	XP_039311338.1	XP_017759422.1
OG0000004	XP_039308373.1	XP_017762861.1, XP_017753050.1
OG0000004	XP_025989297.2	XP_017763517.1
OG0000005	XP_025990901.2	XP_017763088.1, XP_017763087.1
OG0000006	XP_025989821.2	XP_017766722.1
OG0000006	XP_039308764.1, XP_011163434.2	XP_017766521.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	XP_017764283.1
OG0000008	XP_039314393.1, XP_039314392.1, XP_025990966.2	XP_017752288.1
OG0000008	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1	XP_017765710.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	XP_017764163.1
OG0000008	XP_011158386.1, XP_039305296.1	XP_017764510.1
OG0000008	XP_039305528.1	XP_017764053.1, XP_017763974.1
OG0000009	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1	XP_017757841.1, XP_017757840.1
OG0000009	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1	XP_017765586.1
OG0000009	XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2	XP_017758638.1, XP_017765620.1, XP_017758637.1
OG0000010	XP_011173267.1, XP_011169844.2, XP_011165897.1	XP_017756503.1
OG0000010	XP_039313808.1, XP_039309913.1, XP_039312408.1	XP_017762078.1
OG0000010	XP_039302116.1	XP_017758941.1
OG0000010	XP_011170473.1, XP_011166544.1	XP_017761999.1, XP_017754682.1
OG0000010	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1	XP_017766494.1, XP_017764809.1, XP_017765358.1
OG0000012	XP_011167036.2	XP_017754921.1
OG0000012	XP_011166798.2, XP_039314082.1	XP_017754933.1
OG0000012	XP_025991007.1	XP_017765060.1
OG0000013	XP_011165753.2	XP_017764546.1
OG0000013	XP_011166327.1	XP_017754146.1
OG0000013	XP_011158467.1, XP_011158466.1, XP_039315701.1	XP_017760618.1
OG0000014	XP_011163196.1	XP_017764543.1, XP_017754143.1
OG0000016	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1	XP_017766957.1
OG0000018	XP_025993846.1, XP_039312756.1	XP_017763433.1
OG0000018	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1	XP_017761708.1
OG0000018	XP_011168181.2, XP_011168177.2	XP_017760876.1, XP_017760875.1
OG0000018	XP_039312480.1, XP_039312479.1	XP_017760874.1
OG0000019	XP_025990211.2	XP_017758970.1
OG0000019	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1	XP_017754922.1
OG0000019	XP_011155421.1, XP_025990075.1, XP_039308626.1	XP_017757913.1
OG0000020	XP_025986429.1	XP_017759430.1
OG0000020	XP_011159576.2	XP_017758962.1
