Orthogroup	Eufriesea_mexicana	Bombus_terrestris
OG0000001	XP_017757759.1	XP_012170860.1, XP_003400131.1
OG0000001	XP_017757738.1, XP_017757780.1	XP_012170855.1
OG0000001	XP_017757758.1, XP_017757757.1	XP_003400126.1
OG0000001	XP_017757799.1, XP_017757796.1, XP_017757795.1, XP_017757798.1, XP_017757797.1	XP_003400119.1
OG0000001	XP_017757764.1	XP_012170859.1, XP_020721796.1
OG0000001	XP_017757740.1	XP_020721795.1, XP_012170857.1
OG0000002	XP_017757739.1	XP_012171355.1
OG0000002	XP_017759155.1	XP_012174272.1
OG0000003	XP_017765323.1	XP_020723715.1
OG0000004	XP_017753436.1	XP_012169979.1
OG0000004	XP_017753407.1	XP_020721563.1
OG0000004	XP_017753408.1, XP_017753432.1, XP_017753409.1	XP_012169978.1
OG0000004	XP_017753433.1, XP_017753435.1	XP_020721562.1, XP_003402807.2
OG0000005	XP_017754777.1	XP_012169050.1, XP_012169049.1
OG0000005	XP_017754772.1	XP_020721192.1, XP_012169499.2
OG0000005	XP_017754778.1	XP_012169504.1
OG0000005	XP_017754793.1	XP_020721190.1, XP_020721189.1, XP_012169044.2
OG0000006	XP_017760616.1	XP_003400772.1, XP_003400771.1
OG0000006	XP_017764545.1, XP_017754146.1, XP_017764546.1	XP_003392969.1
OG0000006	XP_017760618.1	XP_020718381.1
OG0000007	XP_017758952.1	XP_020723333.1, XP_012173473.1, XP_012173466.1
OG0000007	XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760963.1, XP_017760962.1	XP_020720441.1, XP_003397834.1
OG0000007	XP_017760967.1, XP_017760966.1	XP_003403225.1
OG0000008	XP_017765153.1	XP_003396990.1
OG0000008	XP_017765151.1	XP_003396989.1
OG0000008	XP_017754630.1	XP_003399722.1
OG0000008	XP_017759619.1, XP_017759620.1	XP_003394490.1
OG0000008	XP_017759621.1	XP_003394488.1
OG0000009	XP_017760325.1, XP_017760326.1, XP_017760327.1	XP_012171450.1, XP_012171449.1, XP_012171451.1, XP_012171455.1, XP_012171452.1, XP_012171447.1, XP_012171454.1, XP_003400542.1
OG0000010	XP_017758034.1	XP_003403423.2, XP_003403233.3, XP_020722596.1, XP_020722488.1, XP_003401176.1
OG0000011	XP_017762097.1	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1
