GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0016477	cell migration	75	12	6.38	0.00039	0.00039	0.0702	0.013519999999999999
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	54	11	4.6	0.00045	0.00045	0.0702	0.014039999999999999
GO:0042127	regulation of cell population proliferation	83	13	7.06	0.00149	0.00149	0.15496	0.027345882352941175
GO:0002682	regulation of immune system process	189	12	16.09	0.00390	0.25176	0.30419999999999997	0.41781446808510636
GO:0009880	embryonic pattern specification	53	4	4.51	0.00649	0.00649	0.39104	0.07499555555555555
GO:0035282	segmentation	52	3	4.43	0.00752	0.00752	0.39104	0.08379428571428571
GO:0003008	system process	50	7	4.26	0.01138	0.01138	0.435552	0.10442823529411764
GO:1901576	organic substance biosynthetic process	171	18	14.55	0.01159	0.22795	0.435552	0.40982537142857145
GO:1901360	organic cyclic compound metabolic process	188	15	16	0.01368	0.10816	0.435552	0.27345290322580645
GO:0006725	cellular aromatic compound metabolic process	186	15	15.83	0.01396	0.09986	0.435552	0.2685889655172414
GO:1901575	organic substance catabolic process	71	9	6.04	0.01688	0.42583	0.46176	0.542281469387755
GO:0044249	cellular biosynthetic process	172	19	14.64	0.02227	0.18339	0.46176	0.37571688311688306
GO:0002252	immune effector process	123	7	10.47	0.02285	0.28891	0.46176	0.45989755102040814
GO:0007267	cell-cell signaling	57	10	4.85	0.02301	0.02301	0.46176	0.13229894736842107
GO:0045165	cell fate commitment	63	7	5.36	0.02399	0.02399	0.46176	0.13229894736842107
GO:0048522	positive regulation of cellular process	221	22	18.81	0.02646	0.00238	0.46176	0.033752727272727275
GO:0050793	regulation of developmental process	148	18	12.6	0.03039	0.03016	0.46176	0.1539695238095238
GO:0042592	homeostatic process	54	9	4.6	0.03091	0.03091	0.46176	0.1539695238095238
GO:0098542	defense response to other organism	268	19	22.81	0.03186	0.37384	0.46176	0.4984533333333333
GO:0097485	neuron projection guidance	51	6	4.34	0.03251	0.03251	0.46176	0.15844799999999998
GO:0007010	cytoskeleton organization	61	5	5.19	0.03301	0.03301	0.46176	0.15844799999999998
GO:0051641	cellular localization	74	5	6.3	0.03410	0.02784	0.46176	0.144976
GO:0022008	neurogenesis	136	14	11.57	0.03428	0.04942	0.46176	0.20048
GO:0000904	cell morphogenesis involved in differentiation	86	7	7.32	0.03640	0.14868	0.46176	0.32899404255319153
GO:0007276	gamete generation	140	12	11.91	0.03700	0.03630	0.46176	0.16903880597014925
GO:0016192	vesicle-mediated transport	54	5	4.6	0.03915	0.03915	0.4695022222222222	0.17702608695652172
GO:0030030	cell projection organization	100	10	8.51	0.04063	0.20536	0.4695022222222222	0.40297056603773584
GO:0051239	regulation of multicellular organismal process	143	18	12.17	0.04462	0.02345	0.48752228571428574	0.13229894736842107
GO:0048732	gland development	73	6	6.21	0.04827	0.23772	0.48752228571428574	0.4166777528089888
GO:0035114	imaginal disc-derived appendage morphogenesis	50	4	4.26	0.04961	0.04961	0.48752228571428574	0.20048
GO:0006468	protein phosphorylation	63	9	5.36	0.05012	0.05012	0.48752228571428574	0.20048
GO:0048584	positive regulation of response to stimulus	142	10	12.09	0.05374	0.14154	0.48752228571428574	0.32470941176470586
GO:0050794	regulation of cellular process	340	35	28.94	0.05411	1.1e-05	0.48752228571428574	0.0034319999999999997
GO:0048523	negative regulation of cellular process	178	21	15.15	0.05433	0.00584	0.48752228571428574	0.07008
