Orthogroup	Aedes_aegypti	Anopheles_gambiae
OG0000001	XP_001649932.1	XP_312049.4, XP_312050.1, XP_312048.1, XP_312047.2, XP_563271.1
OG0000001	XP_021693513.1, XP_021693512.1	XP_003436271.1, XP_312054.2
OG0000001	XP_011493176.1	XP_001688205.1, XP_309693.4
OG0000001	XP_021703140.1	XP_317261.1, XP_317260.1
OG0000001	XP_021702543.1, XP_021702544.1, XP_001653676.1, XP_001653678.1, XP_001653677.1	XP_317263.1, XP_555257.2
OG0000001	XP_021703139.1, XP_021703138.1, XP_011492959.1, XP_001653683.1, XP_001653686.1, XP_021703137.1, XP_021703135.1, XP_001653682.1, XP_001653687.3	XP_317257.2, XP_001237903.1, XP_317256.3, XP_001237902.1
OG0000001	XP_021704701.1	XP_563971.3
OG0000002	XP_021711562.1	XP_317343.1
OG0000003	XP_021694215.1, XP_021709560.1	XP_001688581.1
OG0000005	XP_021709990.1, XP_021704183.1, XP_021711844.1, XP_021706484.1	XP_308124.5
OG0000006	XP_021709039.1, XP_021709040.1	XP_320909.1, XP_320910.3
OG0000006	XP_001651754.2, XP_001651756.3	XP_310173.1, XP_310172.2
OG0000007	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1	XP_003435875.1, XP_003435876.1
OG0000008	XP_001648300.1	XP_310333.7
OG0000008	XP_001648297.2	XP_310338.7, XP_310337.6
OG0000008	XP_001648306.2	XP_310282.6
OG0000008	XP_001661923.2	XP_312388.4, XP_312387.5
OG0000008	XP_021710654.1	XP_003436608.1, XP_003436609.1, XP_003436607.1
OG0000008	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1	XP_310332.7, XP_003436611.1
OG0000008	XP_001648302.1	XP_559558.6, XP_003436610.1
OG0000008	XP_021710647.1	XP_310340.1
OG0000009	XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3
OG0000009	XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1	XP_001238280.1
OG0000012	XP_001655419.1	XP_317829.4
OG0000012	XP_001658080.2	XP_554157.3
OG0000012	XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2	XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2
OG0000012	XP_021703076.1, XP_001657786.1	XP_318046.3
OG0000012	XP_001650145.1	XP_319102.4
OG0000012	XP_021712427.1, XP_021707394.1	XP_001231167.2
OG0000012	XP_001651150.1	XP_321898.3
OG0000012	XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1	XP_001689374.2, XP_308888.1, XP_001689375.2
OG0000013	XP_021711158.1, XP_021711157.1	XP_307081.3
OG0000013	XP_021701440.1	XP_315130.3
OG0000013	XP_021705825.1, XP_021705826.1, XP_001657268.1, XP_021707704.1, XP_021708004.1, XP_001657265.1	XP_307601.3
OG0000013	XP_001657554.1, XP_001655332.2	XP_320335.2, XP_320336.2
OG0000014	XP_021712835.1	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4
OG0000014	XP_021712191.1, XP_021712166.1, XP_021706478.1, XP_021705014.1, XP_021712175.1, XP_021705015.1, XP_021711142.1, XP_021705288.1, XP_021712199.1, XP_021705824.1, XP_021712187.1, XP_021705024.1, XP_021712165.1, XP_021705025.1, XP_021711147.1, XP_021706543.1, XP_021711141.1, XP_021711145.1, XP_021706544.1, XP_021706545.1, XP_021712186.1, XP_021706546.1, XP_021712839.1, XP_021706549.1, XP_021711149.1, XP_021706554.1, XP_021711146.1, XP_021707481.1, XP_021712685.1, XP_021706569.1, XP_021712097.1, XP_021712027.1, XP_021708651.1, XP_021706552.1, XP_021711152.1, XP_021711139.1, XP_021706550.1, XP_021708655.1, XP_021711144.1, XP_021708656.1, XP_021712095.1, XP_021706560.1, XP_021711143.1, XP_021706563.1, XP_021712692.1, XP_021708754.1, XP_021711151.1, XP_021706553.1, XP_021712155.1, XP_021708646.1, XP_021711150.1	XP_311486.4
OG0000017	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1	XP_319968.3, XP_319970.3, XP_319969.1
OG0000017	XP_001658750.1	XP_319967.1
OG0000017	XP_021701982.1	XP_319966.1
OG0000017	XP_021701973.1	XP_001238234.1
OG0000017	XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1	XP_319972.1
OG0000017	XP_001654620.1	XP_310012.1
OG0000017	XP_001658010.2	XP_562676.3
OG0000017	XP_001658001.2	XP_313667.3, XP_561497.1, XP_562132.1, XP_313059.1, XP_307500.3, XP_313668.1
OG0000017	XP_001654675.1	XP_313058.1, XP_313664.3
OG0000017	XP_001654674.2	XP_313665.4
OG0000017	XP_001658009.2	XP_562680.2, XP_313048.1
OG0000017	XP_021693938.1, XP_001658007.2	XP_313052.1
OG0000018	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1	XP_316463.3, XP_557101.2
OG0000018	XP_021693724.1, XP_021693725.1	XP_001237640.2
OG0000018	XP_001662529.1, XP_021693721.1, XP_021693723.1	XP_315221.5
OG0000018	XP_021693720.1	XP_001688623.2
OG0000018	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1	XP_558678.4, XP_551022.4
OG0000018	XP_001651693.2	XP_321300.4
OG0000018	XP_021706781.1	XP_312930.5
OG0000019	XP_021694331.1, XP_021694068.1	XP_321444.5
OG0000019	XP_021694330.1, XP_001662499.1, XP_021694069.1	XP_309657.4, XP_559998.4
OG0000019	XP_001649991.2, XP_001662496.1	XP_312042.5
OG0000019	XP_001663502.2, XP_001663504.2	XP_316926.4
OG0000019	XP_001651730.2, XP_001662493.2	XP_003436388.1
OG0000019	XP_001662497.2, XP_001662494.2, XP_021694070.1	XP_312768.5
