Orthogroup	Apis_mellifera	Aedes_aegypti
OG0000001	XP_623362.3, XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3, XP_026296210.1, XP_006564499.3, NP_001191991.1, XP_016770827.2	XP_021704701.1
OG0000002	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1, XP_003250769.3, XP_026294905.1, XP_026294912.1, XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2, NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1, NP_001229900.1, NP_001229895.1, XP_003250726.1, XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1, NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2, NP_001229897.1	XP_021711562.1
OG0000005	XP_016771095.2	XP_021703263.1, XP_021709990.1, XP_021704183.1, XP_021711844.1, XP_021706484.1, XP_021693623.1
OG0000006	XP_003250826.2	XP_001651754.2, XP_001651756.3
OG0000008	XP_006565046.2	XP_001648300.1
OG0000008	XP_026301320.1	XP_001648297.2
OG0000008	XP_396549.3	XP_001661923.2
OG0000008	XP_394219.3	XP_021710654.1
OG0000008	XP_003250567.1	XP_001648302.1
OG0000008	XP_016769477.1	XP_021710647.1
OG0000009	XP_006562365.2, XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_026297101.1, XP_026297165.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_016768428.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_026301256.1, XP_026301257.1, XP_016772201.1, XP_016772200.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_001120132.1	XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1
OG0000013	XP_006570899.1	XP_021706175.1, XP_021701438.1, XP_021705825.1, XP_021705826.1, XP_001657268.1, XP_021707704.1, XP_021708004.1, XP_001657265.1
OG0000013	XP_624499.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_003251627.1, XP_006570861.2	XP_021712022.1, XP_021712028.1
OG0000017	XP_006563394.1, NP_001171499.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_393750.5	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_026299794.1, XP_006563569.1	XP_021706781.1
OG0000019	XP_026299702.1	XP_021694331.1, XP_021694068.1
