ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399	0	91,57,57,46	28,15,12,13	91,33,45,41	17,15,6,12	225	144	0.653390645519	1.0	0.675,0.709,0.752,0.694	0.774,0.585,0.828,0.686	-0.011
1	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957	1	1,0,0,0	11,10,9,4	0,0,0,0	15,8,10,12	124	254	1	1.0	0.157,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.039
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538	2	44,12,12,27	1,0,0,1	37,33,25,34	1,1,2,0	132	120	0.242423703698	0.7400302533938948	0.976,1.0,1.0,0.961	0.971,0.968,0.919,1.0	0.02
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223	3	1,2,4,7	470,262,309,285	9,6,3,6	606,759,611,533	196	196	0.954130321112	1.0	0.002,0.008,0.013,0.024	0.015,0.008,0.005,0.011	0.002
4	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3338082	3338184	3337499	3337847	3338649	3339728	4	308,188,231,139	344,170,254,193	265,149,172,156	260,234,299,241	198	201	0.0502398236065	0.37598835731316127	0.476,0.529,0.48,0.422	0.509,0.393,0.369,0.397	0.06
5	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472	5	23,9,18,13	94,31,27,23	39,23,22,27	102,75,59,67	330	2202	0.747871173746	1.0	0.62,0.66,0.816,0.79	0.718,0.672,0.713,0.729	0.013
6	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540436	2540524	2539159	2539399	2540615	2540837	6	0,2,1,0	71,36,28,23	2,0,1,0	37,20,23,36	187	421	1	1.0	0.0,0.111,0.074,0.0	0.108,0.0,0.089,0.0	-0.003
7	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8399388	8399483	8397830	8398132	8407203	8407378	7	11,6,5,3	203,75,92,100	5,8,8,8	239,149,157,171	194	194	0.438775372076	0.9380557928488343	0.051,0.074,0.052,0.029	0.02,0.051,0.048,0.045	0.011
8	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8404088	8404183	8397830	8398132	8407203	8407378	8	11,6,5,3	120,65,65,64	5,8,8,8	125,121,141,125	194	194	0.320874561382	0.8354965223680889	0.084,0.085,0.071,0.045	0.038,0.062,0.054,0.06	0.018
9	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8404088	8404183	8397830	8398132	8407203	8407378	9	203,75,92,100	120,65,65,64	239,149,157,171	125,121,141,125	194	194	0.624227669135	1.0	0.628,0.536,0.586,0.61	0.657,0.552,0.527,0.578	0.011
10	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4677777	4677957	4676123	4676339	4678507	4678687	10	6,1,2,0	60,18,33,23	4,2,4,0	42,13,18,42	279	270	0.583670539731	1.0	0.088,0.051,0.055,0.0	0.084,0.13,0.177,0.0	-0.049
11	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313	11	26,21,11,15	259,145,144,203	19,31,27,20	228,323,227,192	204	999	0.858510686337	1.0	0.33,0.415,0.272,0.266	0.29,0.32,0.368,0.338	-0.008
12	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138	12	631,370,423,428	1455,754,886,867	560,507,570,535	1216,953,1160,1144	378	511	0.705452696677	1.0	0.37,0.399,0.392,0.4	0.384,0.418,0.399,0.387	-0.007
13	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2064330	2064525	2063749	2064058	2065710	2065855	13	19,10,10,13	40,19,19,17	11,11,6,7	42,16,21,28	142	294	0.0963751918827	0.5222911914191272	0.496,0.521,0.521,0.613	0.352,0.587,0.372,0.341	0.125
14	"LOC114872221"	NA	chrOU015519.1	-	7180789	7180906	7184361	7184472	7179625	7180058	7185293	7185344	14	3,0,2,0	16,11,16,15	1,2,3,3	25,9,12,13	210	216	0.105425345609	0.5375943008328696	0.162,0.0,0.114,0.0	0.04,0.186,0.205,0.192	-0.087
15	"LOC114881700"	NA	chrOU015518.1	-	1638501	1638742	1639409	1639436	1637330	1637572	1639696	1639836	15	105,49,73,101	195,104,122,136	80,71,74,67	209,120,135,190	126	340	0.0781282782248	0.46876966934879993	0.592,0.56,0.618,0.667	0.508,0.615,0.597,0.488	0.057
16	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1031284	1031333	1019832	1019874	1035414	1035532	16	46,12,23,18	98,58,78,44	46,21,28,36	95,52,63,74	148	148	0.126950552719	0.5970107073812432	0.319,0.171,0.228,0.29	0.326,0.288,0.308,0.327	-0.06
17	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1033260	1033309	1019832	1019874	1035414	1035532	17	46,12,23,18	14,3,13,5	46,21,28,36	9,9,10,6	148	148	0.355365321291	0.8803626616943496	0.767,0.8,0.639,0.783	0.836,0.7,0.737,0.857	-0.035
18	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1033260	1033309	1019832	1019874	1035414	1035532	18	98,58,78,44	14,3,13,5	95,52,63,74	9,9,10,6	148	148	0.867619100614	1.0	0.875,0.951,0.857,0.898	0.913,0.852,0.863,0.925	0.007
19	"LOC114872849"	NA	chrOU015518.1	-	857429	857654	858050	858089	856940	857029	863890	863984	19	463,271,306,328	1271,777,938,1039	366,457,479,467	1151,1383,1406,1264	138	324	0.980881832289	1.0	0.461,0.45,0.434,0.426	0.427,0.437,0.444,0.465	-0.001
20	"LOC114873001"	NA	chrOU015518.1	-	787370	787601	787701	787859	787187	787268	788280	788447	20	85,47,71,73	167,91,107,92	87,96,115,119	176,100,158,156	257	330	0.298357302069	0.833962579277205	0.395,0.399,0.46,0.505	0.388,0.552,0.483,0.495	-0.04
21	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790142	790365	789340	789421	790649	791101	21	62,31,44,46	31,21,22,20	72,56,75,78	25,18,38,40	322	203	0.331697819902	0.8432907796896172	0.558,0.482,0.558,0.592	0.645,0.662,0.554,0.551	-0.055
22	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790506	790591	789340	789421	790649	791101	22	23,6,10,9	31,21,22,20	13,13,15,24	25,18,38,40	184	203	0.728218452383	1.0	0.45,0.24,0.334,0.332	0.365,0.443,0.303,0.398	-0.038
23	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790649	790701	789340	789421	790864	791101	23	9,2,4,2	31,21,20,21	2,5,9,8	26,18,36,39	151	203	0.65888541029	1.0	0.281,0.114,0.212,0.114	0.094,0.272,0.252,0.216	-0.028
24	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	790506	790591	789340	789421	790649	791101	24	23,6,10,9	62,31,44,46	13,13,15,24	72,56,75,78	184	322	0.704696540104	1.0	0.394,0.253,0.285,0.255	0.24,0.289,0.259,0.35	0.012
25	"LOC114872985"	NA	chrOU015518.1	+	694385	694520	695506	695546	693317	693398	697451	698759	25	33,25,14,12	6,9,9,1	28,16,16,26	8,7,11,2	234	139	0.810203317161	1.0	0.766,0.623,0.48,0.877	0.675,0.576,0.464,0.885	0.037
26	"LOC114872985"	NA	chrOU015518.1	+	694449	694520	695506	695546	693317	693398	697451	698759	26	26,9,6,10	6,9,9,1	13,8,11,12	8,7,11,2	170	139	0.673339293781	1.0	0.78,0.45,0.353,0.891	0.571,0.483,0.45,0.831	0.035
27	"LOC114876025"	NA	chrOU015518.1	-	564470	564593	566594	566714	560294	560530	570935	571058	27	245,186,185,127	72,38,66,53	287,109,167,255	78,39,59,73	219	222	0.97312444577	1.0	0.775,0.832,0.74,0.708	0.789,0.739,0.742,0.78	0.001
28	"LOC114875900"	NA	chrOU015517.1	-	5313518	5313623	5314067	5314178	5309608	5309737	5325882	5326011	28	103,52,55,47	3,5,8,3	114,54,48,73	3,6,1,3	210	204	0.14536875527	0.6318667354327407	0.971,0.91,0.87,0.938	0.974,0.897,0.979,0.959	-0.03
29	"LOC114872712"	NA	chrOU015517.1	-	4695482	4695658	4697833	4697964	4692205	4692281	4700336	4700438	29	32,11,9,15	3,0,1,1	28,31,32,35	3,2,3,0	230	275	0.679556486517	1.0	0.927,1.0,0.915,0.947	0.918,0.949,0.927,1.0	-0.001
30	"LOC114872712"	NA	chrOU015517.1	-	4701316	4701361	4701911	4701980	4700664	4700741	4702417	4702730	30	9,4,10,8	1,0,1,1	17,10,8,8	2,2,0,2	168	144	1	1.0	0.885,1.0,0.896,0.873	0.879,0.811,1.0,0.774	0.047
31	"LOC114873803"	NA	chrOU015514.1	+	6698772	6698982	6699446	6699761	6697953	6698242	6700134	6700533	31	7,4,8,9	18,7,13,7	20,19,18,11	42,24,33,26	309	414	0.687163650399	1.0	0.343,0.434,0.452,0.633	0.39,0.515,0.422,0.362	0.043
32	"LOC114880750"	NA	chrOU015510.1	-	20136	20388	20699	20830	19907	20037	21323	21365	32	292,149,165,111	814,456,473,329	241,125,115,167	768,362,357,470	230	351	0.732175707637	1.0	0.354,0.333,0.347,0.34	0.324,0.345,0.33,0.352	0.006
33	"LOC114874524"	NA	chrOU015509.1	-	4584302	4584466	4584852	4585016	4580531	4583583	4586360	4586484	33	107,55,55,57	182,85,98,135	115,55,56,62	190,147,149,139	263	263	0.159108812205	0.6555425674511716	0.37,0.393,0.359,0.297	0.377,0.272,0.273,0.308	0.047
34	"LOC114874524"	NA	chrOU015509.1	-	4584302	4584466	4585405	4585569	4580531	4583583	4586360	4586484	34	2071,1013,1197,1088	182,85,98,135	2397,1476,1305,1577	190,147,149,139	263	263	0.968181655075	1.0	0.919,0.923,0.924,0.89	0.927,0.909,0.898,0.919	0.001
35	"LOC114874524"	NA	chrOU015509.1	-	4584852	4585016	4585405	4585569	4580531	4583583	4586360	4586484	35	2071,1013,1197,1088	107,55,55,57	2397,1476,1305,1577	115,55,56,62	263	263	0.100651551642	0.5267178943070076	0.951,0.949,0.956,0.95	0.954,0.964,0.959,0.962	-0.008
36	"LOC114880700"	NA	chrOU015508.1	-	10321733	10321956	10330789	10331059	10313715	10313912	10331888	10332097	36	201,68,102,67	131,72,82,45	161,79,80,109	99,57,72,93	369	322	0.884996577569	1.0	0.572,0.452,0.52,0.565	0.587,0.547,0.492,0.506	-0.006
37	"LOC114876945"	NA	chrOU015510.1	+	5081848	5081946	5083463	5083499	5079992	5080246	5083947	5084047	37	39,18,30,24	2,2,3,3	28,43,36,34	9,8,4,6	197	135	0.0191494555759	0.21975291129312788	0.93,0.86,0.873,0.846	0.681,0.786,0.86,0.795	0.097
38	"LOC114871930"	NA	chrOU015506.1	+	5084681	5084817	5086262	5086398	5083208	5083385	5089990	5090196	38	106,64,76,35	122,61,72,38	120,68,65,83	108,44,61,66	235	235	0.0988639143433	0.5222911914191272	0.465,0.512,0.514,0.479	0.526,0.607,0.516,0.557	-0.059
39	"LOC114874669"	NA	chrOU015509.1	+	3180709	3180997	3183002	3183248	3180462	3180592	3183306	3183514	39	99,65,47,39	192,97,113,83	104,49,58,70	163,87,85,115	387	345	0.152165585057	0.6379954650582651	0.315,0.374,0.27,0.295	0.363,0.334,0.378,0.352	-0.043
40	"LOC114875351"	NA	chrOU015510.1	+	6062393	6062449	6071561	6072572	6060937	6061034	6080548	6080716	40	7,5,3,0	12,3,0,2	6,6,5,2	15,1,8,11	155	1110	0.169187195921	0.6652784653164746	0.807,0.923,1.0,0.0	0.741,0.977,0.817,0.566	-0.093
41	"LOC114881376"	NA	chrOU015510.1	-	2039933	2039939	2050597	2050606	2036039	2036282	2059809	2059970	41	4,3,3,0	0,0,1,0	7,1,4,3	0,1,0,1	108	105	1	1.0	1.0,1.0,0.745,NA	1.0,0.493,1.0,0.745	0.106
42	"LOC114873098"	NA	chrOU015509.1	-	356238	356294	357876	357929	354082	354209	358374	358517	42	10,8,5,10	30,8,10,10	15,5,2,10	21,7,15,13	152	155	0.772640029532	1.0	0.254,0.505,0.338,0.505	0.421,0.421,0.12,0.44	0.05
43	"LOC114880353"	NA	chrOU015517.1	+	7650234	7653142	7657521	7657711	7618898	7618982	7662864	7662978	43	1003,513,471,401	79,30,40,26	947,462,558,730	65,34,31,39	3007	289	0.277629923975	0.8017860045087138	0.55,0.622,0.531,0.597	0.583,0.566,0.634,0.643	-0.031
44	"LOC114870925"	NA	chrOU015504.1	+	14340729	14340785	14345378	14345464	14337461	14338709	14357934	14358025	44	12,4,6,2	36,23,27,12	16,6,8,5	54,24,20,36	155	185	0.734667514681	1.0	0.285,0.172,0.21,0.166	0.261,0.23,0.323,0.142	-0.031
45	"LOC114880889"	NA	chrOU015508.1	-	9845369	9845570	9863069	9863340	9838687	9838837	9875813	9876032	45	50,13,13,11	26,13,11,6	47,14,30,24	39,17,18,20	370	300	0.428405447088	0.9380557928488343	0.609,0.448,0.489,0.598	0.494,0.4,0.575,0.493	0.045
46	"LOC114880889"	NA	chrOU015508.1	-	9846062	9846186	9863069	9863340	9845369	9845570	9875813	9876032	46	51,13,13,11	9,11,10,2	46,14,30,24	19,12,11,15	370	223	0.502099689424	1.0	0.774,0.416,0.439,0.768	0.593,0.413,0.622,0.491	0.07
47	"LOC114880889"	NA	chrOU015508.1	-	9863069	9863340	9875813	9876032	9846062	9846186	9917252	9918132	47	45,17,17,16	36,16,12,11	33,22,38,28	41,14,24,24	318	370	0.776943326558	1.0	0.593,0.553,0.622,0.629	0.484,0.646,0.648,0.576	0.011
48	"LOC114874134"	NA	chrOU015505.1	-	2093760	2093832	2094051	2094126	2093201	2093375	2094291	2094532	48	18,14,11,7	9,7,3,4	24,10,14,10	8,4,4,5	174	171	0.527967105513	1.0	0.663,0.663,0.783,0.632	0.747,0.711,0.775,0.663	-0.039
49	"LOC114874134"	NA	chrOU015505.1	-	2100726	2100735	2100854	2100950	2100399	2100537	2101130	2101265	49	45,25,22,17	0,1,0,0	48,24,30,22	0,1,1,0	195	108	1	1.0	1.0,0.933,1.0,1.0	1.0,0.93,0.943,1.0	0.015
50	"LOC114874134"	NA	chrOU015505.1	-	2105605	2105689	2106269	2106365	2105047	2105218	2106693	2106930	50	5,1,3,4	2,2,3,2	13,1,6,2	7,2,3,3	195	183	0.863110790052	1.0	0.701,0.319,0.484,0.652	0.635,0.319,0.652,0.385	0.041
51	"LOC114872087"	NA	chrOU015512.1	+	3484885	3484968	3486091	3486725	3483428	3484057	3490228	3490314	51	24,18,21,14	1141,702,704,570	43,15,25,24	1168,573,609,700	182	733	0.0365849675171	0.33271728229277925	0.078,0.094,0.107,0.09	0.129,0.095,0.142,0.121	-0.029
52	"LOC114878897"	NA	chrOU015509.1	+	5391931	5392264	5397136	5397208	5389405	5390149	5403873	5404243	52	48,32,25,23	13,5,3,10	62,29,22,50	19,6,12,13	432	171	0.394015848025	0.9020889152151316	0.594,0.717,0.767,0.477	0.564,0.657,0.421,0.604	0.077
53	"LOC114877355"	NA	chrOU015509.1	+	1874521	1874663	1874825	1874887	1874275	1874373	1875329	1875610	53	65,40,50,21	6,2,2,2	53,25,36,38	3,2,5,2	241	161	0.779162925737	1.0	0.879,0.93,0.944,0.875	0.922,0.893,0.828,0.927	0.015
