Orthogroup	Ceratina_calcarata	Acyrthosiphon_pisum
OG0000000	XP_017887274.1, XP_026671887.1	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1
OG0000000	XP_017875321.1	XP_029346889.1, XP_029340893.1
OG0000000	XP_017893334.1, XP_017881156.1	XP_008187343.1, XP_016664979.2, XP_008185105.1, XP_008182963.1, XP_008180484.1
OG0000000	XP_017876324.1	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2
OG0000000	XP_017875124.1, XP_017875054.1	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1, XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1
OG0000000	XP_017884602.1	XP_008189442.1, XP_029343287.1, XP_008178811.1
OG0000001	XP_017884717.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_026668995.1	XP_008180445.1
OG0000003	XP_017890377.1	XP_003241242.1, XP_008178499.1, XP_029345880.1, XP_016664851.1, XP_008180042.1, XP_008179051.1, XP_008190241.1
OG0000003	XP_017884413.1	XP_008178248.1
OG0000003	XP_017881808.1	XP_008181385.1, XP_008182760.1, XP_008179884.1, XP_008189838.1, XP_029348460.1
OG0000003	XP_017891010.1, XP_017875587.1	XP_016659882.1
OG0000003	XP_026668696.1	XP_008179662.1
OG0000003	XP_017885066.1	XP_008182004.1, XP_008182761.1, XP_008180189.1
OG0000003	XP_026672572.1	XP_029348394.1, XP_008189883.1, XP_008189195.1, XP_008179138.1
OG0000003	XP_017892179.1	XP_029343160.1, XP_008188102.2, XP_029347937.1, XP_008179862.1
OG0000003	XP_017888063.1, XP_017884305.1	XP_008183716.1, XP_029345821.1, XP_008178234.1, XP_008181766.1
OG0000003	XP_017889192.1	XP_016661947.1
OG0000004	XP_026672920.1, XP_017884089.1, XP_026673061.1, XP_017875115.1, XP_017889204.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
OG0000005	XP_026667095.1	XP_016662685.1
OG0000006	XP_026671184.1, XP_017883370.2, XP_017883408.2, XP_026667224.1	XP_016661819.1
OG0000007	XP_026667908.1, XP_017875316.1, XP_017881154.1	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1, XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1
OG0000007	XP_026673863.1	XP_029347711.1
OG0000008	XP_026675049.1	XP_016663037.1
OG0000008	XP_017877132.1, XP_017887927.2	XP_029347046.1
OG0000008	XP_026667992.1	XP_001942555.1, XP_008181935.1
OG0000008	XP_026675083.1	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1
OG0000008	XP_017891654.1	XP_001945226.1
OG0000008	XP_017891655.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_026666941.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_017893067.1, XP_017882797.1, XP_017879098.1, XP_017888506.1, XP_017877879.2, XP_017882798.1, XP_017890567.1, XP_017892844.1, XP_026673534.1, XP_017877435.1, XP_017889234.1, XP_017875216.1, XP_017881849.1	XP_016657651.1
OG0000013	XP_017875197.1	XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1	XP_008188188.1
OG0000013	XP_026671801.1	XP_008186887.1
