Orthogroup	Dufourea_novaeangliae	Aedes_aegypti
OG0000000	XP_015437064.1, XP_015437899.1, XP_015434762.1	XP_021704707.1
OG0000001	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1, XP_015437062.1, XP_015431466.1, XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1	XP_021704701.1
OG0000002	XP_015431056.1, XP_015431069.1, XP_015431184.1, XP_015431151.1, XP_015431173.1, XP_015431139.1, XP_015431081.1, XP_015431092.1, XP_015431116.1, XP_015431127.1, XP_015431105.1, XP_015431162.1	XP_021711562.1
OG0000003	XP_015437705.1	XP_021712997.1
OG0000005	XP_015433678.1, XP_015437078.1, XP_015435707.1, XP_015433189.1	XP_021706484.1
OG0000006	XP_015437631.1	XP_001651754.2, XP_001651756.3
OG0000007	XP_015440301.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	XP_015431031.1	XP_001648300.1
OG0000008	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1	XP_001648297.2
OG0000008	XP_015435962.1	XP_001661923.2
OG0000008	XP_015431211.1	XP_021710654.1
OG0000008	XP_015431032.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_015431033.1	XP_001648302.1
OG0000008	XP_015431233.1	XP_021710647.1
OG0000009	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_015431215.1, XP_015431007.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_015431006.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_015432417.1, XP_015432474.1, XP_015432475.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_015435345.1	XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1
OG0000013	XP_015438102.1, XP_015435409.1, XP_015440404.1	XP_021707704.1
OG0000013	XP_015434156.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_015435357.1, XP_015435350.1	XP_021712022.1, XP_021712028.1
OG0000014	XP_015438106.1	XP_021712835.1, XP_021712191.1, XP_021712166.1, XP_021706478.1, XP_021705014.1, XP_021712175.1, XP_021705015.1, XP_021711142.1, XP_021705288.1, XP_021712199.1, XP_021705824.1, XP_021712187.1, XP_021705024.1, XP_021712165.1, XP_021705025.1, XP_021711147.1, XP_021706543.1, XP_021711141.1, XP_021711145.1, XP_021706544.1, XP_021706545.1, XP_021712186.1, XP_021706546.1, XP_021712839.1, XP_021706549.1, XP_021711149.1, XP_021706554.1, XP_021711146.1, XP_021707481.1, XP_021712685.1, XP_021706569.1, XP_021712097.1, XP_021712027.1, XP_021708651.1, XP_021706552.1, XP_021711152.1, XP_021711139.1, XP_021706550.1, XP_021708655.1, XP_021711144.1, XP_021708656.1, XP_021712095.1, XP_021706560.1, XP_021711143.1, XP_021706563.1, XP_021712692.1, XP_021708754.1, XP_021711151.1, XP_021706553.1, XP_021712155.1, XP_021708646.1, XP_021711150.1, XP_021708807.1
OG0000016	XP_015435180.1, XP_015438891.1, XP_015437428.1, XP_015438096.1, XP_015440395.1, XP_015440032.1, XP_015433591.1, XP_015438310.1, XP_015438886.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_015436976.1	XP_001658010.2
OG0000017	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_015440533.1, XP_015440532.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_015437296.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_015437285.1, XP_015437283.1, XP_015433210.1	XP_021706781.1
OG0000019	XP_015436531.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_015431150.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_015433825.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_015439463.1	XP_021703504.1
OG0000020	XP_015431804.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_015440423.1	XP_021705068.1
OG0000020	XP_015433955.1	XP_021706790.1
OG0000020	XP_015431800.1	XP_021703783.1
OG0000020	XP_015437420.1	XP_021699908.1
OG0000021	XP_015436481.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_015436556.1	XP_021699404.1
OG0000021	XP_015430481.1	XP_021713110.1, XP_001662165.1
OG0000022	XP_015438104.1	XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1
OG0000023	XP_015438105.1	XP_021706557.1
OG0000023	XP_015435373.1, XP_015435410.1	XP_001657270.2
OG0000023	XP_015435402.1	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1
OG0000026	XP_015434403.1	XP_021706420.1
OG0000026	XP_015436711.1	XP_021708568.1, XP_021708571.1
OG0000026	XP_015437222.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_015435411.1	XP_001657154.1, XP_001657155.1, XP_021705028.1, XP_001663888.1, XP_021706536.1, XP_021706547.1, XP_021706542.1
OG0000027	XP_015440405.1	XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000029	XP_015428687.1, XP_015428726.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_015430246.1	XP_001664018.2
OG0000029	XP_015428686.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1	XP_001658050.1
OG0000032	XP_015431638.1	XP_021702783.1
OG0000032	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1, XP_015438580.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_015429327.1	XP_021705680.1, XP_021704128.1
OG0000033	XP_015437429.1, XP_015437849.1, XP_015434582.1, XP_015434937.1, XP_015430869.1	XP_021702767.1
OG0000035	XP_015436890.1, XP_015436892.1	XP_001650274.2, XP_001662128.2
